# 20010113_M7.7_Subduction median gmf, Stations:Seismic, gmlt:MARN, Rupture:GCMT
custom_site_id,lon,lat,AbrahamsonEtAl2018SSlabHigh,MontalvaEtAl2016SSlab,SiEtAl2020SSlab,ZhaoEtAl2006SSlabCascadia
s_21,-88.17603,13.48032,0.19115837,0.2269771,0.20287815,0.14452597
s_24,-88.62596,13.87493,0.1449416,0.1890672,0.1520576,0.11411052
s_25,-87.82263,13.33241,0.11780844,0.13630466,0.12490423,0.09791733
s_26,-89.49795,14.32681,0.10815947,0.11507033,0.114098884,0.09572263
t_0,-88.07562,13.1642,0.15451807,0.1815848,0.1673548,0.16005056
t_1,-88.03968,13.1642,0.14681631,0.17188254,0.15863796,0.15138565
t_10,-87.91392,13.1642,0.208804,0.18717474,0.2186044,0.13529266
t_100,-87.96782,13.3216,0.13171168,0.15814863,0.14104043,0.11999433
t_1000,-88.27325,13.5837,0.19153583,0.24176636,0.20165507,0.15618873
t_1001,-88.29121,13.60116,0.16916685,0.22767538,0.17753972,0.15727597
t_1002,-88.27325,13.60116,0.21933855,0.24993803,0.22874385,0.15153384
t_1003,-88.41698,13.5837,0.28461313,0.32498956,0.29485425,0.25579512
t_1004,-88.39901,13.5837,0.26846907,0.3148903,0.27866107,0.24064611
t_1005,-88.38104,13.5837,0.23685795,0.29371184,0.24566032,0.22530456
t_1006,-88.38104,13.60116,0.25850147,0.2958481,0.26929507,0.20695217
t_1007,-88.39901,13.60116,0.2406457,0.28905895,0.24990124,0.21845733
t_1008,-88.41698,13.60116,0.25309217,0.29598463,0.26235884,0.22935632
t_1009,-88.38104,13.61862,0.22697431,0.27201742,0.23665418,0.19080082
t_101,-87.94985,13.3216,0.12443218,0.15097189,0.13297164,0.11703284
t_1010,-88.39901,13.61862,0.22644405,0.2724989,0.23555775,0.19949155
t_1011,-88.41698,13.61862,0.22227097,0.26922107,0.23033829,0.20743865
t_1012,-88.39901,13.63608,0.19756679,0.2486911,0.20537114,0.18343423
t_1013,-88.34511,13.5837,0.19667691,0.26021126,0.20428649,0.19716944
t_1014,-88.36308,13.60116,0.21459197,0.2699408,0.22371876,0.19556043
t_1015,-88.34511,13.60116,0.21723323,0.26850072,0.2272415,0.1847194
t_1016,-88.32715,13.60116,0.22785543,0.26944372,0.23830561,0.17468132
t_1017,-88.34511,13.61862,0.21282344,0.26004362,0.2226148,0.17322123
