# 19950513_M6.5_KozaniGrevena median gmf, Stations:None, gmlt:USGS, Rupture:USGS
custom_site_id,lon,lat,AkkarEtAlRjb2014,CauzziEtAl2014,ZhaoEtAl2016Asc
t_0,21.582899999999995,37.11114,0.0042909496,0.005471367,0.005174939
t_1,21.624599999999987,37.13978,0.004281486,0.0054861843,0.0053280583
t_10,21.72005999999999,37.32101,0.004052662,0.005419512,0.006411018
t_100,21.486070000000012,38.14406,0.009005276,0.011714799,0.013279144
t_1000,20.718259999999987,40.10226,0.023488948,0.03446972,0.069762304
t_1001,20.638679999999994,40.10655,0.023038981,0.033284374,0.08331352
t_1002,20.76087000000001,40.13066,0.027380833,0.03915939,0.098993376
t_1003,20.68126000000001,40.13496,0.02042143,0.03076024,0.066287704
t_1004,20.723870000000005,40.16337,0.023289878,0.03429883,0.07027016
t_1005,20.644239999999996,40.16765,0.020987261,0.031043874,0.06286963
t_1006,20.79220000000001,40.03682,0.02450988,0.0362204,0.07666422
t_1007,20.914350000000013,40.06085,0.030108685,0.043576255,0.09307277
t_1008,20.8348,40.06522,0.027741974,0.040197454,0.08230608
t_1009,20.87742,40.09359,0.029693816,0.042761896,0.08834896
t_101,21.40789000000001,38.14872,0.008748632,0.011418519,0.013296856
t_1010,20.797840000000008,40.09795,0.027520357,0.039638527,0.07829226
t_1011,20.920060000000007,40.12196,0.030832233,0.044418883,0.09476149
t_1012,20.84047000000001,40.12633,0.026773673,0.039263885,0.08363401
t_1013,20.883109999999988,40.15469,0.029580416,0.042706173,0.089222305
t_1014,20.80349000000001,40.15905,0.02754248,0.039714705,0.07895129
t_1015,20.925780000000003,40.18305,0.035139065,0.049004685,0.094983704
t_1016,20.596119999999985,40.07812,0.022058016,0.031832606,0.078479834
t_1017,20.96271999999999,40.15031,0.034462623,0.048636038,0.101474985
t_1018,21.005410000000012,40.17864,0.044875514,0.059820965,0.14426996
t_1019,21.04811000000001,40.20696,0.041754287,0.056647006,0.115248814
t_102,21.449929999999995,38.17726,0.007634622,0.010287488,0.016273186
t_1020,20.968459999999993,40.21139,0.035049826,0.04920918,0.10079707
t_1021,21.011169999999993,40.23971,0.038619578,0.053165045,0.10649604
t_1022,21.053910000000002,40.26802,0.038421128,0.05317462,0.111855015
t_1023,20.97421,40.27244,0.03253385,0.04643964,0.09834785
t_1024,21.01695000000001,40.30075,0.042284757,0.056985002,0.13678269
t_1025,20.93723,40.30516,0.029251955,0.042470977,0.09084521
t_1026,21.059709999999995,40.32905,0.038708888,0.053257342,0.10652607
t_1027,20.766500000000008,40.19175,0.023468796,0.034878705,0.0743855
t_1028,20.686849999999993,40.19606,0.023095837,0.033723153,0.06639002
t_1029,20.729479999999995,40.22445,0.02553824,0.03675715,0.06998983
t_103,21.371730000000014,38.1819,0.0065755933,0.009186702,0.016276414
t_1030,20.6498,40.22873,0.024342692,0.034758016,0.08355387
t_1031,20.772130000000004,40.25282,0.024760365,0.036215506,0.073621154
t_1032,20.692440000000005,40.25713,0.020412764,0.030703725,0.06580051
t_1033,20.735090000000014,40.28551,0.021296911,0.03198415,0.0689431
t_1034,20.655380000000008,40.28979,0.02215687,0.03224188,0.061836507
t_1035,20.777770000000004,40.31387,0.023206146,0.034375105,0.07202617
t_1036,20.698039999999992,40.31818,0.02295767,0.03339611,0.06456085
t_1037,20.84613999999999,40.18742,0.026538776,0.03902242,0.083800875
t_1038,20.888810000000007,40.21577,0.028419763,0.041427165,0.0887283
t_1039,20.80914999999999,40.22013,0.025121043,0.03705266,0.078583255
t_104,21.305180000000007,38.30993,0.0074590584,0.010389758,0.018769301
t_1040,20.9315,40.24412,0.030839175,0.04435263,0.09362492
t_1041,20.851820000000004,40.24849,0.028687343,0.041258905,0.082792774
t_1042,20.894509999999997,40.27683,0.027720284,0.0405404,0.08691958
t_1043,20.814809999999994,40.28119,0.024790222,0.036574457,0.077220626
t_1044,20.857500000000016,40.30953,0.025395665,0.037530016,0.08070624
t_1045,20.90021999999999,40.33787,0.027027706,0.039566375,0.083981365
t_1046,20.82047,40.34222,0.023524404,0.03499281,0.07498042
t_1047,20.97997000000001,40.33348,0.034759607,0.04856877,0.09442651
t_1048,21.022729999999996,40.36178,0.0378076,0.051990904,0.12987503
t_1049,20.942970000000003,40.36619,0.0342321,0.047603317,0.11584452
t_105,21.226889999999997,38.31451,0.008195063,0.01115123,0.018678617
t_1050,21.06550999999999,40.39006,0.038434327,0.052752078,0.099932276
t_1051,20.98572999999999,40.39449,0.029674042,0.042822886,0.08945049
t_1052,21.028520000000015,40.42278,0.034640525,0.048285257,0.09141073
t_1053,20.948710000000005,40.42719,0.030935489,0.043680936,0.10961861
t_1054,21.071320000000014,40.45105,0.038543697,0.052653767,0.12351743
t_1055,20.991500000000002,40.45548,0.029044153,0.04172507,0.08385009
t_1056,21.034310000000005,40.48376,0.031267222,0.04422338,0.08490949
t_1057,20.74072000000001,40.34654,0.020722946,0.031183384,0.0672083
t_1058,20.660950000000014,40.35083,0.025386417,0.03576269,0.080648676
t_1059,20.703640000000007,40.3792,0.024507925,0.03495303,0.08368538
t_106,21.347250000000003,38.33847,0.007052136,0.010039501,0.019500302
t_1060,20.746350000000007,40.40756,0.020673467,0.030903928,0.06489883
t_1061,20.709249999999997,40.44021,0.022122702,0.03206902,0.08065996
t_1062,20.751980000000003,40.46855,0.019305058,0.02911322,0.06215246
t_1063,20.863200000000006,40.37056,0.027533863,0.0396088,0.077727824
t_1064,20.783420000000007,40.3749,0.02479012,0.035905447,0.06972107
t_1065,20.905939999999987,40.39888,0.029626356,0.042095028,0.080180146
t_1066,20.826149999999984,40.40324,0.024365412,0.035641983,0.07203726
t_1067,20.868899999999996,40.43156,0.025544362,0.037120283,0.074088156
t_1068,20.789080000000013,40.4359,0.022324825,0.032912433,0.06686231
t_1069,20.911670000000015,40.45987,0.029105118,0.04119371,0.101052724
t_107,21.268939999999986,38.34306,0.0094810985,0.012615193,0.01644576
t_1070,20.831829999999997,40.46423,0.022655131,0.03344306,0.06858772
t_1071,20.874599999999987,40.49254,0.026068475,0.037348166,0.0933631
t_1072,21.801350000000014,40.13273,0.40047365,0.28475708,0.5481064
t_1073,21.844249999999988,40.16087,0.4308074,0.3352216,0.69273007
t_1074,21.887159999999994,40.18901,0.3929761,0.3178509,0.66732943
t_1075,21.807559999999995,40.19379,0.43314034,0.30156112,0.6510714
t_1076,21.850480000000005,40.22192,0.409322,0.29978532,0.62312937
t_1077,21.770849999999996,40.22668,0.43138745,0.26033345,0.54719585
t_1078,21.893419999999992,40.25004,0.30042267,0.25195566,0.53953904
