ID_1,NAME_1,ID_2,NAME_2,FATALITIES,FATALITIES_GROUND_SHAKING,INJURIES,DISPLACED_POPULATION,AFFECTED_POPULATION,CAUSE_OF_INJURY/DEATH,REFERENCE,COMMENTS
CO27,Chocó,CO27250,El Litoral del San Juan,,,,,767.0,Shaking,Reliefweb,
CO27,Chocó,CO27077,Bajo Baudó,,,12.0,,2733.0,Shaking,Reliefweb,
CO27,Chocó,CO27430,Medio Baudó,,,,,1630.0,Shaking,Reliefweb,
CO76,Valle del Cauca,CO76001,Cali,,,,,2160.0,Shaking,Reliefweb,
CO76,Valle del Cauca,CO76109,Buenaventura,,,7.0,,615.0,Shaking,Reliefweb,
CO76,Valle del Cauca,CO76248,El Cerrito,,,1.0,,10.0,Shaking,Reliefweb,
CO76,Valle del Cauca,CO76606,Restrepo,,,,,5.0,Shaking,Reliefweb,
CO76,Valle del Cauca,CO76895,Zarzal,,,,,20.0,Shaking,Reliefweb,
CO76,Valle del Cauca,CO76113,Bugalagrande,,,,,16.0,Shaking,Reliefweb,
CO76,Valle del Cauca,CO76126,Calima,,,,,60.0,Shaking,Reliefweb,
CO76,Valle del Cauca,CO76869,Vijes,,,,,,,,
