FIELD,DESCRIPTION
Year,1990
Country,Romania
Region,Vrancea
Event_Name,Vrancea_1990
Local_Date,30/05/1990
Local_Time,10:40:06
Latitude,45.841
Longitude,26.668
Depth_(km),89.3
Mw,7
Max_Intensity_(MMI),VIII
Fault_mechanism,Reverse
Tectonic_region_type,Subduction Intraslab
Fatalities,9-14
Injured,700
Displaced_Population,
Affected_Population,
Affected_Units,
Damaged_Units,
Collapsed_Units,
Economic_Losses,0-23.7 M USD
Insured_Losses,0-23.7 M USD
Induced_Effects,
USGS page,https://earthquake.usgs.gov/earthquakes/eventpage/usp00049yk/executive
Wikipedia page,https://en.wikipedia.org/wiki/1990_Vrancea_earthquakes
