FIELD,DESCRIPTION
Year,1999
Country,Turkey
Region,Europe
Event Name,Duzce 1999
Local Date,12/11/1999
Local Time,18:57:19
Latitude (decimal degrees),40.758
Longitude (decimal degrees),31.161
Depth (km),10
Mw,7.2
Max Intensity (MMI),IX
Fault mechanism,Strike-slip
Tectonic region type,Active Shallow Crust
Fatalities,845-894
Injured,~4948
Displaced population,~55000
Affected population,~224948
Affected units,
Damaged units,
Collapsed units,
Economic losses,1000 M USD
Insured losses,
Earthquake-triggered effects,
USGS event ID,usp0009hev
Wikipedia page,https://en.wikipedia.org/wiki/1999 D%C3%BCzce earthquake
