ID_1,NAME_1,ID_2,NAME_2,OCCUPANCY,TAXONOMY,GEM_TAXONOMY,AFFECTED_UNITS,DAMAGED_UNITS,DS2_MODARATE_DAMAGED,DS3_EXTENSIVE,DS4_COMPLETE,COLLAPSED_UNITS,UNIT_TYPES,CAUSE_OF_DAMAGE,REFERENCE,COMMENTS
7,Chiapas,7108,Villaflores,,,,,5466.0,,,,,,Shaking,Wikipedia,
7,Chiapas,7046,Jiquipilas,,,,,5115.0,,,,,,Shaking,Wikipedia,
7,Chiapas,7097,Tonalá,,,,,4439.0,,,,,,Shaking,Wikipedia,
7,Chiapas,7020,La Concordia,,,,,4436.0,,,,,,Shaking,Wikipedia,
7,Chiapas,7009,Arriaga,,,,,4382.0,,,,,,Shaking,Wikipedia,
7,Chiapas,7017,Cintalapa,,,,,3747.0,,,,,,Shaking,Wikipedia,
7,Chiapas,7107,Villa Corzo,,,,,3722.0,,,,,,Shaking,Wikipedia,
7,Chiapas,7069,Pijijiapan,,,,,3232.0,,,,,,Shaking,Wikipedia,
7,Chiapas,7101,Tuxtla Gutiérrez,,,,,3132.0,,,,,,Shaking,Wikipedia,
7,Chiapas,7008,Ángel Albino Corzo,,,,,2251.0,,,,,,Shaking,Wikipedia,
7,Chiapas,7051,Mapastepec,,,,,1297.0,,,,,,Shaking,Wikipedia,
7,Chiapas,7037,Huehuetán,,,,,1155.0,,,,,,Shaking,Wikipedia,
7,Chiapas,7027,Chiapa de Corzo,,,,,1008.0,,,,,,Shaking,Wikipedia,
7,Chiapas,7003,Acapetahua,,,,,950.0,,,,,,Shaking,Wikipedia,
7,Chiapas,7061,Ocozocoautla de Espinosa,,,,,862.0,,,,,,Shaking,Wikipedia,
7,Chiapas,7030,Chicomuselo,,,,,843.0,,,,,,Shaking,Wikipedia,
7,Chiapas,7117,Montecristo de Guerrero,,,,,786.0,,,,,,Shaking,Wikipedia,
7,Chiapas,7001,Acacoyagua,,,,,744.0,,,,,,Shaking,Wikipedia,
7,Chiapas,7106,Venustiano Carranza,,,,,703.0,,,,,,Shaking,Wikipedia,
12,Guerrero,12080,Juchitán,,,,,,,,,5000-7000,,Shaking,Verisk,
7,Chiapas,7069,Pijijiapan,,,,,2100.0,,,,,,Shaking,Chiapas_Support_Committee_2017,
7,Chiapas,7009,Arriaga,,,,,4300.0,,,,,,Shaking,Chiapas_Support_Committee_2017,
7,Chiapas,7097,Tonalá,,,,,4700.0,,,,,,Shaking,Chiapas_Support_Committee_2017,
7,Chiapas,7069,Pijijiapan,,,,,2100.0,,,,,,Shaking,ChiapasParalelo_2017,
7,Chiapas,7009,Arriaga,,,,,4300.0,,,,,,Shaking,ChiapasParalelo_2017,
7,Chiapas,7097,Tonalá,,,,,4700.0,,,,,,Shaking,ChiapasParalelo_2017,
