ID_1,NAME_1,OCCUPANCY,TAXONOMY,GEM_TAXONOMY,AFFECTED_UNITS,DAMAGED_UNITS,DS2_MODARATE_DAMAGED,DS3_EXTENSIVE,DS4_COMPLETE,COLLAPSED_UNITS,UNIT_TYPES,CAUSE_OF_DAMAGE,REFERENCE,COMMENTS
7,Chiapas,RES,,,,58168.0,,,,22340.0,,Shaking,EID,
7,Chiapas,OCO,,,,2736.0,,,,335.0,,Shaking,EID,
20,Oaxaca,RES,,,,41513.0,,,,33081.0,,Shaking,EID,
20,Oaxaca,OCO,,,,80851.0,,,,692.0,,Shaking,EID,
30,Veracruz de Ignacio de la Llave,OCO,,,,25661.0,,,,20.0,,"Shaking, hurricane",EID,
15,México,OCO,,,,248.0,,,,6.0,,Shaking,EID,
27,Tabasco,OCO,,,,163.0,,,,,,Shaking,EID,
13,Hidalgo,OCO,,,,9.0,,,,,,Shaking,EID,
11,Guanajuato,OCO,,,,1.0,,,,,,Shaking,EID,
7,Chiapas,RES,,,,41000.0,,,,,,Shaking,Wikipedia,
7,Chiapas,RES,,,,37000.0,,,,18000.0,,Shaking,Verisk,
20,Oaxaca,RES,,,,12000.0,,,,971.0,,Shaking,Verisk,
20,Oaxaca,RES,,,,60000.0,,,,,,Shaking,Noticieros_2019,
7,Chiapas,RES,,,,46000.0,,,,,,Shaking,Mexico_News_2020,
20,Oaxaca,RES,,,,17000.0,,,,,,Shaking,Lingling_Ye_et_al_2017_a,
7,Chiapas,RES,,,,41569.0,,,,16796.0,,Shaking,ELORBE_2017,
7,Chiapas,RES,,,,37023.0,,,,17963.0,,Shaking,EL_Universal_2017,
20,Oaxaca,RES,,,,38095.0,,,,26949.0,,Shaking,Adrian_Pozos_Estrada_et_al_2019,
7,Chiapas,RES,,,,46773.0,,,,14073.0,,Shaking,Adrian_Pozos_Estrada_et_al_2019,
20,Oaxaca,EDU,,,,,,,,22.0,,Shaking,Adrian_Pozos_Estrada_et_al_2019,
20,Oaxaca,COM4 ,,,,46.0,,,,8.0,,Shaking,Adrian_Pozos_Estrada_et_al_2019,
20,Oaxaca,ASS1 ,,,,460.0,,,,,,Shaking,Boletin_ERNterate_DanosSismo_070917,
27,Tabasco,,,,,163.0,,,,,,Shaking,Boletin_ERNterate_DanosSismo_070917,
20,Oaxaca,,,,,,,,,9200.0,,Shaking,Boletin_ERNterate_DanosSismo_070917,
7,Chiapas,RES,,,,58168.0,,,,22340.0,,Shaking,Caritasancristobal_2017,
7,Chiapas,EDU,,,,1534.0,,,,86.0,,Shaking,Caritasancristobal_2017,
7,Chiapas,COM4 ,,,,71.0,,,,,,Shaking,Caritasancristobal_2017,
7,Chiapas,ASS1 ,,,,411.0,,,,,,Shaking,Caritasancristobal_2017,
7,Chiapas,COM6,,,,194.0,,,,,,Shaking,Caritasancristobal_2017,
7,Chiapas,COM,,,,658.0,,,,,,Shaking,Caritasancristobal_2017,
7,Chiapas,,,,,32700.0,,,,14073.0,,Shaking,Chiapas_Support_Committee_2018,
7,Chiapas,,,,,41569.0,,,,16796.0,,Shaking,Chiapas_Support_Committee_2017,
7,Chiapas,,,,,41569.0,,,,16796.0,,Shaking,ChiapasParalelo_2017,
20,Oaxaca,RES,,,,4715.0,,,,6380.0,,Shaking,Edan_sismo_1230h_12sep2017,
7,Chiapas,RES,,,,34621.0,,,,6012.0,,Shaking,Edan_sismo_1230h_12sep2017,
