FIELD,DESCRIPTION
Year,1992
Region,Europe
Country,Turkey
Event_Name,Erzincan
Local_Date,13/03/1992
Local_Time,17:18:39
Latitude,39.71
Longitude,39.605
Depth_(km),27.2
Mw,6.7
Max_Intensity_(MMI),VIII
Fault_mechanism,Strike-slip
Tectonic_region_type,Active Shallow Crust
Fatalities,541-653
Injured,2000-3850
Displaced_Population,36000-95000
Affected_Population,250000
Affected_Units,15042 Buildings
Damaged_Units,9227 Buildings
Collapsed_Units,5500-7007 Buildings
Economic_Losses,667-750 M USD
Insured_Losses,10.8 M USD
Induced_Effects,
USGS page,https://earthquake.usgs.gov/earthquakes/eventpage/usp000547c/executive
Wikipedia page,https://en.wikipedia.org/wiki/1992_Erzincan_earthquake
