STATION_ID,STATION_NAME,LONGITUDE,LATITUDE,STATION_TYPE,PGA_VALUE,PGA_LN_SIGMA,REFERENCES
KTP,KTP,85.27259,27.68216,seismic,0.25972,0,CESMD
TVU,TVU,85.28825,27.68179,seismic,0.23318,0,CESMD
PTN,PTN,85.31896,27.6815,seismic,0.1536,0,CESMD
THM,THM,85.37705,27.6813,seismic,0.15342,0,CESMD
DMG,DMG,85.3166,27.7193,seismic,0.17707,0,Bhattarai_et_al_2015
Those1,Those1,86.2558,27.553,macroseismic,0.79957,0.52,Stations_USGS_PanjamaniEtAl2016
Jiri4,Jiri4,86.2435,27.622,macroseismic,0.56002,0.52,Stations_USGS_PanjamaniEtAl2016
OBS_10,Gaunkharka (Intensity IX),85.4578,27.9371,macroseismic,0.56002,0.52,Stations_USGS_PanjamaniEtAl2016
OBS_4,Barpak Village (Intensity IX),84.7429,28.201,macroseismic,0.56002,0.52,Stations_USGS_PanjamaniEtAl2016
OBS_8,Chautara (Intensity IX),85.7222,27.7707,macroseismic,0.56002,0.52,Stations_USGS_PanjamaniEtAl2016
Melamchi1,Melamchi1,85.5292,27.847,macroseismic,0.56002,0.52,Stations_USGS_PanjamaniEtAl2016
OBS_7,Pipaldanda (Intensity IX),85.6869,27.7791,macroseismic,0.56002,0.52,Stations_USGS_PanjamaniEtAl2016
Jiri3,Jiri3,86.2538,27.602,macroseismic,0.56002,0.52,Stations_USGS_PanjamaniEtAl2016
Chautrara8,Chautrara8,85.7246,27.75,macroseismic,0.56002,0.52,Stations_USGS_PanjamaniEtAl2016
OBS_6,Phulkharka (Intensity IX),84.9198,28.0646,macroseismic,0.56002,0.52,Stations_USGS_PanjamaniEtAl2016
OBS_5,Laprak Village (Intensity IX),84.8008,28.2189,macroseismic,0.56002,0.52,Stations_USGS_PanjamaniEtAl2016
OBS_13,Battar Bazaar (Intensity IX),85.1463,27.8969,macroseismic,0.39223,0.52,Stations_USGS_PanjamaniEtAl2016
OBS_14,Near Trishuli Bazaar (Intensity IX),85.1303,27.9236,macroseismic,0.39223,0.52,Stations_USGS_PanjamaniEtAl2016
OBS_12,Betrawati (Intensity IX),85.1857,27.9737,macroseismic,0.39223,0.52,Stations_USGS_PanjamaniEtAl2016
OBS_15,Trishuli Bazaar (Intensity IX),85.1413,27.9255,macroseismic,0.39223,0.52,Stations_USGS_PanjamaniEtAl2016
Jiri6,Jiri6,86.2207,27.628,macroseismic,0.39223,0.52,Stations_USGS_PanjamaniEtAl2016
Jiri9,Jiri9,86.1803,27.605,macroseismic,0.39223,0.52,Stations_USGS_PanjamaniEtAl2016
Bhimeshwor5,Bhimeshwor5,86.0792,27.649,macroseismic,0.39223,0.52,Stations_USGS_PanjamaniEtAl2016
Kamalamai1,Kamalamai1,85.8871,27.259,macroseismic,0.39223,0.52,Stations_USGS_PanjamaniEtAl2016
Bhimeshwor9,Bhimeshwor9,86.0335,27.649,macroseismic,0.39223,0.52,Stations_USGS_PanjamaniEtAl2016
Chautrara2,Chautrara2,85.7014,27.796,macroseismic,0.39223,0.52,Stations_USGS_PanjamaniEtAl2016
Melamchi9,Melamchi9,85.5439,27.805,macroseismic,0.39223,0.52,Stations_USGS_PanjamaniEtAl2016
Bhimeshwor11,Bhimeshwor11,86.0163,27.663,macroseismic,0.39223,0.52,Stations_USGS_PanjamaniEtAl2016
Melamchi13,Melamchi13,85.5839,27.82,macroseismic,0.39223,0.52,Stations_USGS_PanjamaniEtAl2016
Chautrara9,Chautrara9,85.6862,27.755,macroseismic,0.39223,0.52,Stations_USGS_PanjamaniEtAl2016
Shankarapur11,Shankarapur11,85.4695,27.738,macroseismic,0.39223,0.52,Stations_USGS_PanjamaniEtAl2016
Those3,Those3,86.2589,27.572,macroseismic,0.39223,0.52,Stations_USGS_PanjamaniEtAl2016
Chautrara6,Chautrara6,85.7599,27.772,macroseismic,0.39223,0.52,Stations_USGS_PanjamaniEtAl2016
Tarkeshwor6,Tarkeshwor6,85.3088,27.781,macroseismic,0.39223,0.52,Stations_USGS_PanjamaniEtAl2016
Changunarayan1,Changunarayan1,85.4421,27.705,macroseismic,0.39223,0.52,Stations_USGS_PanjamaniEtAl2016
Dhunche8,Dhunche8,85.3038,28.082,macroseismic,0.39223,0.52,Stations_USGS_PanjamaniEtAl2016
Melamchi3,Melamchi3,85.5308,27.821,macroseismic,0.39223,0.52,Stations_USGS_PanjamaniEtAl2016
Those6,Those6,86.2549,27.591,macroseismic,0.39223,0.52,Stations_USGS_PanjamaniEtAl2016
RAM,RAM (Intensity VIII),85.251,27.7223,macroseismic,0.295,0.52,Stations_USGS_PanjamaniEtAl2016
Chautrara5,Chautrara5,85.7415,27.783,macroseismic,0.27472,0.52,Stations_USGS_PanjamaniEtAl2016
Manthali3,Manthali3,86.0776,27.398,macroseismic,0.27472,0.52,Stations_USGS_PanjamaniEtAl2016
Chautrara4,Chautrara4,85.7236,27.788,macroseismic,0.27472,0.52,Stations_USGS_PanjamaniEtAl2016
Melamchi10,Melamchi10,85.5739,27.771,macroseismic,0.27472,0.52,Stations_USGS_PanjamaniEtAl2016
Melamchi7,Melamchi7,85.568,27.82,macroseismic,0.27472,0.52,Stations_USGS_PanjamaniEtAl2016
Melamchi6,Melamchi6,85.5694,27.835,macroseismic,0.27472,0.52,Stations_USGS_PanjamaniEtAl2016
Melamchi5,Melamchi5,85.5427,27.835,macroseismic,0.27472,0.52,Stations_USGS_PanjamaniEtAl2016
Kamalamai2,Kamalamai2,85.8911,27.248,macroseismic,0.27472,0.52,Stations_USGS_PanjamaniEtAl2016
Melamchi12,Melamchi12,85.5989,27.806,macroseismic,0.27472,0.52,Stations_USGS_PanjamaniEtAl2016
Jiri8,Jiri8,86.2148,27.599,macroseismic,0.27472,0.52,Stations_USGS_PanjamaniEtAl2016
Jiri7,Jiri7,86.1912,27.629,macroseismic,0.27472,0.52,Stations_USGS_PanjamaniEtAl2016
Kamalamai3,Kamalamai3,85.8551,27.169,macroseismic,0.27472,0.52,Stations_USGS_PanjamaniEtAl2016
Chautrara7,Chautrara7,85.7289,27.769,macroseismic,0.27472,0.52,Stations_USGS_PanjamaniEtAl2016
Gorkha8,Gorkha8,84.6133,27.965,macroseismic,0.27472,0.52,Stations_USGS_PanjamaniEtAl2016
Bhimeshwor1,Bhimeshwor1,86.0545,27.666,macroseismic,0.27472,0.52,Stations_USGS_PanjamaniEtAl2016
Bidur5,Bidur5,85.1463,27.881,macroseismic,0.27472,0.52,Stations_USGS_PanjamaniEtAl2016
Manthali12,Manthali12,86.0255,27.362,macroseismic,0.27472,0.52,Stations_USGS_PanjamaniEtAl2016
Manthali16,Manthali16,86.063,27.408,macroseismic,0.27472,0.52,Stations_USGS_PanjamaniEtAl2016
Jiri2,Jiri2,86.2665,27.616,macroseismic,0.27472,0.52,Stations_USGS_PanjamaniEtAl2016
Jiri1,Jiri1,86.2658,27.643,macroseismic,0.27472,0.52,Stations_USGS_PanjamaniEtAl2016
Melamchi2,Melamchi2,85.5149,27.841,macroseismic,0.27472,0.52,Stations_USGS_PanjamaniEtAl2016
Bhimeshwor10,Bhimeshwor10,86.0397,27.669,macroseismic,0.27472,0.52,Stations_USGS_PanjamaniEtAl2016
Melamchi14,Melamchi14,85.6293,27.845,macroseismic,0.27472,0.52,Stations_USGS_PanjamaniEtAl2016
Laharepauwa1,Laharepauwa1,85.1846,27.978,macroseismic,0.27472,0.52,Stations_USGS_PanjamaniEtAl2016
Gorkha6,Gorkha6,84.6237,27.984,macroseismic,0.27472,0.52,Stations_USGS_PanjamaniEtAl2016
Bidur9,Bidur9,85.1487,27.936,macroseismic,0.27472,0.52,Stations_USGS_PanjamaniEtAl2016
Gorkha14,Gorkha14,84.6553,28.012,macroseismic,0.27472,0.52,Stations_USGS_PanjamaniEtAl2016
Bidur3,Bidur3,85.1557,27.904,macroseismic,0.27472,0.52,Stations_USGS_PanjamaniEtAl2016
Melamchi8,Melamchi8,85.5696,27.788,macroseismic,0.27472,0.52,Stations_USGS_PanjamaniEtAl2016
Chautrara3,Chautrara3,85.7173,27.776,macroseismic,0.27472,0.52,Stations_USGS_PanjamaniEtAl2016
OBS_2,Dharhara Tower (Intensity VIII),85.3119,27.7006,macroseismic,0.27472,0.52,Stations_USGS_PanjamaniEtAl2016
Nilkantha1,Nilkantha1,84.8893,27.944,macroseismic,0.27472,0.52,Stations_USGS_PanjamaniEtAl2016
OBS_1,Swayambhunath Stupa (Intensity VIII),85.2905,27.7151,macroseismic,0.27472,0.52,Stations_USGS_PanjamaniEtAl2016
OBS_3,Taleju (Intensity VIII),85.3079,27.7049,macroseismic,0.27472,0.52,Stations_USGS_PanjamaniEtAl2016
GNG,GNG (Intensity VIII),85.3171,27.7375,macroseismic,0.27472,0.52,Stations_USGS_PanjamaniEtAl2016
SWY,SWY (Intensity VIII),85.2756,27.7126,macroseismic,0.27472,0.52,Stations_USGS_PanjamaniEtAl2016
Kamalamai16,Kamalamai16,85.9936,27.095,macroseismic,0.27472,0.52,Stations_USGS_PanjamaniEtAl2016
OBS_9,Ghale (Intensity VIII),84.3089,28.2776,macroseismic,0.27472,0.52,Stations_USGS_PanjamaniEtAl2016
Kamalamai14,Kamalamai14,85.9901,27.073,macroseismic,0.27472,0.52,Stations_USGS_PanjamaniEtAl2016
Those5,Those5,86.2547,27.58,macroseismic,0.27472,0.52,Stations_USGS_PanjamaniEtAl2016
Those4,Those4,86.2775,27.567,macroseismic,0.27472,0.52,Stations_USGS_PanjamaniEtAl2016
Those7,Those7,86.2765,27.593,macroseismic,0.27472,0.52,Stations_USGS_PanjamaniEtAl2016
Those8,Those8,86.2928,27.594,macroseismic,0.27472,0.52,Stations_USGS_PanjamaniEtAl2016
Kamalamai8,Kamalamai8,85.9767,27.242,macroseismic,0.27472,0.52,Stations_USGS_PanjamaniEtAl2016
Those9,Those9,86.2975,27.578,macroseismic,0.27472,0.52,Stations_USGS_PanjamaniEtAl2016
OBS_11,Kharanitar (Intensity VIII),85.3207,27.9281,macroseismic,0.27472,0.52,Stations_USGS_PanjamaniEtAl2016
BHK,BHK (Intensity VIII),85.4259,27.6719,macroseismic,0.23825,0.52,Stations_USGS_PanjamaniEtAl2016
UTM:(45R 033 306 10000),,85.3266,27.6992,macroseismic,0.22187,0.52,Stations_USGS_PanjamaniEtAl2016
Lalitpur23,Lalitpur23,85.3284,27.639,macroseismic,0.19241,0.52,Stations_USGS_PanjamaniEtAl2016
Godawari4,Godawari4,85.3835,27.604,macroseismic,0.19241,0.52,Stations_USGS_PanjamaniEtAl2016
Lalitpur24,Lalitpur24,85.3287,27.631,macroseismic,0.19241,0.52,Stations_USGS_PanjamaniEtAl2016
Kamalamai7,Kamalamai7,85.9558,27.201,macroseismic,0.19241,0.52,Stations_USGS_PanjamaniEtAl2016
Lalitpur20,Lalitpur20,85.3178,27.673,macroseismic,0.19241,0.52,Stations_USGS_PanjamaniEtAl2016
Karyabinayak13,Karyabinayak13,85.3078,27.619,macroseismic,0.19241,0.52,Stations_USGS_PanjamaniEtAl2016
Lalitpur18,Lalitpur18,85.3231,27.673,macroseismic,0.19241,0.52,Stations_USGS_PanjamaniEtAl2016
Lalitpur17,Lalitpur17,85.3323,27.661,macroseismic,0.19241,0.52,Stations_USGS_PanjamaniEtAl2016
Lalitpur15,Lalitpur15,85.3263,27.655,macroseismic,0.19241,0.52,Stations_USGS_PanjamaniEtAl2016
Gorkha2,Gorkha2,84.6188,28,macroseismic,0.19241,0.52,Stations_USGS_PanjamaniEtAl2016
Gorkha3,Gorkha3,84.6272,27.995,macroseismic,0.19241,0.52,Stations_USGS_PanjamaniEtAl2016
Gorkha4,Gorkha4,84.607,28.01,macroseismic,0.19241,0.52,Stations_USGS_PanjamaniEtAl2016
Gorkha1,Gorkha1,84.6258,28.002,macroseismic,0.19241,0.52,Stations_USGS_PanjamaniEtAl2016
Karyabinayak14,Karyabinayak14,85.3046,27.577,macroseismic,0.19241,0.52,Stations_USGS_PanjamaniEtAl2016
Lalitpur25,Lalitpur25,85.33,27.621,macroseismic,0.19241,0.52,Stations_USGS_PanjamaniEtAl2016
Lalitpur27,Lalitpur27,85.319,27.625,macroseismic,0.19241,0.52,Stations_USGS_PanjamaniEtAl2016
Lalitpur2,Lalitpur2,85.3075,27.685,macroseismic,0.19241,0.52,Stations_USGS_PanjamaniEtAl2016
Lalitpur3,Lalitpur3,85.3111,27.677,macroseismic,0.19241,0.52,Stations_USGS_PanjamaniEtAl2016
