ID_1,NAME_1,ID_2,NAME_2,FATALITIES,FATALITIES_GROUND_SHAKING,INJURIES,INJURIES_LIGHT,INJURIES_SEVERE,INJURIES_CRITICAL,HOMELESS,SHELTERED,DISPLACED_POPULATION,AFFECTED_POPULATION,CAUSE_OF_INJURY/DEATH,REFERENCE,COMMENTS
7,Fukushima ,10,Aizuwakamatsu City,1,,6,,,,,,,,,Wikipedia ENG,https://en.wikipedia.org/wiki/List_of_cities_and_towns_severely_damaged_by_the_2011_Tōhoku_earthquake_and_tsunami
12,Chiba ,25,Asahi City,22,,272,,,,,,,,,Wikipedia ENG,https://en.wikipedia.org/wiki/List_of_cities_and_towns_severely_damaged_by_the_2011_Tōhoku_earthquake_and_tsunami
13,Tokyo,11,Chiyoda-ku,2,,28,,,,,,,,,Wikipedia ENG,https://en.wikipedia.org/wiki/List_of_cities_and_towns_severely_damaged_by_the_2011_Tōhoku_earthquake_and_tsunami
14,Kanagawa ,46,Fujisawa City,1,,8,,,,,,,,,The Great East Japan earthquake and tsunami records of Miyako city.,https://iwate-archive.pref.iwate.jp/wp/wp-content/uploads/2017/02/records_of_miyako_city.pdf
7,Fukushima ,50,Fukushima City,3,,19,,,,,,,,,Los Angeles Times,https://www.latimes.com/world/la-fg-japan-quake-20110403-story.html
7,Fukushima ,14,Futaba-machi,35,,0,,,,,,,,,Wikipedia ENG,https://en.wikipedia.org/wiki/List_of_cities_and_towns_severely_damaged_by_the_2011_Tōhoku_earthquake_and_tsunami
2,Aomori ,12,Hachinohe City,4,,61,,,,,,,,,Wikipedia ENG,https://en.wikipedia.org/wiki/List_of_cities_and_towns_severely_damaged_by_the_2011_Tōhoku_earthquake_and_tsunami
9,Tochigi ,16,Haga-machi,1,,28,,,,,,,,,Wikipedia ENG,https://en.wikipedia.org/wiki/List_of_cities_and_towns_severely_damaged_by_the_2011_Tōhoku_earthquake_and_tsunami
1,Hokkaido ,29,Hakodate City,1,,3,,,,,,,,,Hokkaido Prefecture,https://www.pref.hokkaido.lg.jp/sm/ktk/touhokutihoutaiheiyouokizisinn.html
4,Miyagi ,24,Higashimatsushima City,1138,,0,,,,,,,,,NOAA,
7,Fukushima ,28,Hirono-machi,3,,0,,,,,,,,,Wikipedia ENG,https://en.wikipedia.org/wiki/List_of_cities_and_towns_severely_damaged_by_the_2011_Tōhoku_earthquake_and_tsunami
8,Ibaraki ,4,Hitachinaka City,2,,28,,,,,,,,,Wikipedia ENG,https://en.wikipedia.org/wiki/List_of_cities_and_towns_severely_damaged_by_the_2011_Tōhoku_earthquake_and_tsunami
8,Ibaraki ,22,Hitachiota City,1,,2,,,,,,,,,Wikipedia ENG,https://en.wikipedia.org/wiki/List_of_cities_and_towns_severely_damaged_by_the_2011_Tōhoku_earthquake_and_tsunami
7,Fukushima ,58,Iitate-mura,1,,1,,,,,,,,,Wikipedia ENG,https://en.wikipedia.org/wiki/List_of_cities_and_towns_severely_damaged_by_the_2011_Tōhoku_earthquake_and_tsunami
7,Fukushima ,,Ishikawa,1,,4,,,,,,,,,Wikipedia ENG,https://en.wikipedia.org/wiki/List_of_cities_and_towns_severely_damaged_by_the_2011_Tōhoku_earthquake_and_tsunami
4,Miyagi ,33,Ishinomaki City,3890,,,,,,,,,,,"Ministry of Land, Infrastructure, Transport and Tourism (MLIT)",http://www.thr.mlit.go.jp/iwate/kawa/seibi_keikaku/dai6/image/dai6_02.pdf
3,Iwate ,15,Iwaizumi-cho,7,,0,,,,,,,,,The Great East Japan earthquake and tsunami records of Miyako city.,https://iwate-archive.pref.iwate.jp/wp/wp-content/uploads/2017/02/records_of_miyako_city.pdf
7,Fukushima ,1,Iwaki City,348,,0,,,,,,,,,Wikipedia ENG,https://en.wikipedia.org/wiki/List_of_cities_and_towns_severely_damaged_by_the_2011_Tōhoku_earthquake_and_tsunami
4,Miyagi ,21,Iwanuma City,183,,0,,,,,,,,,Wikipedia ENG,https://en.wikipedia.org/wiki/List_of_cities_and_towns_severely_damaged_by_the_2011_Tōhoku_earthquake_and_tsunami
8,Ibaraki ,20,Joso City,1,,4,,,,,,,,,Wikipedia ENG,https://en.wikipedia.org/wiki/List_of_cities_and_towns_severely_damaged_by_the_2011_Tōhoku_earthquake_and_tsunami
3,Iwate ,31,Kamaishi City,1082,,,,,,,,,,,The Great East Japan earthquake and tsunami records of Miyako city.,https://iwate-archive.pref.iwate.jp/wp/wp-content/uploads/2017/02/records_of_miyako_city.pdf
