STATION_ID,STATION_NAME,LATITUDE,LONGITUDE,STATION_TYPE,REFERENCES,SOIL_TYPE,PGA_VALUE,SA(0.3)_VALUE,SA(0.6)_VALUE,SA(1.0)_VALUE,SA(3.0)_VALUE,PGA_LN_SIGMA,SA(0.3)_LN_SIGMA,SA(0.6)_LN_SIGMA,SA(1.0)_LN_SIGMA,SA(3.0)_LN_SIGMA,PGA_N,SA(0.3)_N,SA(0.6)_N,SA(1.0)_N,SA(3.0)_N,PGA_E,SA(0.3)_E,SA(0.6)_E,SA(1.0)_E,SA(3.0)_E
BAR5,BARJE,42.8165,21.8153,seismic,SSS,A,0.002354525,0.00513111,0.00382573,0.000926677,0.000242081,0,0,0,0,0,0.002354525,0.00513111,0.002946868,0.000861538,0.000242081,0.002019038,0.004903673,0.00382573,0.000926677,0.000212968
BEOA,BEOGRAD,44.8093,20.4715,seismic,SSS,B,0.01570159,0.058389552,0.01637908,0.004703696,0.000639648,0,0,0,0,0,0.01174815,0.031343211,0.01637908,0.004013654,0.00046235,0.01570159,0.058389552,0.013700652,0.004703696,0.000639648
CELA,CELIJE,43.419,21.196,seismic,SSS,A,0.00506799,0.009292419,0.004035649,0.00123042,0.000493247,0,0,0,0,0,0.004721286,0.009292419,0.004035649,0.00103645,0.000493247,0.00506799,0.008039453,0.003250335,0.00123042,0.000421602
VRUA,VRUTCI,43.8494,19.7101,seismic,SSS,A,0.00539022,0.011325417,0.005866366,0.003406362,0.000537707,0,0,0,0,0,0.004476554,0.008209164,0.004204555,0.001972457,0.000459861,0.00539022,0.011325417,0.005866366,0.003406362,0.000537707
CACA,CACAK,43.906,20.3567,seismic,SSS,E,0.164296676,0.286618621,0.124333651,0.024273366,0.002498876,0,0,0,0,0,0.099459041,0.130934121,0.075705261,0.024273366,0.002361979,0.164296676,0.286618621,0.124333651,0.022045541,0.002498876
NISA,,43.404,21.947,seismic,SSS,,0.004658064,0.011050879,0.006072532,0.001437586,0.000473077,0,0,0,0,0,0.004658064,0.005509088,0.003088975,0.000813428,0.000316285,0.004267512,0.011050879,0.006072532,0.001437586,0.000473077
SABA,SABAC-TEKERIS,44.7581,19.6919,seismic,SSS,E,0.008129178,0.03394261,0.014407438,0.004249555,0.001134292,0,0,0,0,0,0.006077509,0.016070004,0.014407438,0.00364313,0.001134292,0.008129178,0.03394261,0.013188663,0.004249555,0.000774607
ZAGA,ZAJECAR-GRLISTE,44.2409,21.8068,seismic,SSS,A,0.01038275,0.027842923,0.003532827,0.001636094,0.000414341,0,0,0,0,0,0.008197499,0.021634381,0.003443612,0.001636094,0.000414341,0.01038275,0.027842923,0.003532827,0.00104164,0.000385901
JAGA,JAGODINA,43.971,21.26,seismic,SSS,C-E,0.009872892,0.03312024,0.01008898,0.007834653,0.004877272,0,0,0,0,0,0.009872892,0.03312024,0.01008898,0.007834653,0.004877272,0.009476223,0.030203607,0.00728008,0.006111669,0.002438182
LAZA,ZAGUBICA-LAZNICA,43.8648,19.4061,seismic,SSS,A,0.006029582,0.011340121,0.018707989,0.00511096,0.00067962,0,0,0,0,0,0.006029582,0.011340121,0.018707989,0.004674665,0.000458067,0.004768193,0.010278943,0.011674996,0.00511096,0.00067962
BDVA,BANATSKI DVOR,45.5377,20.4744,seismic,SSS,E,0.002834811,0.008953567,0.00524025,0.004386432,0.00154536,0,0,0,0,0,0.00197621,0.007254628,0.00524025,0.003951186,0.001116314,0.002834811,0.008953567,0.005202398,0.004386432,0.00154536
ZAJA,,43.8126,22.233,seismic,SSS,A,0.00190381,0.006809563,0.002691796,0.000994917,0.000490861,0,0,0,0,0,0.000817812,0.002164909,0.001027119,0.000463899,0.000113596,0.00190381,0.006809563,0.002691796,0.000994917,0.000490861
RADA,,43.5205,19.8831,seismic,SSS,,0.013350125,0.039938011,0.018768336,0.003660536,0.000344878,0,0,0,0,0,0.013350125,0.039938011,0.013647005,0.003259146,0.000316724,0.011612528,0.025835907,0.018768336,0.003660536,0.000344878
VALA,VRALJEVO,44.2726,19.8831,seismic,SSS,B-E,0.026243416,0.057422973,0.023771043,0.008167009,0.000837962,0,0,0,0,0,0.015857607,0.032958503,0.022271122,0.007888637,0.000561119,0.026243416,0.057422973,0.023771043,0.008167009,0.000837962
PAZA,NOVI PAZAR,43.1573,20.5456,seismic,SSS,A,0.007676424,0.008692867,0.007846726,0.002385555,0.001389404,0,0,0,0,0,0.006986076,0.008692867,0.006356289,0.001520631,0.001389404,0.007676424,0.00852446,0.007846726,0.002385555,0.000583981
SVIA,SVILAJNAC,44.2655,21.2152,seismic,SSS,E,0.042697557,0.109783117,0.017377851,0.004815498,0.000969475,0,0,0,0,0,0.042697557,0.072487302,0.015659364,0.004010014,0.000546772,0.037402171,0.109783117,0.017377851,0.004815498,0.000969475
GRUA,GRUZA,43.8886,20.7153,seismic,SSS,A,0.063810781,0.070481887,0.04204346,0.047162905,0.007284934,0,0,0,0,0,0.063810781,0.070481887,0.04204346,0.047162905,0.007284934,0.061163598,0.051829544,0.032255245,0.019252324,0.002993295
RUDA,RUDNIK,44.105,20.4833,seismic,SSS,B-C,0.023849123,0.020439273,0.007633116,0.008315674,0.002007189,0,0,0,0,0,0.023849123,0.020256295,0.007125777,0.005972233,0.002007189,0.01997828,0.020439273,0.007633116,0.008315674,0.00103438
ROV1,ROVNI,44.2426,19.7539,seismic,SSS,A,0.003615914,0.012652914,0.005625183,0.002160412,0.000328757,0,0,0,0,0,0.003320196,0.008450225,0.005145253,0.002017794,0.000328757,0.003615914,0.012652914,0.005625183,0.002160412,0.000224032
