FIELD,DESCRIPTION
Year,2011
Country,Japan
Region,East Asia
Event Name,Tōhoku 2011
Local Date,11/03/2011
Local Time,14:46:18
Longitude (decimal degrees),142.373
Latitude (decimal degrees),38.297
Depth (km),29
Mw,9.1
Max Intensity (MMI),VIII
Fault mechanism,Thrust/reverse
Tectonic region type,Subduction interface
Fatalities,13135-22312
Injured,5314-6242
Displaced population,130927-500000
Affected population,~368820
Affected units,>332395
Damaged units,144300-280920
Collapsed units,121778-400000
Economic losses,169000-309000 M USD
Insured losses,37500 M USD
Earthquake-triggered effects,Tsunami
USGS event ID,official20110311054624120 30
Wikipedia page,https://en.wikipedia.org/wiki/2011 Tōhoku earthquake and tsunami
