FIELD,DESCRIPTION
Year,2010
Country,Chile
Region,South America
Event Name,Maule 2010
Local Date,27/02/2010
Local Time,03:34:00
Latitude (decimal degrees),-36.1723
Longitude (decimal degrees),-73.142
Depth (km),30
Mw,8.8
Max Intensity (MMI),VIII
Fault mechanism,Reverse
Tectonic region type,Subduction
Fatalities,486-562
Injured,500-12000
Displaced population,800000-2000000
Affected population,800000-1861222
Affected units,~1500000 
Damaged units,126883-500000 
Collapsed units,81444-81449 
Economic losses,15000-37280 M USD
Insured losses,4000-9941 M USD
Earthquake-triggered effects,"Tsunami, Landslides"
USGS event ID,official20100227063411530 30
Wikipedia page,https://en.wikipedia.org/wiki/2010 Chile earthquake
