ID_1;NAME_1;ID_2;NAME_2;LATITUDE;LONGITUDE;TAXONOMY;GEM_TAXONOMY;AFFECTED_UNITS;DAMAGED_UNITS;COLLAPSED_UNITS;UNIT_TYPES;UNDER_30%;OVER_30%;DS2_MODERATE;DS3_EXTENSIVE;UNIT_TYPES_ORIGINAL;CAUSE_OF_DAMAGE;REFERENCE;COMMENTS
35533022B60114702628374;Zanjan;92399257B60182536472072;Abhar;36.153;49.236;;;;;;;937;0;937;0;Buildings;Ground shaking;CEQID + Tehran Housing Foundation ;
35533022B31104615707077;Gilan;92399257B51373273545173;Astaneh-e-Ashrafiyyeh ;37.259;49.939;;;;;;;1724;4644;1724;4644;Buildings;Ground shaking;CEQID + Tehran Housing Foundation ;
35533022B31104615707077;Gilan;92399257B51373273545173;Bandar-e-Anzali ;37.467;49.486;;;;;;;31;10;31;10;Buildings;Ground shaking;CEQID + Tehran Housing Foundation ;
35533022B31104615707077;Gilan;92399257B63328788973389;Fuman ;37.221;49.307;;;;;;;2963;11462;2963;11462;Buildings;Ground shaking;CEQID + Tehran Housing Foundation ;
35533022B31104615707077;Gilan;;Hashtpar-e Tavalesh ;37.792;48.903;;;;;;;757;417;757;417;Buildings;Ground shaking;CEQID + Tehran Housing Foundation ;
35533022B59682381333544;Ardabil;92399257B56795557068941;Khalkhal ;37.552;48.277;;;;;;;2224;1266;2224;1266;Buildings;Ground shaking;CEQID + Tehran Housing Foundation ;
35533022B31104615707077;Gilan;92399257B83300831248109;Lahijan ;37.221;49.958;;;;;;;6240;8504;6240;8504;Buildings;Ground shaking;CEQID + Tehran Housing Foundation ;
35533022B31104615707077;Gilan;92399257B30599005566315;Langrud ;37.2;50.141;;;;;;;584;1081;584;1081;Buildings;Ground shaking;CEQID + Tehran Housing Foundation ;
35533022B99990464935433;East Azerbaijan;92399257B50844931278986;Mianeh ;37.408;47.721;;;;;;;1435;0;1435;0;Buildings;Ground shaking;CEQID + Tehran Housing Foundation ;
35533022B65125877007618;Qazvin ;92399257B51844478489748;Qazvin ;36.259;50;;;;;;;2619;2793;2619;2793;Buildings;Ground shaking;CEQID + Tehran Housing Foundation ;
35533022B31104615707077;Gilan;92399257B15318306127271;Rasht ;37.274;49.588;;;;;;;5442;8308;5442;8308;Buildings;Ground shaking;CEQID + Tehran Housing Foundation ;
35533022B31104615707077;Gilan;92399257B73307007761371;Rudbar ;36.789;49.406;;;;;;;500;28232;500;28232;Buildings;Ground shaking;CEQID + Tehran Housing Foundation ;
35533022B31104615707077;Gilan;92399257B37491190729220;Rudsar ;37.136;50.286;;;;;;;2599;7612;2599;7612;Buildings;Ground shaking;CEQID + Tehran Housing Foundation ;
35533022B31104615707077;Gilan;92399257B92702391342817;Some'e-Sara;37.292;49.308;;;;;;;681;3447;681;3447;Buildings;Ground shaking;CEQID + Tehran Housing Foundation ;
35533022B65125877007618;Qazvin ;92399257B7123551633736;Takestan ;36.059;49.687;;;;;;;115;0;115;0;Buildings;Ground shaking;CEQID + Tehran Housing Foundation ;
35533022B60114702628374;Zanjan;92399257B9663291168504;Zanjan ;36.671;48.476;;;;;;;0;17008;0;17008;Buildings;Ground shaking;CEQID + Tehran Housing Foundation ;
