Clave,A. Máx. (cm/s/s),Zonificación Seismica ,Epicentro [km]
TH35,56.45,Zona IIId - Lago,294
VM29,53.63,Zona IIIc - Lago,300
XO36,53.57,Zona IIIc - Lago,289
EX08,48.89,Zona IIIb - Lago,304
PE10,48.37,Zona IIIb - Lago,300
EX12,43.67,Zona IIIb - Lago,304
GA62,42.13,Zona IIIb - Lago,306
HJ72,41.86,Zona IIIc - Lago,305
LV17,41.46,Zona IIIa - Lago,312
AL01,41.35,Zona IIIb - Lago,305
EX09,40.81,Zona IIIb - Lago,304
SP51,39.76,Zona IIIb - Lago,299
BL45,39.68,Zona IIIb - Lago,304
UC44,39.65,Zona IIIa - Lago,305
JA43,39.37,Zona IIIc - Lago,303
CH84,34.03,Zona IIIa - Lago,295
DX37,33.9,Zona II - Transición ,294
LI58,33.44,Zona IIIb - Lago,304
DR16,31.13,Zona II - Transición ,311
RM48,29.96,Zona IIIb - Lago,306
AU46,27.39,Zona II - Transición ,299
TP13,24.04,Zona I - Lomas,289
CO47,22.78,Zona II - Transición ,298
ES57,21.73,Zona II - Transición ,301
CP28,21.23,Zona I - Lomas,308
CE23,20.65,Zona IIId - Lago,311
MT50,20.2,Zona I - Lomas,303
ME52,19.7,Zona II - Transición ,305
UI21,14.27,Zona I - Lomas,295
FJ74,14.17,Zona I - Lomas,289
JC54,13.26,Zona IIIa - Lago,293
CS78,12.89,Zona I - Lomas,296
PA34,12.8,Zona I - Lomas,284
CE18,8.73,Zona I - Lomas,297
CT64,4.58,Zona I - Lomas,312
