ID_1,NAME_1,FATALITIES,FATALITIES_GROUND_SHAKING,INJURIES,DISPLACED_POPULATION,AFFECTED_POPULATION,AFFECTED_UNITS,DAMAGED_UNITS,COLLAPSED_UNITS,UNIT_TYPES,ECONOMIC_LOSSES,INSURED_LOSSES,CURRENCY,INDUCED_EFFECTS,FLAG,REFERENCE,COMMENTS
3.1,Kocaeli,10868,,18447,,,,31327,23810,Buildings,,,,,,Event_Report_Kocaeli,https://www.preventionweb.net/files/2667_TurkeyEvent.pdf
3.2,Sakarya,3046,,6884,,,,19043,12200,Buildings,,,,,,Event_Report_Kocaeli,https://www.preventionweb.net/files/2667_TurkeyEvent.pdf
3.3,Yalova,2530,,5937,,,,9462,7913,Buildings,,,,,,Event_Report_Kocaeli,https://www.preventionweb.net/files/2667_TurkeyEvent.pdf
1,Istanbul,984,,7204,,,,3073,18339,Buildings,,,,,,Event_Report_Kocaeli,https://www.preventionweb.net/files/2667_TurkeyEvent.pdf
11.1,Bolu,363,,1159,,,,3095,4180,Buildings,,,,,,Event_Report_Kocaeli,https://www.preventionweb.net/files/2667_TurkeyEvent.pdf
4.1,Birsa,219,,2375,,,,29,104,Buildings,,,,,,Event_Report_Kocaeli,https://www.preventionweb.net/files/2667_TurkeyEvent.pdf
6.1,Eskisehir,15,,375,,,,76,47,Buildings,,,,,,Event_Report_Kocaeli,https://www.preventionweb.net/files/2667_TurkeyEvent.pdf
11.1,Zanguldak,3,,26,,,,,,,,,,,,Event_Report_Kocaeli,https://www.preventionweb.net/files/2667_TurkeyEvent.pdf
2.3,Takirdag,0,,35,,,,,,,,,,,,Event_Report_Kocaeli,https://www.preventionweb.net/files/2667_TurkeyEvent.pdf
,Bolu,270,,,,,,7,,Buildings,,,,,,JICA,https://openjicareport.jica.go.jp/pdf/11707833_09.pdf
,Duzce,,,,,,,3088,,Buildings,,,,,,JICA,https://openjicareport.jica.go.jp/pdf/11707833_09.pdf
,Bursa,268,,,,,,63,,Buildings,,,,,,JICA,https://openjicareport.jica.go.jp/pdf/11707833_09.pdf
,Sakarya,3891,,,,,,19043,,Buildings,,,,,,JICA,https://openjicareport.jica.go.jp/pdf/11707833_09.pdf
,Yalova,2504,,,,,,9462,,Buildings,,,,,,JICA,https://openjicareport.jica.go.jp/pdf/11707833_09.pdf
,Kocaeli,9477,,,,,,19315,,Buildings,,,,,,JICA,https://openjicareport.jica.go.jp/pdf/11707833_09.pdf
,Golcuk,,,,,,,12310,,Buildings,,,,,,JICA,https://openjicareport.jica.go.jp/pdf/11707833_09.pdf
,Istanbul,981,,,,,,3073,,Buildings,,,,,,JICA,https://openjicareport.jica.go.jp/pdf/11707833_09.pdf
,Eskisehir,86,,,,,,80,,Buildings,,,,,,JICA,https://openjicareport.jica.go.jp/pdf/11707833_09.pdf
