FIELD,DESCRIPTION
Year,2001
Country,El Salvador
Region,Caribbean Central America
Event Name,Subduction 2001
Local Date,13/01/2001
Local Time,11:45:00
Latitude (decimal degrees),12.83
Longitude (decimal degrees),-88.79
Depth (km),39
Mw,7.7
Max Intensity (MMI),VIII
Fault mechanism,Normal
Tectonic region type,Subduction Intraslab
Fatalities,683-1500
Injured,3440-5565
Displaced population,45857-81486
Affected population,1160316-1692942
Affected units,~222773 
Damaged units,84682-277953 
Collapsed units,38628-108261 
Economic losses,753-2000 M USD
Insured losses,290 M USD
Earthquake-triggered effects,"Landslides, Tsunami"
USGS event ID,usp000a7m5
Wikipedia page,https://en.wikipedia.org/wiki/January 2001 El Salvador earthquake
