STATION_ID,STATION_NAME,LATITUDE,LONGITUDE,STATION_TYPE,REFERENCES,SOIL_TYPE,PGA_VALUE,PGA_LN_SIGMA,SA(0.3)_VALUE,SA(0.3)_LN_SIGMA,SA(0.6)_VALUE,SA(0.6)_LN_SIGMA,SA(1.0)_VALUE,SA(1.0)_LN_SIGMA,VS30_TYPE
ABS1,ABS1,40.65,23.1,seismic,GHEAD,B,0.040014,0,0.051951005,0,0.111162066,0,0.075267529,0,B
EDE1,EDE1,40.805,22.051,seismic,GHEAD,C,0.027535,0,0.056009563,0,0.113886576,0,0.031134755,0,C
FLO1,FLO1,40.787,21.404,seismic,GHEAD,B,0.026096001,0,0.08486378,0,0.030822911,0,0.012551682,0,B
KAR1,KAR1,39.366,21.92,seismic,GHEAD,C,0.023596001,0,0.075101778,0,0.06932122,0,0.056097264,0,C
KAS1,KAS1,40.518,21.259,seismic,GHEAD,B,0.020242001,0,0.068009655,0,0.046532526,0,0.031318387,0,B
KAT1,KAT1,40.267,22.5,seismic,GHEAD,C,0.039921001,0,0.089175009,0,0.065987448,0,0.080786443,0,C
KOZ1,KOZ1,40.302,21.784,seismic,GHEAD,B,0.20857001,0,0.406315168,0,0.161330364,0,0.113184103,0,B
KRP1,KRP1,38.917,21.8,seismic,GHEAD,A,0.014083,0,0.018453408,0,0.011892782,0,0.005882446,0,A
LAR1,LAR1,39.637,22.417,seismic,GHEAD,D,0.029445999,0,0.069796797,0,0.073170421,0,0.096985089,0,D
VER1,VER1,40.526,22.203,seismic,GHEAD,B,0.027056,0,0.07212021,0,0.084568407,0,0.038375829,0,B
