# 19780916_M7.3_Tabas median gmf, Stations:Seismic, gmlt:USGS, Rupture:GCMT
custom_site_id,lon,lat,AbrahamsonEtAl2014,CampbellBozorgnia2014,ChiouYoungs2014
m_100,56.76213,33.70142,0.4405927,0.45499766,0.50826263
m_101,56.78848,33.73223,0.39985463,0.4168711,0.4640769
m_102,56.8821,33.8282,0.3080314,0.36548692,0.35023665
m_103,56.982,33.02844,0.38211778,0.4693992,0.36070973
m_104,56.91933,33.01659,0.35967422,0.36056307,0.35243827
m_105,56.67772,33.71564,0.3976028,0.39500332,0.4048184
m_106,56.64834,33.6564,0.42348558,0.40274677,0.4461494
m_107,56.64823,33.29858,0.31996602,0.31050122,0.30554703
m_108,56.61398,33.45853,0.39532742,0.40819225,0.38359553
m_109,57.12946,33.77962,0.2782058,0.27915582,0.21250653
m_110,57.42479,33.37796,0.3626462,0.3365899,0.33640537
m_111,57.51184,33.30213,0.3778041,0.38224217,0.36909768
m_112,57.20219,33.75948,0.24525462,0.23902741,0.19438338
m_113,57.39298,33.42891,0.31811398,0.31044495,0.26752368
m_114,57.51631,33.32464,0.3463225,0.34462485,0.33761668
m_115,57.12085,33.80806,0.27686095,0.27060884,0.21227787
m_116,57.23418,33.75,0.20477594,0.21486457,0.1655614
m_117,57.23585,33.79858,0.20962253,0.20407362,0.17880854
m_118,56.50162,33.74171,0.26640975,0.26295137,0.24483092
m_119,57.24463,33.80687,0.2128046,0.20100848,0.18931097
m_120,57.25041,33.79621,0.1990809,0.19638313,0.17201927
m_121,57.56518,33.17773,0.34994975,0.3164056,0.28560632
m_122,57.27236,33.82109,0.19211568,0.18290274,0.17931381
m_123,57.31641,33.57109,0.25349224,0.2605969,0.20146988
m_124,57.35271,33.54502,0.2848797,0.26650947,0.23391342
m_125,57.29044,33.62559,0.27834895,0.2595303,0.22229509
m_126,57.226,33.87559,0.18946497,0.18684678,0.17257822
m_127,57.30781,33.6019,0.27966535,0.2614832,0.22396755
m_128,57.19543,33.88033,0.20026073,0.1967758,0.17442545
m_129,57.22609,33.89692,0.17993402,0.18056494,0.16613045
m_130,57.38926,33.5782,0.24866347,0.23428252,0.21929084
m_131,57.37917,33.60308,0.24472588,0.22864456,0.21782266
m_132,57.40678,33.58768,0.235602,0.22359736,0.21330503
m_133,57.35636,33.71564,0.18395399,0.184818,0.17026256
m_134,57.35787,33.7263,0.17658368,0.17927533,0.16505553
m_135,57.17524,33.92536,0.19905484,0.19254118,0.17659037
m_136,57.37377,33.70024,0.19096902,0.1880378,0.17963842
m_137,57.22044,33.93839,0.17458327,0.17515369,0.16588521
