STATION_ID,STATION_NAME,LATITUDE,LONGITUDE,STATION_TYPE,REFERENCES,PGA_VALUE,SA(0.3)_VALUE,SA(0.6)_VALUE,SA(1.0)_VALUE,PGA_LN_SIGMA,SA(0.3)_LN_SIGMA,SA(0.6)_LN_SIGMA,SA(1.0)_LN_SIGMA,PGA_VALUE_1,SA(0.3)_VALUE_1,SA(0.6)_VALUE_1,SA(1.0)_VALUE_1,PGA_VALUE_2,SA(0.3)_VALUE_2,SA(0.6)_VALUE_2,SA(1.0)_VALUE_2,PGA_VALUE_V,SA(0.3)_VALUE_V,SA(0.6)_VALUE_V,SA(1.0)_VALUE_V,SOIL_TYPE,VS30,VS30_TYPE ,MMI_VALUE,MMI_STDDEV,PGV_LN_SIGMA,PGV_VALUE,SA(3.0)_LN_SIGMA,SA(3.0)_VALUE,VS30_TYPE
201209051442GNSR.lis,201209051442GNSR.lis,9.979,-85.648,seismic,CRSMD_LIS_UCR_Recording_Stations.zip,1.58,1.400959173,0.713699776,0.381170012,0.0,0.0,0.0,0.0,0.684,1.115741468,0.616183876,0.196042761,1.58,1.400959173,0.713699776,0.381170012,0.783,0.0,0.0,0.0,,,,,,,,,,
201209051442GSTC.lis,201209051442GSTC.lis,10.286,-85.59,seismic,CRSMD_LIS_UCR_Recording_Stations.zip,0.563,2.089394814,0.54452896,0.23280016,0.0,0.0,0.0,0.0,0.563,2.089394814,0.54452896,0.23280016,0.382,1.159641631,0.513998111,0.224990512,0.221,0.0,0.0,0.0,,,,,,,,,,
201209051442PPQR.lis,201209051442PPQR.lis,9.82,-84.936,seismic,CRSMD_LIS_UCR_Recording_Stations.zip,0.428,0.810198583,1.714835772,0.502157608,0.0,0.0,0.0,0.0,0.317,0.810198583,1.039858087,0.362749524,0.428,0.70506815,1.714835772,0.502157608,0.205,0.0,0.0,0.0,,,,,,,,,,
201209051442AFRA.lis,201209051442AFRA.lis,10.137,-84.193,seismic,CRSMD_LIS_UCR_Recording_Stations.zip,0.361,0.959203688,0.462088108,0.2763331,0.0,0.0,0.0,0.0,0.276,0.959203688,0.299029321,0.2763331,0.361,0.731040007,0.462088108,0.244258419,0.0746,0.0,0.0,0.0,,,,,,,,,,
201209051442ASRM.lis,201209051442ASRM.lis,10.087,-84.485,seismic,CRSMD_LIS_UCR_Recording_Stations.zip,0.263,0.589824769,0.449017066,0.852083674,0.0,0.0,0.0,0.0,0.263,0.444764164,0.426144571,0.839353636,0.225,0.589824769,0.449017066,0.852083674,0.0918,0.0,0.0,0.0,,,,,,,,,,
201209051442GNYA.lis,201209051442GNYA.lis,10.145,-85.453,seismic,CRSMD_LIS_UCR_Recording_Stations.zip,0.241,0.532899085,0.403576883,0.195031257,0.0,0.0,0.0,0.0,0.241,0.532899085,0.403576883,0.195031257,0.199,0.378919448,0.283435737,0.149233699,0.138,0.0,0.0,0.0,,,,,,,,,,
201209051442PCDA.lis,201209051442PCDA.lis,9.911,-84.717,seismic,CRSMD_LIS_UCR_Recording_Stations.zip,0.221,0.642609205,0.328731485,0.23012754,0.0,0.0,0.0,0.0,0.221,0.642609205,0.328731485,0.23012754,0.201,0.504808475,0.29151695,0.220048523,0.0776,0.0,0.0,0.0,,,,,,,,,,
201209051442PPUN.lis,201209051442PPUN.lis,9.981,-84.81,seismic,CRSMD_LIS_UCR_Recording_Stations.zip,0.212,0.649861368,0.427499114,0.34283747,0.0,0.0,0.0,0.0,0.212,0.346277695,0.400618971,0.34283747,0.181,0.649861368,0.427499114,0.212160414,0.0721,0.0,0.0,0.0,,,,,,,,,,
201209051442GJTS.lis,201209051442GJTS.lis,10.281,-84.963,seismic,CRSMD_LIS_UCR_Recording_Stations.zip,0.206,0.635147587,0.389870756,0.157992583,0.0,0.0,0.0,0.0,0.206,0.635147587,0.283573221,0.157992583,0.143,0.258371786,0.389870756,0.14958297,0.0817,0.0,0.0,0.0,,,,,,,,,,
201209051442APMR.lis,201209051442APMR.lis,10.057,-84.433,seismic,CRSMD_LIS_UCR_Recording_Stations.zip,0.19,0.65781926,0.333197554,0.3663156,0.0,0.0,0.0,0.0,0.19,0.65781926,0.319730979,0.3663156,0.177,0.443422064,0.333197554,0.173426043,0.0979,0.0,0.0,0.0,,,,,,,,,,
