# 20090108_M6.1_Cinchona median gmf, Stations:None, gmlt:GEM, Rupture:SCARDEC
custom_site_id,lon,lat,AbrahamsonEtAl2014,AkkarEtAlRjb2014,CauzziEtAl2014
t_0,-85.14306,9.61058,0.014638445,0.007104047,0.009389342
t_1,-85.05323,9.65487,0.01624848,0.0076659457,0.010347981
t_10,-85.14306,9.65487,0.017192552,0.008187522,0.010556557
t_100,-85.00832,10.00891,0.023239894,0.010479011,0.014197492
t_1000,-83.84051,9.83194,0.046302218,0.020899305,0.029014338
t_1001,-83.88542,9.87619,0.060963973,0.02803605,0.037226763
t_1002,-83.84051,9.87619,0.0600217,0.026839567,0.035693977
t_1003,-83.93034,9.87619,0.082744926,0.03886916,0.04825239
t_1004,-83.84051,9.92044,0.054552373,0.02514939,0.034420207
t_1005,-84.55916,9.61058,0.030349297,0.013528939,0.018177947
t_1006,-84.60407,9.61058,0.02785771,0.012442655,0.016857393
t_1007,-84.37949,9.522,0.043757953,0.018797368,0.023923954
t_1008,-84.51424,9.5663,0.03099506,0.013789679,0.018361261
t_1009,-84.46933,9.5663,0.038231883,0.016801504,0.021632213
t_101,-85.05323,10.00891,0.021336718,0.009696528,0.013140359
t_1010,-84.42441,9.5663,0.038508292,0.017000068,0.021983307
t_1011,-84.37949,9.5663,0.03916888,0.017348941,0.022479227
t_1012,-84.51424,9.61058,0.033157676,0.014766055,0.019647906
t_1013,-84.42441,9.61058,0.03671782,0.016414003,0.021708744
t_1014,-84.37949,9.61058,0.038666714,0.017328344,0.022799233
t_1015,-84.46933,9.61058,0.03681579,0.016375959,0.021482825
t_1016,-84.46933,9.65487,0.034334294,0.015470122,0.020890746
t_1017,-84.64899,9.65487,0.03281065,0.014525238,0.019025486
t_1018,-84.60407,9.65487,0.029603314,0.013218917,0.017915655
t_1019,-84.55916,9.65487,0.026979633,0.012272056,0.017172111
t_102,-84.9634,10.00891,0.025371166,0.011371893,0.015389709
t_1020,-84.64899,9.69914,0.034779225,0.015412587,0.02019737
t_1021,-84.60407,9.69914,0.028371653,0.012849516,0.01782023
t_1022,-84.55916,9.69914,0.036845513,0.01645487,0.021716649
t_1023,-84.55916,9.74341,0.039298132,0.017655952,0.023229886
t_1024,-84.60407,9.74341,0.032243665,0.014562369,0.019859716
t_1025,-84.64899,9.74341,0.033540025,0.014976646,0.020037819
t_1026,-84.42441,9.65487,0.04086016,0.018372964,0.024023365
t_1027,-84.37949,9.65487,0.049506497,0.022164691,0.028064586
t_1028,-84.51424,9.65487,0.0325049,0.014588373,0.019770084
t_1029,-84.37949,9.69914,0.039531287,0.018354446,0.024553698
t_103,-85.00832,10.05314,0.023686001,0.010664356,0.014446311
t_1030,-84.51424,9.69914,0.041475732,0.018547779,0.024072813
t_1031,-84.46933,9.69914,0.05285225,0.02335752,0.02937877
t_1032,-84.42441,9.69914,0.042651977,0.019404724,0.025391757
t_1033,-84.42441,9.74341,0.040955894,0.01913286,0.025456516
t_1034,-84.51424,9.74341,0.044636324,0.020127503,0.02595761
t_1035,-84.46933,9.74341,0.036481094,0.016966796,0.023052895
t_1036,-84.42441,9.78768,0.043081395,0.0205962,0.027219018
t_1037,-84.51424,9.78768,0.040357877,0.01861323,0.024749046
t_1038,-84.46933,9.78768,0.054852754,0.025231335,0.03155498
t_1039,-84.42441,9.83194,0.06269515,0.029949179,0.03652862
t_104,-84.87357,10.05314,0.045707718,0.019482462,0.024838654
t_1040,-84.51424,9.83194,0.04919841,0.022827378,0.029204689
t_1041,-84.46933,9.83194,0.043882243,0.021056587,0.027728017
t_1042,-84.46933,9.87619,0.060587168,0.02912953,0.035755746
t_1043,-84.42441,9.87619,0.052956384,0.026511313,0.03348706
t_1044,-84.51424,9.87619,0.06323992,0.029664675,0.03622123
t_1045,-84.42441,9.92044,0.06405908,0.032763284,0.039452918
t_1046,-84.55916,9.78768,0.048719056,0.021904504,0.027822789
t_1047,-84.60407,9.78768,0.03841089,0.017303444,0.022934576
t_1048,-84.64899,9.78768,0.03621753,0.016226565,0.02158633
t_1049,-84.60407,9.83194,0.047264613,0.021347616,0.027286114
t_105,-84.82865,10.09737,0.041550525,0.018403817,0.023705859
t_1050,-84.55916,9.83194,0.044744812,0.020524776,0.026704969
t_1051,-84.64899,9.83194,0.0487782,0.021642083,0.027408462
t_1052,-84.64899,9.87619,0.049295943,0.022171369,0.028118402
t_1053,-84.55916,9.87619,0.05487236,0.02543444,0.03182283
t_1054,-84.60407,9.87619,0.060081705,0.026954664,0.033474997
t_1055,-84.55916,9.92044,0.06907292,0.03211166,0.038941875
t_1056,-84.64899,9.92044,0.05170171,0.023501879,0.029651675
t_1057,-84.60407,9.92044,0.059227552,0.027245019,0.033686478
t_1058,-84.60407,9.96468,0.061351046,0.02869157,0.035242137
t_1059,-84.64899,9.96468,0.05461243,0.025081554,0.031406805
t_106,-84.87357,10.09737,0.039808903,0.017472722,0.02242637
t_1060,-84.55916,9.96468,0.06391674,0.030711494,0.037337948
t_1061,-84.64899,10.00891,0.05318206,0.024748662,0.031233795
t_1062,-84.60407,10.00891,0.062186945,0.029549245,0.036209304
t_1063,-84.55916,10.00891,0.06913485,0.033815764,0.04046305
t_1064,-84.55916,10.05314,0.062997244,0.03151348,0.038471915
t_1065,-84.64899,10.05314,0.05414213,0.025398638,0.03206031
t_1066,-84.46933,9.92044,0.07031795,0.034685142,0.041194312
t_1067,-84.51424,9.92044,0.072616905,0.034682278,0.04140401
t_1068,-84.42441,9.96468,0.08366088,0.04408559,0.04966841
t_1069,-84.51424,9.96468,0.067924,0.033591602,0.04017038
t_107,-84.91848,10.09737,0.035643056,0.015664782,0.020222487
t_1070,-84.46933,9.96468,0.062285893,0.03223864,0.03903321
t_1071,-84.46933,10.00891,0.07470405,0.039648958,0.045720894
t_1072,-84.42441,10.00891,0.0771466,0.04332055,0.04872945
t_1073,-84.51424,10.00891,0.060757212,0.03132134,0.03826247
t_1074,-84.51424,10.05314,0.07549891,0.03917174,0.04553289
t_1075,-84.46933,10.05314,0.083550654,0.0458294,0.051051956
t_1076,-84.42441,10.05314,0.11691805,0.067842275,0.0691711
t_1077,-84.51424,10.09737,0.086664364,0.045746237,0.051630914
t_1078,-84.42441,10.09737,0.11920072,0.07312352,0.071468964
t_1079,-84.46933,10.09737,0.10701904,0.06021577,0.06345679
t_108,-84.91848,10.14158,0.03487461,0.015374057,0.019951928
t_1080,-84.46933,10.14158,0.115703486,0.066251226,0.06868074
t_1081,-84.51424,10.14158,0.096972585,0.05157577,0.0572602
t_1082,-84.42441,10.14158,0.12629476,0.08029672,0.07606775
t_1083,-84.46933,10.1858,0.11555824,0.066197455,0.068974204
t_1084,-84.51424,10.1858,0.097034626,0.05149105,0.05760666
t_1085,-84.42441,10.1858,0.13156027,0.083996065,0.07932042
t_1086,-84.60407,10.05314,0.06770147,0.032465033,0.03924764
t_1087,-84.55916,10.09737,0.07943797,0.039857257,0.046576492
t_1088,-84.64899,10.09737,0.057052676,0.0268689,0.03369612
t_1089,-84.60407,10.09737,0.054396823,0.026725406,0.03396589
t_109,-84.87357,10.14158,0.036609814,0.016212009,0.021150162
t_1090,-84.60407,10.14158,0.054174133,0.026783291,0.03431868
