STATION_ID,STATION_NAME,LATITUDE,LONGITUDE,STATION_TYPE,REFERENCES,PGA_VALUE,SA(0.3)_VALUE,SA(0.6)_VALUE,SA(1.0)_VALUE,PGA_LN_SIGMA,SA(0.3)_LN_SIGMA,SA(0.6)_LN_SIGMA,SA(1.0)_LN_SIGMA,PGA_VALUE_1,SA(0.3)_VALUE_1,SA(0.6)_VALUE_1,SA(1.0)_VALUE_1,PGA_VALUE_2,SA(0.3)_VALUE_2,SA(0.6)_VALUE_2,SA(1.0)_VALUE_2,PGA_VALUE_V,SA(0.3)_VALUE_V,SA(0.6)_VALUE_V,SA(1.0)_VALUE_V,VS30,VS30_TYPE,MMI_VALUE,MMI_STDDEV,PGV_LN_SIGMA,PGV_VALUE,SA(3.0)_LN_SIGMA,SA(3.0)_VALUE
3168/02,Bam1,29.09,58.35,seismic,BHRC,1.0076503568,1.5775913859,0.8798037848,1.0810118282,0,0,0,0,0.8145382263,1.5775913859,0.8798037848,1.0810118282,1.0076503568,1.0495512207,0.3362140943,0.5996539048,0.6486992864,1.1470156528,0.6977887009,0.6562461444,,,,,,,,
3176/01,Abaragh,28.099,57.229,seismic,BHRC,0.1744342508,0.0907772633,0.0502786431,0.0322536323,0,0,0,0,0.1744342508,0.0907772633,0.0502786431,0.0322536323,0.0905089704,0.0688534987,0.0282250488,0.0263809741,0.1135412844,0.0951114602,0.0338374407,0.0216324491,,,,,,,,
3162/01,Mohammad Abad-e-Mask,28.908,57.888,seismic,BHRC,0.1259133537,0.3344140548,0.1830022009,0.0903662798,0,0,0,0,0.1259133537,0.3344140548,0.1830022009,0.0903662798,0.0721069317,0.1553003183,0.0506640013,0.0261053135,0.0727801223,0.1242839221,0.0704579761,0.0341572916,,,,,,,,
3170/02,Jiroft,28.671,57.736,seismic,BHRC,0.0411114169,0.1265832831,0.0805856771,0.0303738304,0,0,0,0,0.0411114169,0.1265832831,0.0805856771,0.0303738304,0.0324234455,0.0835718405,0.0281077636,0.0253921114,0.0288760449,0.1124232105,0.0446464469,0.02233929,,,,,,,,
3164,Andoohjerd,30.231,57.752,seismic,BHRC,0.032672579,0.0858709278,0.0279252474,0.0183993834,0,0,0,0,0.032672579,0.0858709278,0.0279252474,0.0183993834,0.0152013252,0.0246065415,0.0116624226,0.0175786336,0.0350423038,0.0626353907,0.0204921236,0.009141737,,,,,,,,
3161,Sirch,30.203,57.557,seismic,BHRC,0.0317292559,0.1054953091,0.0495364731,0.0254722851,0,0,0,0,0.0317292559,0.1054953091,0.0495364731,0.0254722851,0.0149243629,0.0316303906,0.0267141866,0.0143586203,0.0302811417,0.0863626924,0.073108161,0.0211424494,,,,,,,,
3155/02,Golbaf,29.887,57.731,seismic,BHRC,0.0313723751,0.0866625508,0.0398383488,0.0441905436,0,0,0,0,0.0313723751,0.0866625508,0.0398383488,0.0441905436,0.0139636086,0.02389618,0.0276582193,0.014750869,0.0300294597,0.104159397,0.0390529137,0.0320922003,,,,,,,,
3156,Joshan,30.124,57.61,seismic,BHRC,0.0254761468,0.1068675899,0.0350805137,0.0121388346,0,0,0,0,0.0254761468,0.1068675899,0.0350805137,0.0121388346,0.017862895,0.0466082588,0.0134007084,0.0101833666,0.0373489297,0.1246105559,0.0386256645,0.0161087557,,,,,,,,
3169,Cheshmeh sabz,29.465,56.418,seismic,BHRC,0.0238416922,0.0822555121,0.0296621519,0.0100685561,0,0,0,0,0.0238416922,0.0822555121,0.0296621519,0.0079291557,0.009330683,0.0145266756,0.0111052948,0.0100685561,0.0113053007,0.0314188871,0.0166521123,0.0114078233,,,,,,,,
3188,Jiroft Dam1,28.86,57.465,seismic,BHRC,0.0222839959,0.0468441354,0.0650889843,0.0242153524,0,0,0,0,0.0222839959,0.0468441354,0.0650889843,0.0242153524,0.0107906218,0.0227255275,0.0176046733,0.0146603442,0.0120150866,0.0288518725,0.0346378006,0.0104357186,,,,,,,,
