STATION_NAME,PGA_VALUE,PGA_LN_SIGMA,LATITUDE,LONGITUDE,STATION_ID,STATION_TYPE,REFERENCES
NIS,0.508664628,0,34.664,134.964,NIS,seismic,Stations_RailwayTechnicalResearchInstitute
TAK,0.615698267,0,34.649,135.139,TAK,seismic,Stations_RailwayTechnicalResearchInstitute
KJM,0.820591233,0,34.6833,135.18,KJM,seismic,Stations_JMA
PRI,0.561671764,0,34.67,135.201,PRI,seismic,Stations_CEORKA
KAK,0.344546381,0,34.764,134.843,KAK,seismic,Stations_RailwayTechnicalResearchInstitute
KBU,0.380224261,0,34.725,135.24,KBU,seismic,Stations_CEORKA
TDO,0.293577982,0,34.48,135.408,TDO,seismic,Stations_CEORKA
TAZ,0.693170234,0,34.809,135.344,TAZ,seismic,Stations_RailwayTechnicalResearchInstitute
AMA,0.362895005,0,34.718,135.408,AMA,seismic,Stations_CEORKA
SKI,0.167176351,0,34.564,135.469,SKI,seismic,Stations_CEORKA
FK,0.215086646,0,34.687,135.474,FK,seismic,Stations_CEORKA
SHI,0.24362895,0,34.69,135.5,SHI,seismic,Stations_RailwayTechnicalResearchInstitute
ABN,0.234454638,0,34.636,135.519,ABN,seismic,Stations_CEORKA
OSA,0.078491335,0,34.6783,135.52,OSA,seismic,Unknown
MRG,0.214067278,0,34.68,135.572,MRG,seismic,Stations_CEORKA
YAE,0.158002039,0,34.68,135.612,YAE,seismic,Stations_CEORKA
CHY,0.108053007,0,34.439,135.659,CHY,seismic,Stations_CEORKA
MZH,0.069317023,0,35.448,135.32,MZH,seismic,Unknown
OKA,0.081549439,0,34.66,133.92,OKA,seismic,Unknown
TOT,0.076452599,0,35.485,134.24,TOT,seismic,Unknown
HIK,0.147808359,0,35.2733,136.247,HIK,seismic,Unknown
FUK,0.041794088,0,36.0533,136.227,FUK,seismic,Unknown
