# 20030521_M6.8_Boumerdes median gmf, Stations:Seismic, gmlt:GEM, Rupture:USGS
custom_site_id,lon,lat,AkkarEtAlRjb2014,ChiouYoungs2014
m_0,3.897,36.9197,0.858584,0.7276391
m_1,3.5015,36.7422,0.98786294,1.1368239
m_10,3.3119,36.7902,0.66902363,0.6227383
m_100,4.593,36.6415,0.057126116,0.056281343
m_101,4.0716,36.3118,0.08143215,0.08761871
m_102,4.4328,36.5204,0.0627351,0.06374629
m_103,4.1537,36.3309,0.08254613,0.09648209
m_104,4.3149,36.3597,0.054899275,0.056274146
m_105,2.7627,36.3501,0.061561745,0.06289104
m_106,2.6179,36.4604,0.115416914,0.11208675
m_107,2.843,36.1981,0.055993557,0.058725875
m_108,2.7442,36.2594,0.052714344,0.053964555
m_109,2.6806,36.3201,0.062036633,0.06299808
m_11,3.8567,36.9137,0.87460107,0.81067127
m_110,2.4942,36.5896,0.03989984,0.038914923
m_111,3.7733,35.8821,0.051175524,0.055634115
m_112,5.064,36.7594,0.036607455,0.036932703
m_113,2.4244,36.4717,0.0630132,0.06363354
m_114,5.1686,36.6462,0.04097572,0.043572303
m_115,2.75,35.8774,0.0359086,0.037284713
m_116,2.1047,36.5802,0.030384436,0.030519424
m_117,5.4767,36.6745,0.023114651,0.021976259
m_118,1.8081,36.533,0.020984886,0.019381374
m_119,1.314,36.5047,0.018452127,0.015425138
m_12,3.5119,36.7614,0.9577772,1.0958079
m_121,3.2239,36.4197,0.11087921,0.1050791
m_122,4.5233,36.4623,0.04846679,0.048759244
m_123,4.7965,36.4434,0.039754085,0.04050923
m_127,4.6163,36.0566,0.038271785,0.04058423
m_128,3.8663,35.6745,0.03941052,0.04223885
m_129,5.2849,36.4858,0.030754538,0.031158
m_13,3.5582,36.801,0.9322973,1.091553
m_130,4.5233,35.7028,0.033573676,0.035214674
m_131,1.9651,36.2547,0.023597237,0.022359109
m_132,4.8953,35.8962,0.027957559,0.02771239
m_133,2.1453,35.9811,0.026669305,0.0260548
m_134,2.6105,35.5425,0.032224353,0.033574115
m_135,5.407,36.1745,0.026994986,0.026334263
m_136,5.7849,36.8208,0.022426035,0.020901341
m_137,6.0465,36.8443,0.019029321,0.016475834
m_138,5.0756,35.5991,0.024048299,0.02202049
m_139,5.5058,35.816,0.02294156,0.020490102
m_14,3.7313,36.8825,0.86597717,0.92325556
m_140,1.2965,36.467,0.018167496,0.015047867
m_141,1.3314,36.1557,0.02018173,0.016886342
m_142,6.3314,36.717,0.014888566,0.011398652
m_143,6.2674,36.4528,0.01637156,0.01276597
m_144,6.5465,37.0189,0.0148798805,0.010865222
m_145,1.1105,35.8585,0.01701441,0.012435584
m_146,0.907,36.1132,0.013766204,0.009351455
m_147,6.907,36.8774,0.01328685,0.008425868
m_148,0.5581,35.7358,0.01488634,0.008749783
m_15,3.3612,36.6871,0.6218974,0.62275904
m_16,3.6224,36.7206,0.8124801,0.648695
m_17,3.8836,36.8705,0.7904148,0.5777831
m_18,3.8567,36.8249,0.66338265,0.49353385
m_19,3.2687,36.7266,0.5411025,0.5378217
m_2,3.606,36.7794,0.9134355,0.95884836
