# 20030521_M6.8_Boumerdes median gmf, Stations:Seismic, gmlt:GEM, Rupture:SemmaneEtAl2005
custom_site_id,lon,lat,AkkarEtAlRjb2014,ChiouYoungs2014
m_0,3.897,36.9197,0.64827305,0.40451163
m_1,3.5015,36.7422,0.64783514,0.52991056
m_10,3.3119,36.7902,0.55688435,0.5120307
m_100,4.593,36.6415,0.055117294,0.06416509
m_101,4.0716,36.3118,0.08070576,0.10451999
m_102,4.4328,36.5204,0.06437477,0.07653633
m_103,4.1537,36.3309,0.08013139,0.113875955
m_104,4.3149,36.3597,0.056240607,0.069088206
m_105,2.7627,36.3501,0.066545084,0.07465701
m_106,2.6179,36.4604,0.11830132,0.11599389
m_107,2.843,36.1981,0.063558266,0.078234434
m_108,2.7442,36.2594,0.058731124,0.06894516
m_109,2.6806,36.3201,0.067286946,0.07576212
m_11,3.8567,36.9137,0.6578565,0.43353918
m_110,2.4942,36.5896,0.041405596,0.041879058
m_111,3.7733,35.8821,0.05455652,0.072324276
m_112,5.064,36.7594,0.035084605,0.043030735
m_113,2.4244,36.4717,0.06463623,0.06759082
m_114,5.1686,36.6462,0.040233493,0.05198845
m_115,2.75,35.8774,0.041290786,0.05262521
m_116,2.1047,36.5802,0.03332175,0.039182182
m_117,5.4767,36.6745,0.023333466,0.026803669
m_118,1.8081,36.533,0.023571184,0.026531331
m_119,1.314,36.5047,0.02130196,0.022617117
m_12,3.5119,36.7614,0.6415199,0.48654616
m_121,3.2239,36.4197,0.13657622,0.14408788
m_122,4.5233,36.4623,0.049749363,0.059753545
m_123,4.7965,36.4434,0.04004873,0.04962581
m_127,4.6163,36.0566,0.040286593,0.052243695
m_128,3.8663,35.6745,0.04251241,0.05600196
m_129,5.2849,36.4858,0.031235429,0.038438354
m_13,3.5582,36.801,0.65111035,0.48634782
m_130,4.5233,35.7028,0.03553397,0.045879923
m_131,1.9651,36.2547,0.024761807,0.025345406
m_132,4.8953,35.8962,0.030140057,0.036679313
m_133,2.1453,35.9811,0.03029298,0.036404666
m_134,2.6105,35.5425,0.036391187,0.047891863
m_135,5.407,36.1745,0.028451944,0.03383139
m_136,5.7849,36.8208,0.022964533,0.02565542
m_137,6.0465,36.8443,0.019862177,0.020530973
m_138,5.0756,35.5991,0.026319347,0.029747775
m_139,5.5058,35.816,0.024900064,0.02730861
m_14,3.7313,36.8825,0.64232254,0.44054216
m_140,1.2965,36.467,0.021001825,0.022116294
m_141,1.3314,36.1557,0.023366882,0.024963569
m_142,6.3314,36.717,0.01591678,0.014546481
m_143,6.2674,36.4528,0.017628077,0.016508201
m_144,6.5465,37.0189,0.015965799,0.0138195455
m_145,1.1105,35.8585,0.019926282,0.018811211
m_146,0.907,36.1132,0.016187144,0.014186706
m_147,6.907,36.8774,0.0145671945,0.010974614
m_148,0.5581,35.7358,0.017557306,0.013530695
m_15,3.3612,36.6871,0.6281134,0.6126402
m_16,3.6224,36.7206,0.6113826,0.45123163
m_17,3.8836,36.8705,0.66379017,0.41175568
m_18,3.8567,36.8249,0.600548,0.39467087
m_19,3.2687,36.7266,0.58646506,0.5532313
m_2,3.606,36.7794,0.64331084,0.50317913
m_20,3.8299,36.7974,0.5606125,0.3503015
m_21,3.194,36.7038,0.43595362,0.45718044
m_24,3.4761,36.6427,0.61917585,0.4657219
m_25,3.5806,36.6703,0.57056963,0.3573715
m_26,3.6,36.6799,0.59609467,0.41559282
m_27,3.2522,36.8153,0.38403332,0.3657215
m_28,3.3313,36.6499,0.5717386,0.5686296
m_29,3.8313,36.7362,0.39230058,0.31891116
m_3,3.4224,36.7194,0.62904245,0.58109754
m_30,3.9507,36.7986,0.38121733,0.2961154
m_31,4.006,36.8285,0.35668176,0.262178
m_32,3.7,36.6391,0.33868164,0.27970755
m_33,4.1313,36.8825,0.2853056,0.23373315
m_34,3.5881,36.5588,0.3102496,0.27645546
m_35,3.9,36.729,0.2505765,0.19695035
m_36,4.0313,36.7998,0.29235503,0.24292
