FIELD,DESCRIPTION
Year,2016
Country,Italy
Region,"Umbria, Lazio, Abruzzo and Marche"
Event_Name,CentralItaly
Local_Date,24/08/2016
Local_Time,01:36:32
Latitude,42.723
Longitude,13.1877
Depth_(km),4.44
Mw,6.6
Max_Intensity_(MMI),IX
Fault_mechanism,Normal
Tectonic_region_type,Active Shallow Crust
Fatalities,325-336
Injured,379-455
Displaced_Population,
Affected_Population,30184
Affected_Units,
Damaged_Units,
Collapsed_Units,
Economic_Losses,5418 M USD
Insured_Losses,81 M USD
Induced_Effects,
USGS page,https://earthquake.usgs.gov/earthquakes/eventpage/us10006g7d/executive
Wikipedia page,https://en.wikipedia.org/wiki/August_2016_Central_Italy_earthquake
