# 19920413_M5.3_Roermond median gmf, Stations:None, gmlt:GEM, Rupture:EFEHR
custom_site_id,lon,lat,ESHM20Craton,"ESHM20Craton
epsilon=-1.355630","ESHM20Craton
epsilon=1.355630","ESHM20Craton
site_epsilon=-1.732051","ESHM20Craton
site_epsilon=1.732051","KothaEtAl2020ESHM20SlopeGeology
sigma_mu_epsilon = 1.73205100
c3_epsilon = 1.73205100"
t_1000,11.088089999999994,48.95228,0.00087238906,0.0004628736,0.0016442126,0.0003717024,0.0020475055,0.0008170664
t_1001,11.349490000000003,49.00887,0.0007676271,0.00040728884,0.0014467654,0.00032627356,0.0018060041,0.00063966884
t_1002,11.17541,49.00936,0.0008353658,0.00044322974,0.001574434,0.0003559278,0.001960611,0.00075212494
t_1003,11.437009999999987,49.06581,0.0007604713,0.0004034921,0.0014332786,0.00032392674,0.0017853314,0.00073660596
t_1004,11.262830000000008,49.06637,0.0008134362,0.00043159432,0.001533103,0.00034658422,0.0019091421,0.0007278416
t_1005,11.088639999999998,49.0668,0.00084836356,0.00045012613,0.0015989313,0.0003605899,0.0019959535,0.0007749877
t_1006,11.524640000000005,49.12269,0.0007527733,0.0003994077,0.00141877,0.0003199601,0.0017710574,0.0007124966
t_1007,10.218189999999993,48.95233,0.0011977685,0.0006355139,0.002257463,0.00056595606,0.002534913,0.0010637746
t_1008,10.392169999999993,48.9526,0.0011184774,0.0005934436,0.0021080214,0.0005119022,0.0024438102,0.0009934496
t_1009,9.95680999999999,49.00894,0.0013509208,0.0007167738,0.002546113,0.0006594818,0.0027673047,0.0012106497
t_1010,10.130889999999994,49.00942,0.0012686864,0.0006731417,0.002391124,0.00060866994,0.0026443973,0.0011265515
t_1011,10.30498,49.00976,0.0012580849,0.0006675168,0.002371143,0.000627785,0.00252121,0.0010964709
t_1012,10.043489999999991,49.06644,0.0012640941,0.0006707051,0.0023824687,0.0005385976,0.002966842,0.0010907715
t_1013,10.217680000000001,49.06685,0.0012263765,0.00065069285,0.0023113813,0.0005523595,0.002722863,0.0010915532
t_1014,10.391870000000011,49.06712,0.0011802857,0.00062623795,0.0022245129,0.0005516064,0.002525486,0.0010810898
t_1015,9.955980000000011,49.1234,0.0013104044,0.00069527654,0.0024697508,0.0005583292,0.0030755326,0.0013543455
t_1016,10.130269999999996,49.12387,0.0011764672,0.0006242119,0.002217316,0.00050039374,0.002765972,0.0010417969
