FIELD,DESCRIPTION
Year,2012
Country,Iran
Region,Middle East
Event Name,Ahar-Varzaghan
Local Date,11/08/2012
Local Time,16:53:00
Longitude (decimal degrees),46.86
Latitude (decimal degrees),38.52
Depth (km),11
Mw,6.4
Max Intensity (MMI),VII
Fault mechanism,Strike slip
Tectonic region type,Active Crustal
Fatalities,253-330
Injured,1380-26000
Displaced population,30000-36000
Affected population,59540-250000
Affected units,
Damaged units,11908-72000 Buildings
Collapsed units,5329-6000 
Economic losses,500-599 M USD
Insured losses,
Earthquake-triggered effects,"Rockfall, Landslides"
USGS event ID,usp000jq5p
Wikipedia page,https://en.wikipedia.org/wiki/2012 East Azerbaijan earthquakes
