# 20170919_M7.1_Puebla median gmf, Stations:All, gmlt:GEM, Rupture:SSN
custom_site_id,lon,lat,AbrahamsonEtAl2015SSlab,Kanno2006Deep,ParkerEtAl2020SSlab
m_137,-98.2064,19.0496,0.43934,0.43934,0.43934
m_138,-99.1381,19.3494,0.43596,0.43596,0.43596
m_139,-99.2422,18.9788,0.42534,0.42534,0.42534
m_140,-98.9477,19.2772,0.35552,0.35552,0.35552
m_141,-99.0999,19.2952,0.34558,0.34558,0.34558
m_142,-99.157,19.2862,0.34282,0.34282,0.34282
m_143,-99.2427,19.3222,0.33574,0.33574,0.33574
m_144,-99.0333,19.3043,0.32766,0.32766,0.32766
m_145,-99.138,19.2862,0.32319,0.32319,0.32319
m_146,-99.1571,19.3494,0.29921,0.29921,0.29921
m_147,-99.1667,19.4127,0.29532,0.29532,0.29532
m_148,-99.1667,19.4217,0.29483,0.29483,0.29483
m_149,-99.1572,19.4398,0.29425,0.29425,0.29425
m_150,-99.1667,19.4398,0.29385,0.29385,0.29385
m_151,-98.2445,19.0316,0.28691,0.28691,0.28691
m_152,-99.1856,19.3042,0.28213,0.28213,0.28213
m_153,-99.1857,19.3494,0.27988,0.27988,0.27988
m_154,-99.1952,19.3584,0.279,0.279,0.279
m_155,-99.1572,19.4127,0.27788,0.27788,0.27788
m_156,-99.1667,19.4308,0.27658,0.27658,0.27658
m_157,-99.1666,19.3585,0.26336,0.26336,0.26336
m_158,-99.1571,19.3765,0.26288,0.26288,0.26288
m_159,-99.2422,18.9607,0.25905,0.25905,0.25905
m_160,-99.2809,19.3583,0.25859,0.25859,0.25859
m_161,-99.0998,18.988,0.25132,0.25132,0.25132
m_162,-99.1476,19.3585,0.24821,0.24821,0.24821
m_163,-99.2047,19.3494,0.24637,0.24637,0.24637
m_164,-99.1381,19.4217,0.24563,0.24563,0.24563
m_165,-99.1857,19.4036,0.24474,0.24474,0.24474
m_166,-98.2256,19.0135,0.23893,0.23893,0.23893
m_167,-99.1476,19.3494,0.23363,0.23363,0.23363
m_169,-99.081,19.4308,0.23224,0.23224,0.23224
m_170,-99.1762,19.4036,0.2303,0.2303,0.2303
m_171,-99.1476,19.4308,0.2301,0.2301,0.2301
m_172,-99.2618,19.3583,0.22903,0.22903,0.22903
m_173,-99.138,19.3404,0.22024,0.22024,0.22024
m_174,-98.2158,19.0767,0.21993,0.21993,0.21993
m_175,-99.1571,19.3585,0.21883,0.21883,0.21883
m_176,-99.1476,19.3675,0.21879,0.21879,0.21879
m_177,-99.1476,19.3856,0.21805,0.21805,0.21805
m_178,-99.1857,19.3584,0.21785,0.21785,0.21785
m_179,-99.2232,18.9156,0.21696,0.21696,0.21696
m_180,-99.2326,18.9065,0.21662,0.21662,0.21662
m_181,-99.1858,19.4398,0.21469,0.21469,0.21469
m_182,-99.2714,19.3674,0.21456,0.21456,0.21456
m_183,-98.1969,19.0495,0.208,0.208,0.208
m_184,-99.1856,19.3223,0.20603,0.20603,0.20603
m_185,-99.1952,19.3404,0.20505,0.20505,0.20505
m_186,-99.1762,19.3675,0.20468,0.20468,0.20468
m_187,-99.1762,19.3765,0.20435,0.20435,0.20435
m_188,-99.1667,19.4036,0.20363,0.20363,0.20363
m_189,-99.1381,19.4308,0.20345,0.20345,0.20345
m_190,-99.2523,19.3403,0.20314,0.20314,0.20314
m_191,-99.1572,19.4579,0.20188,0.20188,0.20188
m_192,-99.1762,19.4488,0.20169,0.20169,0.20169
m_193,-99.1761,19.3404,0.19328,0.19328,0.19328
m_194,-99.1572,19.4308,0.19066,0.19066,0.19066
m_195,-99.2523,19.3764,0.18975,0.18975,0.18975
m_196,-99.2143,19.4397,0.1888,0.1888,0.1888
m_197,-98.2066,19.0044,0.18644,0.18644,0.18644
m_198,-99.1761,19.3223,0.1822,0.1822,0.1822
m_199,-99.1666,19.3494,0.1816,0.1816,0.1816
m_200,-99.1666,19.3765,0.1807,0.1807,0.1807
m_201,-99.1571,19.3856,0.18066,0.18066,0.18066
m_202,-99.1571,19.3946,0.18036,0.18036,0.18036
m_203,-99.1667,19.3946,0.1801,0.1801,0.1801
m_204,-99.1857,19.3856,0.17987,0.17987,0.17987
m_205,-99.2327,18.9156,0.17957,0.17957,0.17957
m_206,-99.1572,19.4488,0.17856,0.17856,0.17856
m_207,-99.5348,18.3455,0.17731,0.17731,0.17731
m_208,-99.1286,19.3766,0.17078,0.17078,0.17078
m_209,-99.2047,19.3403,0.16987,0.16987,0.16987
m_210,-99.1476,19.4037,0.16943,0.16943,0.16943
m_211,-99.1762,19.3856,0.16927,0.16927,0.16927
m_212,-99.1762,19.3946,0.16899,0.16899,0.16899
m_213,-99.1857,19.3946,0.16875,0.16875,0.16875
m_214,-99.1572,19.4217,0.16863,0.16863,0.16863
m_215,-99.2714,19.3583,0.16753,0.16753,0.16753
m_216,-98.2825,19.0499,0.16359,0.16359,0.16359
m_217,-98.197,19.0405,0.16262,0.16262,0.16262
m_218,-99.1475,19.2952,0.16245,0.16245,0.16245
m_219,-99.1571,19.3314,0.16112,0.16112,0.16112
m_220,-99.1381,19.3585,0.16079,0.16079,0.16079
m_221,-99.1857,19.4307,0.15754,0.15754,0.15754
m_222,-99.1762,19.4398,0.1575,0.1575,0.1575
m_223,-99.2619,19.3674,0.15743,0.15743,0.15743
m_224,-99.2048,19.4307,0.15711,0.15711,0.15711
m_225,-99.281,19.4306,0.15536,0.15536,0.15536
m_226,-99.0999,19.3133,0.15334,0.15334,0.15334
m_227,-98.2254,19.0496,0.15282,0.15282,0.15282
m_228,-99.1666,19.2952,0.15216,0.15216,0.15216
m_229,-99.6042,19.2491,0.1509,0.1509,0.1509
m_230,-99.0714,19.4399,0.15015,0.15015,0.15015
m_231,-99.1857,19.3765,0.14948,0.14948,0.14948
m_232,-99.1476,19.4127,0.14935,0.14935,0.14935
m_233,-99.1286,19.4308,0.14924,0.14924,0.14924
m_234,-99.1762,19.4127,0.14872,0.14872,0.14872
m_235,-99.1762,19.4217,0.14848,0.14848,0.14848
m_236,-98.2158,19.0677,0.14266,0.14266,0.14266
