# 20170919_M7.1_Puebla median gmf, Stations:Seismic, gmlt:GEM, Rupture:SSN
custom_site_id,lon,lat,AbrahamsonEtAl2015SSlab,Kanno2006Deep,ParkerEtAl2020SSlab
m_137,-98.2064,19.0496,0.12931691,0.12721732,0.13131855
m_138,-99.1381,19.3494,0.15043479,0.14984497,0.1503787
m_139,-99.2422,18.9788,0.088928,0.21837704,0.15797862
m_140,-98.9477,19.2772,0.14925891,0.18438008,0.14673775
m_141,-99.0999,19.2952,0.16138873,0.16407982,0.16007704
m_142,-99.157,19.2862,0.096000455,0.094095126,0.10062524
m_143,-99.2427,19.3222,0.08062643,0.08370923,0.08347565
m_144,-99.0333,19.3043,0.12474526,0.10645399,0.14629467
m_145,-99.138,19.2862,0.147073,0.13603258,0.16690892
m_146,-99.1571,19.3494,0.12187148,0.12540509,0.12172034
m_147,-99.1667,19.4127,0.10630151,0.10735943,0.10595635
m_148,-99.1667,19.4217,0.10888408,0.10846032,0.109514184
m_149,-99.1572,19.4398,0.110068716,0.1081135,0.11091579
m_150,-99.1667,19.4398,0.10999435,0.10979088,0.10996118
m_151,-98.2445,19.0316,0.12151035,0.16264476,0.117726564
m_152,-99.1856,19.3042,0.08004994,0.08576734,0.07862001
m_153,-99.1857,19.3494,0.08654066,0.09425317,0.08548755
m_154,-99.1952,19.3584,0.081967816,0.085082255,0.081522025
m_155,-99.1572,19.4127,0.12023731,0.12038063,0.120070376
m_156,-99.1667,19.4308,0.11534632,0.115704395,0.11529206
m_157,-99.1666,19.3585,0.10378005,0.10621322,0.10405003
m_158,-99.1571,19.3765,0.13027582,0.13020808,0.13061701
m_159,-99.2422,18.9607,0.09194317,0.23572452,0.16560218
m_160,-99.2809,19.3583,0.0768689,0.08257191,0.08047211
m_161,-99.0998,18.988,0.083469406,0.17862278,0.14465483
m_162,-99.1476,19.3585,0.13255574,0.13060082,0.13384368
m_163,-99.2047,19.3494,0.07892447,0.080925964,0.07874923
m_164,-99.1381,19.4217,0.10799326,0.1066639,0.10896062
m_165,-99.1857,19.4036,0.07215366,0.07121971,0.072909154
m_166,-98.2256,19.0135,0.10313315,0.13344122,0.10350656
m_167,-99.1476,19.3494,0.13933386,0.13980903,0.13965505
m_169,-99.081,19.4308,0.11563655,0.11023876,0.118969716
m_170,-99.1762,19.4036,0.08515602,0.084742986,0.085561894
m_171,-99.1476,19.4308,0.11568835,0.11846402,0.114005074
m_172,-99.2618,19.3583,0.084066,0.087933734,0.08441385
m_173,-99.138,19.3404,0.17455563,0.17366797,0.17511724
m_174,-98.2158,19.0767,0.17392807,0.1888747,0.17831393
m_175,-99.1571,19.3585,0.11498921,0.11365931,0.11682344
m_176,-99.1476,19.3675,0.14793244,0.14600703,0.14895584
m_177,-99.1476,19.3856,0.1216387,0.11960489,0.12272238
m_178,-99.1857,19.3584,0.08620897,0.09065879,0.0855821
m_179,-99.2232,18.9156,0.10036986,0.28256795,0.18639664
m_180,-99.2326,18.9065,0.10094428,0.28867757,0.18806359
m_181,-99.1858,19.4398,0.07109213,0.07181475,0.071100235
m_182,-99.2714,19.3674,0.07974879,0.08289147,0.08074312
m_183,-98.1969,19.0495,0.16280065,0.16177037,0.16441123
m_184,-99.1856,19.3223,0.07896431,0.08800134,0.07791985
m_185,-99.1952,19.3404,0.07999406,0.086819574,0.07904627
m_186,-99.1762,19.3675,0.08995535,0.0913786,0.089842655
m_187,-99.1762,19.3765,0.08792142,0.08887125,0.087530464
m_188,-99.1667,19.4036,0.095644675,0.09445011,0.09661776
m_189,-99.1381,19.4308,0.103994265,0.107318416,0.1025016
m_190,-99.2523,19.3403,0.08550678,0.09131094,0.0869178
m_191,-99.1572,19.4579,0.09964887,0.09852429,0.09899788
m_192,-99.1762,19.4488,0.09325419,0.09461191,0.09266901
m_193,-99.1761,19.3404,0.09244697,0.10414235,0.09139927
m_194,-99.1572,19.4308,0.10717188,0.10667125,0.10739871
m_195,-99.2523,19.3764,0.07858751,0.07936189,0.07860866
m_196,-99.2143,19.4397,0.062440723,0.06408158,0.0636995
m_197,-98.2066,19.0044,0.08211918,0.10933962,0.08445668
m_198,-99.1761,19.3223,0.08612828,0.09564558,0.08619325
m_199,-99.1666,19.3494,0.106820546,0.11374824,0.106035374
m_200,-99.1666,19.3765,0.101231456,0.100980714,0.10151015
