# 20170919_M7.1_Puebla median gmf, Stations:Seismic, gmlt:USGS, Rupture:Melgar_et_al_2018
custom_site_id,lon,lat,AbrahamsonEtAl2015SSlab,AtkinsonBoore2003SSlab,AtkinsonBoore2003SSlabCascadia,ZhaoEtAl2016SSlab
m_137,-98.2064,19.0496,0.1293029,0.1294443,0.12944163,0.13529925
m_138,-99.1381,19.3494,0.1504409,0.15072605,0.15072553,0.15114675
m_139,-99.2422,18.9788,0.08556187,0.18298203,0.17995122,0.11418979
m_140,-98.9477,19.2772,0.14815187,0.15269111,0.15231398,0.12713885
m_141,-99.0999,19.2952,0.16136543,0.15973504,0.15973675,0.15919265
m_142,-99.157,19.2862,0.09600811,0.09560022,0.09558991,0.1010501
m_143,-99.2427,19.3222,0.080495216,0.0901036,0.08999925,0.08560404
m_144,-99.0333,19.3043,0.12497444,0.12867014,0.12868842,0.15443969
m_145,-99.138,19.2862,0.14718637,0.1472067,0.14720087,0.16988668
m_146,-99.1571,19.3494,0.121837616,0.12589651,0.12589668,0.11891601
m_147,-99.1667,19.4127,0.1062873,0.10511646,0.10511717,0.104947
m_148,-99.1667,19.4217,0.108890675,0.10918091,0.10918181,0.10876135
m_149,-99.1572,19.4398,0.11009893,0.111450836,0.11145321,0.11179479
m_150,-99.1667,19.4398,0.10999907,0.109801926,0.1098048,0.11026324
m_151,-98.2445,19.0316,0.12047312,0.12712392,0.12682551,0.09628891
m_152,-99.1856,19.3042,0.0799997,0.090450436,0.09045458,0.076097734
m_153,-99.1857,19.3494,0.086472675,0.09932836,0.099330276,0.08619893
m_154,-99.1952,19.3584,0.08194346,0.083273396,0.083275706,0.08397235
m_155,-99.1572,19.4127,0.120235175,0.1200946,0.12009457,0.12016722
m_156,-99.1667,19.4308,0.11534172,0.11489267,0.11489358,0.114662975
m_157,-99.1666,19.3585,0.10375868,0.108047284,0.10804772,0.10153606
m_158,-99.1571,19.3765,0.13027558,0.12978262,0.12978241,0.13058737
m_159,-99.2422,18.9607,0.088321656,0.19079308,0.18797697,0.11694387
m_160,-99.2809,19.3583,0.07669388,0.0823617,0.082213275,0.07921368
m_161,-99.0998,18.988,0.079680026,0.11952539,0.11766493,0.094078645
m_162,-99.1476,19.3585,0.13257962,0.13369253,0.13369216,0.1343655
m_163,-99.2047,19.3494,0.07890982,0.086066194,0.086066745,0.08219922
m_164,-99.1381,19.4217,0.108012386,0.109038636,0.1090386,0.109035045
m_165,-99.1857,19.4036,0.07216763,0.06822455,0.06822581,0.07645768
m_166,-98.2256,19.0135,0.10244491,0.117406115,0.117201194,0.084426284
m_167,-99.1476,19.3494,0.13933031,0.14100914,0.14100881,0.13911763
m_169,-99.081,19.4308,0.115718834,0.11933644,0.11934286,0.11950667
m_170,-99.1762,19.4036,0.08516198,0.085592575,0.08559301,0.085250445
m_171,-99.1476,19.4308,0.11564804,0.11362516,0.11362521,0.11376088
m_172,-99.2618,19.3583,0.08398649,0.08281385,0.08277537,0.08144179
m_173,-99.138,19.3404,0.17456569,0.17499058,0.17499019,0.17550547
m_174,-98.2158,19.0767,0.17281625,0.17452104,0.17415233,0.17974769
m_175,-99.1571,19.3585,0.115008764,0.11799923,0.11799928,0.11633399
m_176,-99.1476,19.3675,0.14795564,0.14867659,0.14867622,0.14965284
m_177,-99.1476,19.3856,0.121666126,0.12300425,0.12300407,0.123296276
m_178,-99.1857,19.3584,0.086170286,0.09499757,0.09499965,0.08822906
m_179,-99.2232,18.9156,0.095935374,0.21177533,0.21094832,0.12562925
m_180,-99.2326,18.9065,0.09649348,0.21510464,0.214536,0.12678291
m_181,-99.1858,19.4398,0.07107856,0.07082048,0.07081452,0.06957632
m_182,-99.2714,19.3674,0.079672456,0.07998396,0.0799309,0.07888894
m_183,-98.1969,19.0495,0.1627399,0.16125123,0.1612308,0.17445754
m_184,-99.1856,19.3223,0.07889197,0.08968247,0.089686826,0.07703499
m_185,-99.1952,19.3404,0.07993687,0.08819184,0.088193074,0.079858206
m_186,-99.1762,19.3675,0.08994325,0.092973426,0.092974275,0.09617699
m_187,-99.1762,19.3765,0.08791111,0.08845131,0.08845184,0.08630907
m_188,-99.1667,19.4036,0.09566105,0.09631314,0.09631344,0.09707045
m_189,-99.1381,19.4308,0.10394724,0.10150197,0.10150187,0.101633124
m_190,-99.2523,19.3403,0.08536717,0.08737726,0.087296985,0.08405005
m_191,-99.1572,19.4579,0.099672675,0.09966153,0.09967253,0.10039455
m_192,-99.1762,19.4488,0.0932344,0.09182667,0.091826014,0.0920197
m_193,-99.1761,19.3404,0.09234359,0.10865184,0.108652815,0.09079529
m_194,-99.1572,19.4308,0.10717942,0.10751687,0.107517175,0.10758445
m_195,-99.2523,19.3764,0.078567155,0.0784411,0.0784249,0.07819163
m_196,-99.2143,19.4397,0.06237715,0.06080474,0.060739238,0.065629035
m_197,-98.2066,19.0044,0.081818886,0.09738923,0.09727966,0.06777416
m_198,-99.1761,19.3223,0.086051695,0.1071926,0.10719723,0.08478823
m_199,-99.1666,19.3494,0.10675457,0.11397037,0.11397102,0.1008377
m_200,-99.1666,19.3765,0.10123401,0.1011211,0.10112102,0.10157412
m_201,-99.1571,19.3856,0.11062817,0.11154794,0.11154777,0.11232526
m_202,-99.1571,19.3946,0.0976348,0.09858018,0.098580115,0.099301115
m_203,-99.1667,19.3946,0.09168024,0.09289429,0.09289426,0.094006784
m_204,-99.1857,19.3856,0.07853058,0.08072049,0.080721274,0.08270612
m_205,-99.2327,18.9156,0.09608544,0.2110045,0.21000874,0.12508886
m_206,-99.1572,19.4488,0.10088597,0.10224579,0.1022515,0.102807246
m_207,-99.5348,18.3455,0.08972884,0.25274923,0.26171124,0.14490886
m_208,-99.1286,19.3766,0.113494635,0.11278609,0.11278597,0.11303705
m_209,-99.2047,19.3403,0.08013518,0.08758087,0.087579474,0.08075924
m_210,-99.1476,19.4037,0.10566425,0.10593773,0.10593767,0.10603301
m_211,-99.1762,19.3856,0.084540926,0.08445163,0.08445178,0.08396653
m_212,-99.1762,19.3946,0.083504826,0.0838788,0.08387896,0.083733894
m_213,-99.1857,19.3946,0.07414338,0.07834036,0.078341216,0.07969559
m_214,-99.1572,19.4217,0.11099953,0.11135891,0.111358866,0.11138192
m_215,-99.2714,19.3583,0.0780693,0.08235883,0.08227628,0.08032129
m_216,-98.2825,19.0499,0.119638674,0.13157178,0.1308012,0.09528609
m_217,-98.197,19.0405,0.14764576,0.15184546,0.15185834,0.15662006
m_218,-99.1475,19.2952,0.13338304,0.14087151,0.14087014,0.1275966
m_219,-99.1571,19.3314,0.1292293,0.14462836,0.1446305,0.13963504
m_220,-99.1381,19.3585,0.13768746,0.1386937,0.13869306,0.13967307
m_221,-99.1857,19.4307,0.067551754,0.06661593,0.06661523,0.063614376
m_222,-99.1762,19.4398,0.087385505,0.087236434,0.087238126,0.08750473
m_223,-99.2619,19.3674,0.08066385,0.08021098,0.08020646,0.07995206
m_224,-99.2048,19.4307,0.05856786,0.056331594,0.0563024,0.061105516
m_225,-99.281,19.4306,0.06461209,0.06992301,0.06961888,0.06655301
m_226,-99.0999,19.3133,0.12045866,0.12548736,0.12548813,0.12314538
m_227,-98.2254,19.0496,0.12556098,0.11928183,0.11927205,0.12950154
m_228,-99.1666,19.2952,0.0765426,0.07706531,0.07706688,0.07805891
m_229,-99.6042,19.2491,0.09636614,0.118367985,0.117700785,0.10668429
m_230,-99.0714,19.4399,0.106021956,0.10921688,0.1092237,0.10938045
m_231,-99.1857,19.3765,0.08212812,0.08488922,0.0848905,0.08578484
m_232,-99.1476,19.4127,0.11569021,0.11643935,0.1164393,0.116462044
