# 20180906_M6.6_HokkaidoEasternIburi median gmf, Stations:None, gmlt:GEM, Rupture:USGS
custom_site_id,lon,lat,BooreEtAl2014,ChiouYoungs2014,ZhaoEtAl2016Asc
t_0,141.88218,39.26332,0.0017845387,0.006589132,0.0027425694
t_1,141.88331,39.35341,0.0009892194,0.0040033557,0.0026544598
t_10,141.30033000000003,38.72559,0.00066473486,0.0026687407,0.0018661364
t_100,141.426,40.48221,0.007830638,0.0251614,0.009375086
t_1000,141.57157,43.63384,0.023651658,0.065667585,0.039598867
t_1001,141.50959,43.63413,0.023196908,0.06451431,0.038662158
t_1002,141.44761,43.63439,0.022672772,0.063185774,0.037648287
t_1003,141.572,43.67885,0.021941282,0.061849296,0.037153415
t_1004,141.50997,43.67915,0.02154162,0.060827054,0.036328714
t_1005,141.44794000000002,43.67941,0.021087298,0.05964883,0.03542994
t_1006,141.81888000000004,43.58731,0.034642726,0.088764876,0.060384806
t_1007,141.75694,43.58774,0.032498036,0.08451299,0.05967597
t_1008,141.69501000000002,43.58813,0.02652968,0.07188396,0.044037256
t_1009,141.63308,43.58849,0.026029965,0.07092701,0.043201845
t_101,141.36701,40.48241,0.005379684,0.018527796,0.010982896
t_1010,141.81948999999997,43.63233,0.032051954,0.08351456,0.05634056
t_1011,141.75751000000002,43.63275,0.024954794,0.06836044,0.041766692
t_1012,141.69552999999996,43.63315,0.02454218,0.0675112,0.041166224
t_1013,141.63355,43.63351,0.024091542,0.066673934,0.04043897
t_1014,141.82010000000002,43.67734,0.030224938,0.07969426,0.052637313
t_1015,141.75808,43.67777,0.023099395,0.06427783,0.039048485
t_1016,141.69605,43.67816,0.022745654,0.06348961,0.0385256
t_1017,141.63403,43.67853,0.022339465,0.06274289,0.037889488
t_1018,141.82070999999996,43.72236,0.029097838,0.07721565,0.04923867
t_1019,141.75864,43.72279,0.02747776,0.07392572,0.04877218
t_102,141.30802,40.48259,0.0051983027,0.017994238,0.010880419
t_1020,141.69657,43.72318,0.021112785,0.059807602,0.0360927
t_1021,141.6345,43.72354,0.020750372,0.05910062,0.035535026
