STATION_ID,STATION_NAME,LATITUDE,LONGITUDE,STATION_TYPE,REFERENCES,SOIL_TYPE,PGA_VALUE,PGA_LN_SIGMA,PGASTATION_Name,PGA_VALUE_1,PGA_VALUE_2,PGA_VALUE_V,PGAVS30,VS30,MMI_VALUE,MMI_STDDEV,PGV_LN_SIGMA,PGV_VALUE,SA(0.3)_LN_SIGMA,SA(0.3)_VALUE,SA(1.0)_LN_SIGMA,SA(1.0)_VALUE,SA(3.0)_LN_SIGMA,SA(3.0)_VALUE,VS30_TYPE
ANC,ANC,-11.776,-77.15,seismic,Tavera_et_al_2008,SOIL,0.05873,0.0,Ancon,0.05475,0.05873,0.02798,280.0,,,,,,,,,,,,
ANR,ANR,-12.123,-76.976,seismic,Tavera_et_al_2008,FIRM GROUND,0.08591,0.0,Asamblea Nacional de Rectores,0.06491,0.08591,0.07376,205.0,,,,,,,,,,,,
CAL,CAL,-12.06,-77.15,seismic,Tavera_et_al_2008,SOIL,0.1009,0.0,Callao,0.09586,0.1009,0.0317,75.0,,,,,,,,,,,,
CDL-CIP,CDL-CIP,-12.092,-77.049,seismic,Tavera_et_al_2008,FIRM GROUND,0.05841,0.0,CDL-CIP,0.05841,0.05449,0.03221,,,,,,,,,,,,,
CER,CER,-12.103,-76.998,seismic,Tavera_et_al_2008,FIRM GROUND,0.05818,0.0,Ceresis,0.05788,0.05818,0.03697,,,,,,,,,,,,,
CSM,CSM,-12.0133,-77.0502,seismic,Tavera_et_al_2008,FIRM GROUND,0.07377,0.0,Cismid,0.04508,0.07377,0.03258,184.0,,,,,,,,,,,,
E1,E1,-12.033,-76.975,seismic,Tavera_et_al_2008,,0.05998,0.0,Estanque-1,0.05998,0.05488,0.03038,,,,,,,,,,,,,
E2,E2,-12.055,-76.944,seismic,Tavera_et_al_2008,,0.02058,0.0,Estanque-2,0.01274,0.02058,0.01176,,,,,,,,,,,,,
ICA2,ICA2,-14.09,-75.73,seismic,Tavera_et_al_2008,SOIL,0.3341,0.0,Ica 2,0.3341,0.2716,0.1929,312.0,,,,,,,,,,,,
LMO,LMO,-12.085,-76.948,seismic,Tavera_et_al_2008,,0.0253,0.0,La Molina Universidad Agraria,0.0212,0.0253,0.0142,,,,,,,,,,,,,
MOL,MOL,-12.1,-76.89,seismic,Tavera_et_al_2008,SOIL,0.0781,0.0,Molina,0.06883,0.0781,0.05621,380.0,,,,,,,,,,,,
NNA,NNA,-11.987,-76.839,seismic,Tavera_et_al_2008,Rock,0.02216,0.0,Ñaña,0.01846,0.02216,0.02148,,,,,,,,,,,,,
PCN,PCN,-14.042,-75.699,seismic,Tavera_et_al_2008,SOIL,0.4884,0.0,Parcona,0.4575,0.4884,0.3002,456.0,,,,,,,,,,,,
PUCP,PUCP,-12.074,-77.08,seismic,Tavera_et_al_2008,FIRM GROUND,0.0666,0.0,Universidad Catolica del Perù,0.0666,0.05966,0.03971,125.0,,,,,,,,,,,,
RIN,RIN,-12.0835,-76.9208,seismic,Tavera_et_al_2008,SOIL,0.1134,0.0,Rinconada,0.1134,0.1091,0.058,200.0,,,,,,,,,,,,
CSM,Cismid,-12.013,-77.05,seismic,Stations_USGS,,0.0752,0.0,,,,,,461.1,5.0,0.63,0.0,6.41,,,,,,,inferred
RIN,Rinconada,-12.084,-76.921,seismic,Stations_USGS,,0.1156,0.0,,,,,,462.77,5.0,0.63,0.0,6.38,,,,,,,inferred
OBS_5,Asia,-12.783,-76.567,macroseismic,Stations_USGS,,0.204881,0.8059,,,,,,290.05,6.5,0.3,0.875,18.768,1.0131,0.387895,1.0822,0.259683,1.4737,0.050404,inferred
DYOBS_15,Chincha Alta::Ica::Peru (Intensity VIII),-13.42,-76.14,macroseismic,Stations_USGS,,0.63514,0.8059,,,,,,320.95,8.3,0.3,0.875,69.6687,1.0131,1.061848,1.0822,1.076816,1.4737,0.198209,inferred
OBS_19,Guadalupe,-13.967,-75.767,macroseismic,Stations_USGS,,0.372862,0.8059,,,,,,423.59,7.5,0.3,0.875,38.8932,1.0131,0.668166,1.0822,0.582824,1.4737,0.110082,inferred
OBS_6,Coayllo,-12.733,-76.467,macroseismic,Stations_USGS,,0.270145,0.8059,,,,,,657.91,7.0,0.3,0.875,27.0175,1.0131,0.503013,1.0822,0.394526,1.4737,0.075668,inferred
DYOBS_12,Nazca::Ica::Peru (Intensity VI),-14.83,-74.94,macroseismic,Stations_USGS,,0.117643,0.8059,,,,,,367.74,6.1,0.3,0.875,14.0228,1.0131,0.264403,1.0822,0.227994,1.4737,0.045795,inferred
OBS_21,Tate de la Capilla,-14.152,-75.707,macroseismic,Stations_USGS,,0.195792,0.8059,,,,,,289.1,6.5,0.3,0.875,18.768,1.0131,0.378751,1.0822,0.267007,1.4737,0.052,inferred
OBS_1,LurAn,-12.283,-76.867,macroseismic,Stations_USGS,,0.093371,0.8059,,,,,,262.3,5.5,0.3,0.875,9.0565,1.0131,0.204094,1.0822,0.129761,1.4737,0.026244,inferred
OBS_9,Pauyo,-13.033,-76.183,macroseismic,Stations_USGS,,0.146221,0.8059,,,,,,701.97,6.0,0.3,0.875,13.0374,1.0131,0.289714,1.0822,0.177415,1.4737,0.035007,inferred
OBS_18,Pozo Santo,-13.9,-76.083,macroseismic,Stations_USGS,,0.407556,0.8059,,,,,,437.12,7.5,0.3,0.875,38.8932,1.0131,0.700161,1.0822,0.551893,1.4737,0.103556,inferred
DYOBS_14,Trujillo::La Libertad::Peru (Intensity IV),-8.11,-79.03,macroseismic,Stations_USGS,,,,,,,,,306.94,3.5,0.3,,,,,,,,,inferred
DYOBS_11,La Serena::Coquimbo::Chile (Intensity II),-29.9,-71.25,macroseismic,Stations_USGS,,,,,,,,,760.0,2.4,0.3,,,,,,,,,inferred
DYOBS_18,Arequipa::Arequipa::Peru (Intensity IV),-16.39,-71.53,macroseismic,Stations_USGS,,,,,,,,,519.04,3.5,0.3,,,,,,,,,inferred
OBS_13,Chincha Baja,-13.467,-76.167,macroseismic,Stations_USGS,,0.390183,0.8059,,,,,,290.88,7.5,0.3,0.875,38.8932,1.0131,0.684308,1.0822,0.566827,1.4737,0.106702,inferred
OBS_12,Tambo de Mora,-13.467,-76.2,macroseismic,Stations_USGS,,0.287599,0.8059,,,,,,600.0,7.0,0.3,0.875,27.0175,1.0131,0.519845,1.0822,0.379674,1.4737,0.072483,inferred
DYOBS_8,HuEnuco::HuEnuco::Peru (Intensity IV),-9.92,-76.24,macroseismic,Stations_USGS,,,,,,,,,900.0,3.8,0.3,,,,,,,,,inferred
OBS_26,San Juan,-15.365,-75.162,macroseismic,Stations_USGS,,0.057561,0.8059,,,,,,377.46,5.0,0.3,0.875,6.2912,1.0131,0.112918,1.0822,0.096977,1.4737,0.020156,inferred
DYOBS_9,Ica::Ica::Peru (Intensity VIII),-14.06,-75.75,macroseismic,Stations_USGS,,0.393112,0.8059,,,,,,279.83,7.6,0.3,0.875,41.833,1.0131,0.702919,1.0822,0.634612,1.4737,0.119599,inferred
OBS_3,Chilca,-12.533,-76.733,macroseismic,Stations_USGS,,0.139226,0.8059,,,,,,555.25,6.0,0.3,0.875,13.0374,1.0131,0.282344,1.0822,0.182826,1.4737,0.036206,inferred
OBS_10,San Vicente de CaAete,-13.083,-76.4,macroseismic,Stations_USGS,,0.284559,0.8059,,,,,,242.59,7.0,0.3,0.875,27.0175,1.0131,0.516949,1.0822,0.382155,1.4737,0.073014,inferred
OBS_20,Ica,-14.068,-75.726,macroseismic,Stations_USGS,,0.268076,0.8059,,,,,,235.38,7.0,0.3,0.875,27.0175,1.0131,0.500984,1.0822,0.39639,1.4737,0.076069,inferred
OBS_15,Pisco,-13.7,-76.217,macroseismic,Stations_USGS,,0.555343,0.8059,,,,,,254.08,8.0,0.3,0.875,55.9888,1.0131,0.923784,1.0822,0.821742,1.4737,0.151989,inferred
DYOBS_5,Lima::Callao::Peru (Intensity VI),-12.07,-77.05,macroseismic,Stations_USGS,,0.126518,0.8059,,,,,,337.57,6.1,0.3,0.875,14.0228,1.0131,0.274708,1.0822,0.218054,1.4737,0.043564,inferred
OBS_7,Lunahuana,-12.967,-76.133,macroseismic,Stations_USGS,,0.266933,0.8059,,,,,,691.82,7.0,0.3,0.875,27.0175,1.0131,0.499861,1.0822,0.397429,1.4737,0.076292,inferred
DYOBS_16,Pisco::Ica::Peru (Intensity IX),-13.71,-76.22,macroseismic,Stations_USGS,,0.759677,0.8059,,,,,,292.36,8.5,0.3,0.875,80.5989,1.0131,1.221332,1.0822,1.220612,1.4737,0.222476,inferred
DYOBS_13,Urubamba::Cusco::Peru (Intensity II),-13.31,-72.12,macroseismic,Stations_USGS,,,,,,,,,900.0,2.0,0.3,,,,,,,,,inferred
OBS_14,San Clemente,-13.667,-76.15,macroseismic,Stations_USGS,,0.399366,0.8059,,,,,,365.68,7.5,0.3,0.875,38.8932,1.0131,0.692728,1.0822,0.558803,1.4737,0.10501,inferred
OBS_25,Nazca,-14.833,-74.95,macroseismic,Stations_USGS,,0.059416,0.8059,,,,,,367.74,5.0,0.3,0.875,6.2912,1.0131,0.117626,1.0822,0.09511,1.4737,0.019721,inferred
OBS_23,Ocucaje,-14.348,-75.669,macroseismic,Stations_USGS,,0.140677,0.8059,,,,,,296.94,6.0,0.3,0.875,13.0374,1.0131,0.283887,1.0822,0.181668,1.4737,0.035949,inferred
OBS_24,Palpa,-14.534,-75.186,macroseismic,Stations_USGS,,0.063957,0.8059,,,,,,577.86,5.0,0.3,0.875,6.2912,1.0131,0.129329,1.0822,0.090912,1.4737,0.018748,inferred
OBS_4,Mala,-12.65,-76.633,macroseismic,Stations_USGS,,0.197855,0.8059,,,,,,559.16,6.5,0.3,0.875,18.768,1.0131,0.380843,1.0822,0.265297,1.4737,0.051627,inferred
OBS_8,Cerro Azul,-13.033,-76.483,macroseismic,Stations_USGS,,0.210432,0.8059,,,,,,294.34,6.5,0.3,0.875,18.768,1.0131,0.393384,1.0822,0.255463,1.4737,0.049487,inferred
DYOBS_2,Huaraz::Ancash::Peru (Intensity III),-9.53,-77.53,macroseismic,Stations_USGS,,,,,,,,,617.69,3.0,0.3,,,,,,,,,inferred
OBS_11,Chincha Alta,-13.45,-76.133,macroseismic,Stations_USGS,,0.386987,0.8059,,,,,,303.92,7.5,0.3,0.875,38.8932,1.0131,0.681356,1.0822,0.569692,1.4737,0.107306,inferred
DYOBS_4,Cajamarca::Cajamarca::Peru (Intensity IV),-7.16,-78.52,macroseismic,Stations_USGS,,,,,,,,,467.7,3.8,0.3,,,,,,,,,inferred
