ID_0,NAME_0,FATALITIES,FATALITIES_GROUND_SHAKING,INJURIES,DISPLACED_POPULATION,HOMELESS,AFFECTED_POPULATION,AFFECTED_UNITS,DAMAGED_UNITS,COLLAPSED_UNITS,DAMAGED_OR_DESTROYED,UNIT_TYPES,OCCUPANCY,ECONOMIC_LOSSES,INSURED_LOSSES,CURRENCY,INDUCED_EFFECTS,FLAG,REFERENCE,COMMENTS,INJURIES_LIGHT,INJURIES_SEVERE,INJURIES_CRITICAL,SHELTERED,DS1_SLIGHT,DS2_MODERATE,DS3_EXTENSIVE,DS4_COMPLETE,TAXONOMY,GEM_TAXONOMY
IRN,Iran,612,612,1411,,,,,8000,,8000,Building,,,,,,,USGS,"At least 612 people killed and 1,411 injured in Kerman Province. An estimated 8,000 homes damaged or destroyed in the Zarand area. ",,,,,,,,,,
IRN,Iran,612,612,,,,,,,,,,,,,,,,Worlddata,,,,,,,,,,,
IRN,Iran,612,612,1411,,,93355,,,,,,,80000000,,USD,,,EM-DAT,Geo Locations: Zarand (Adm2),,,,,,,,,,
IRN,Iran,612-912,612-912,1411,,,,,8000,,8000,Building,,80000000,,USD,,,Wikipedia,,,,,,,,,,,
IRN,Iran,612,612,1411,,,,,,,,,,,,,,,UTSU,,,,,,,,,,,
IRN,Iran,,,,,80000,,,,,,,,,,,,,WHO,,,,,,,,,,,
IRN,Iran,500,500,,,,,,,,,,,,,,,,Weston_et_al_2004,,,,,,,,,,,
IRN,Iran,612,612,1500,,,32000,,,,,,,,,,,,UN_Report,,,,,,,,,,,
IRN,Iran,>500,>500,,,,,,,,,,,,,,,,Rouhollahi_et_al_2012,,,,,,,,,,,
IRN,Iran,612,612,>1000,,,,,,,,,,,,,,,Reuters,,,,,,,,,,,
IRN,Iran,612-912,612-912,1411,,,,,8000,8000,,,,,,,,,NOAA,,,,,,,,,,,
IRN,Iran,500,500,,,,,,,,,,,,,,,,Nicknam_et_al_2010,,,,,,,,,,,
IRN,Iran,612,612,,,,,,,,,,,,,,,,Mirzaei_et_al_2008,,,,,,,,,,,
IRN,Iran,612,612,,,,,,,,,,,,,,,,Mahdi_And_Mahdi_2013,,,,,,,,,,,
IRN,Iran,>600,>600,1400-2000,,,,,7000,,,Building,Residential,700000000000,,IRR,,,IIEES,,,,,,,,,,,
IRN,Iran,>500,>500,>1000,,,,,,,,,,,,,,,IFRC,,,,,,,,,,,
IRN,Iran,612,612,,,,,,,,,,,,,,,,Hatami_et_al_2007,,,,,,,,,,,
IRN,Iran,>600,>600,>1000,,,,,,,,,,,,,,,Ghasemi_et_al_2005,,,,,,,,,,,
IRN,Iran,612,612,1411,,,30000,,,,,,,80000000,,USD,,,Alchetron,,,,,,,,,,,
IRN,Iran,400,400,,,,,,,,,,,,,,,,Chinadaily,,,,,,,,,,,
IRN,Iran,612,612,1411,,,,,,,,,,,,,,,Choudhury_et_al_2006,,,,,,,,,,,
IRN,Iran,657,657,1450,,,,,15087,12449,,Building,Residential,700000000000,,IRR,,,Ghayamghamian_et_al_2012,,,,,,,,,,,
IRN,Iran,612,612,1411,,,,,8000,,8000,Building,,79000000,,USD,,,Berberian_Book_2014,,,,,,,,,,,
IRN,Iran,684,684,1070,,,50804,,,,,,,,,,,,MScThesis_Tabasian,,,,,,,,,,,
