ID_1,NAME_1,ID_2,NAME_2,FATALITIES,FATALITIES_GROUND_SHAKING,INJURIES,DISPLACED_POPULATION,AFFECTED_POPULATION,CAUSE_OF_INJURY/DEATH,REFERENCE,COMMENTS
SV02,Cabañas,SV0207,Tejutepeque,,,,,1750.0,Shaking,ProteccionCivil ,
SV02,Cabañas,SV0206,Sensuntepeque,,,,,888.0,Shaking,ProteccionCivil ,
SV10,San Salvador,SV1013,San Martín,4.0,4.0,,,1370.0,Shaking,ProteccionCivil ,
SV08,Morazán,SV0815,Osicala,1.0,1.0,,,,Shaking,ProteccionCivil ,
SV09,San Miguel,SV0904,Chirilagua,,,,,85.0,Shaking,ProteccionCivil ,
SV09,San Miguel,SV0910,Nueva Guadalupe,,,,,35.0,Shaking,ProteccionCivil ,
SV09,San Miguel,SV0919,Sesori,,,,,25.0,Shaking,ProteccionCivil ,
SV09,San Miguel,SV0902,Chapeltique,,,,,85.0,Shaking,ProteccionCivil ,
SV04,Cuscatlán,SV0402,Cojutepeque,56.0,56.0,563.0,10000.0,,Shaking,ProteccionCivil ,
SV04,Cuscatlán,SV0401,Candelaria,46.0,46.0,257.0,11192.0,,Shaking,ProteccionCivil ,
SV04,Cuscatlán,SV0414,Santa Cruz Michapa,4.0,4.0,51.0,8638.0,,Shaking,ProteccionCivil ,
SV04,Cuscatlán,SV0403,El Carmen,3.0,3.0,150.0,12677.0,,Shaking,ProteccionCivil ,
SV04,Cuscatlán,SV0411,San Rafael Cedros,1.0,1.0,37.0,13182.0,,Shaking,ProteccionCivil ,
SV04,Cuscatlán,SV0412,San Ramón,8.0,8.0,10.0,5855.0,,Shaking,ProteccionCivil ,
SV04,Cuscatlán,SV0413,Santa Cruz Analquito,22.0,22.0,67.0,2990.0,,Shaking,ProteccionCivil ,
SV04,Cuscatlán,SV0410,San Pedro Perulapán,19.0,19.0,50.0,18760.0,,Shaking,ProteccionCivil ,
SV04,Cuscatlán,SV0408,San Cristóbal,6.0,6.0,150.0,1891.0,,Shaking,ProteccionCivil ,
SV04,Cuscatlán,SV0409,San José Guayabal,,,,7735.0,,Shaking,ProteccionCivil ,
SV04,Cuscatlán,SV0405,Monte San Juan,,,4.0,5923.0,,Shaking,ProteccionCivil ,
SV04,Cuscatlán,SV0407,San Bartolomé Perulapia,,,1.0,3102.0,,Shaking,ProteccionCivil ,
SV04,Cuscatlán,SV0406,Oratorio de Concepción,,,17.0,364.0,,Shaking,ProteccionCivil ,
SV04,Cuscatlán,SV0404,Rosario de Cuscatlán,,,13.0,3817.0,,Shaking,ProteccionCivil ,
SV04,Cuscatlán,SV0415,Suchitoto,,,,90.0,,Shaking,ProteccionCivil ,
SV04,Cuscatlán,SV0416,Tenancingo,,,2.0,3620.0,,Shaking,ProteccionCivil ,
SV06,La Paz,SV0601,Cuyultitán,,,,,,Shaking,ProteccionCivil ,
SV06,La Paz,SV0606,Paraíso de Osorio,,,5.0,150.0,2550.0,Shaking,ProteccionCivil ,
SV06,La Paz,SV0616,San Pedro Masahuat,,,1.0,,,Shaking,ProteccionCivil ,
SV06,La Paz,SV0617,San Pedro Nonualco,,,4.0,57.0,10029.0,Shaking,ProteccionCivil ,
SV06,La Paz,SV0622,Zacatecoluca,,,4.0,70.0,8730.0,Shaking,ProteccionCivil ,
SV06,La Paz,SV0603,Jerusalén,,,7.0,75.0,2800.0,Shaking,ProteccionCivil ,
SV06,La Paz,SV0620,Santiago Nonualco,,,,,30440.0,Shaking,ProteccionCivil ,
SV06,La Paz,SV0612,San Juán Tepezontes,,,3.0,50.0,2700.0,Shaking,ProteccionCivil ,
SV06,La Paz,SV0605,Olocuilta,,,1.0,,,Shaking,ProteccionCivil ,
SV06,La Paz,SV0614,San Luis Talpa,,,,,,Shaking,ProteccionCivil ,
SV06,La Paz,SV0611,San Juan Talpa,,,,,,Shaking,ProteccionCivil ,
SV06,La Paz,SV0602,Rosario de la Paz,,,,,9945.0,Shaking,ProteccionCivil ,
SV06,La Paz,SV0613,San Luis la Herradura,,,,,,Shaking,ProteccionCivil ,
SV06,La Paz,SV0610,San Juan Nonualco,,,2.0,,19228.0,Shaking,ProteccionCivil ,
SV06,La Paz,SV0604,Mercedes la Ceiba,,,1.0,20.0,1124.0,Shaking,ProteccionCivil ,
SV06,La Paz,SV0609,San Francisco Chinameca,,,,,,Shaking,ProteccionCivil ,
SV06,La Paz,SV0618,San Rafael Obrajuelo,,,,6.0,,Shaking,ProteccionCivil ,
SV06,La Paz,SV0615,San Miguel Tepezontes,,,8.0,165.0,3500.0,Shaking,ProteccionCivil ,
SV06,La Paz,SV0608,San Emigdio,,,5.0,150.0,950.0,Shaking,ProteccionCivil ,
SV06,La Paz,SV0607,San Antonio Masahuat,,,1.0,3.0,,Shaking,ProteccionCivil ,
SV06,La Paz,SV0621,Tapalhuaca,,,,,,Shaking,ProteccionCivil ,
SV06,La Paz,SV0619,Santa María Ostuma,,,16.0,60.0,2500.0,Shaking,ProteccionCivil ,
SV11,San Vicente,SV1108,San Vicente,,,19.0,965.0,36000.0,Shaking,ProteccionCivil ,
SV11,San Vicente,SV1111,Tecoluca,,,,,,Shaking,ProteccionCivil ,
SV11,San Vicente,SV1101,Apastepeque,,,,4.0,,Shaking,ProteccionCivil ,
SV11,San Vicente,SV1102,Guadalupe,,,11.0,4.0,5316.0,Shaking,ProteccionCivil ,
SV11,San Vicente,SV1113,Verapaz,,,22.0,125.0,7005.0,Shaking,ProteccionCivil ,
SV11,San Vicente,SV1112,Tepetitán,,,4.0,25.0,4990.0,Shaking,ProteccionCivil ,
SV11,San Vicente,SV1103,San Cayetano Istepeque,,,12.0,10.0,6205.0,Shaking,ProteccionCivil ,
SV11,San Vicente,SV1106,San Lorenzo,,,8.0,2.0,507.0,Shaking,ProteccionCivil ,
SV11,San Vicente,SV1110,Santo Domingo,,,4.0,30.0,1950.0,Shaking,ProteccionCivil ,
SV11,San Vicente,SV1104,San Esteban Catarina,,,5.0,7.0,2816.0,Shaking,ProteccionCivil ,
SV11,San Vicente,SV1109,Santa Clara,,,,,,Shaking,ProteccionCivil ,
SV11,San Vicente,SV1105,San Ildefonso,,,,,,Shaking,ProteccionCivil ,
SV11,San Vicente,,San Marcos Lempa,,,,,,Shaking,ProteccionCivil ,
SV11,San Vicente,SV1107,San Sebastián,,,2.0,48.0,1654.0,Shaking,ProteccionCivil ,
