STATION_ID,STATION_NAME,LATITUDE,LONGITUDE,STATION_TYPE,REFERENCES,SOIL_TYPE,PGA_VALUE,PGA_LN_SIGMA,SA(0.3)_VALUE,SA(0.3)_LN_SIGMA,SA(0.6)_VALUE,SA(0.6)_LN_SIGMA,SA(1.0)_VALUE,SA(1.0)_LN_SIGMA,VS30,VS30_TYPE,MMI_VALUE,MMI_STDDEV,PGV_LN_SIGMA,PGV_VALUE,SA(3.0)_LN_SIGMA,SA(3.0)_VALUE
CAT,CATANIA  PIANA,37.44738,15.046334,seismic,INGV,D,0.245557007,0.0,0.3897439853368573,0.0,0.2372497812701008,0.0,0.0891693913337613,0.0,159.0,D,,,,,,
SRT,SORTINO,37.16657,15.054206,seismic,INGV,A,0.105364304,0.0,0.0980078384672647,0.0,0.1626630762774428,0.0,0.0933773950627452,0.0,871.0,A,,,,,,
NOT,NOTO,36.9,15.068333,seismic,INGV,A (inferred from geology),0.088645607,0.0,0.1582447730721264,0.0,0.0750707135298916,0.0,0.1011179165749883,0.0,,A (inferred from geology),,,,,,
VZZ,VIZZINI,37.163417,14.755327,seismic,INGV,B (inferred from geology),0.0712001499999999,0.0,0.1260659648945613,0.0,0.1106933257566113,0.0,0.0668576701674198,0.0,,B (inferred from geology),,,,,,
PCH,PACHINO,36.7119,15.091597,seismic,INGV,B,0.06305378,0.0,0.0576737372058866,0.0,0.0208955780953139,0.0,0.013997923389384,0.0,593.0,B,,,,,,
GRR,GIARRE,37.726111,15.162778,seismic,INGV,A (inferred from geology),0.037922901,0.0,0.0692723711730458,0.0,0.06549451437415,0.0,0.0209511440108602,0.0,,A (inferred from geology),,,,,,
VTT,VITTORIA,36.948404,14.519429,seismic,INGV,B (inferred from geology),0.032380249,0.0,0.0564824319367395,0.0,0.0280959999407199,0.0,0.0315018752903268,0.0,,B (inferred from geology),,,,,,
OBS_1,Augusta,37.231,15.221,macroseismic,Stations_USGS,,0.408357,0.8059,0.770387,1.0131,,,0.333779,1.0822,600.0,inferred,7.5,0.3,0.875,31.1199,1.4737,0.069555
OBS_4,Melilli,37.179,15.128,macroseismic,Stations_USGS,,0.270664,0.8059,0.553453,1.0131,,,0.238611,1.0822,672.51,inferred,7.0,0.3,0.875,21.6177,1.4737,0.050825
OBS_2,Carlentini,37.274,15.015,macroseismic,Stations_USGS,,0.255999,0.8059,0.53748,1.0131,,,0.246899,1.0822,435.34,inferred,7.0,0.3,0.875,21.6177,1.4737,0.052808
OBS_3,Lentini,37.285,14.999,macroseismic,Stations_USGS,,0.253534,0.8059,0.534753,1.0131,,,0.248368,1.0822,533.37,inferred,7.0,0.3,0.875,21.6177,1.4737,0.05316
OBS_5,Militello in Val di Catania,37.273,14.793,macroseismic,Stations_USGS,,0.227761,0.8059,0.50545,1.0131,,,0.265234,1.0822,576.01,inferred,,,0.875,21.6177,1.4737,0.057223
OBS_6,Mineo,37.266,14.691,macroseismic,Stations_USGS,,0.218536,0.8059,0.494581,1.0131,,,0.272042,1.0822,463.83,inferred,,,0.875,21.6177,1.4737,0.058871
OBS_17,Stazione di Brucoli,37.272,15.188,macroseismic,Stations_USGS,,0.215023,0.8059,0.437328,1.0131,,,0.152654,1.0822,409.03,inferred,6.5,0.3,0.875,15.017,1.4737,0.032794
OBS_13,Priolo Gargallo,37.157,15.186,macroseismic,Stations_USGS,,0.204079,0.8059,0.425482,1.0131,,,0.157621,1.0822,437.05,inferred,6.5,0.3,0.875,15.017,1.4737,0.033992
OBS_15,Siracusa,37.082,15.285,macroseismic,Stations_USGS,,0.203354,0.8059,0.424687,1.0131,,,0.157965,1.0822,408.24,inferred,6.5,0.3,0.875,15.017,1.4737,0.034075
OBS_9,Floridia,37.082,15.153,macroseismic,Stations_USGS,,0.191142,0.8059,0.411082,1.0131,,,0.164077,1.0822,301.6,inferred,6.5,0.3,0.875,15.017,1.4737,0.035556
OBS_16,Sortino,37.156,15.027,macroseismic,Stations_USGS,,0.184585,0.8059,0.403607,1.0131,,,0.167625,1.0822,519.44,inferred,,,0.875,15.017,1.4737,0.036419
