# 2023_M6.9_Marrakesh median gmf, Stations:None, gmlt:GEM, Rupture:USGS
custom_site_id,lon,lat,AkkarEtAlRjb2014,ChiouYoungs2014
t_10,-10.18133,27.13448,0.003338926,0.0010717645
t_100,-9.37285,29.89674,0.014354497,0.02290178
t_101,-9.55251,30.05237,0.020467756,0.035483222
t_102,-9.01352,30.05237,0.020110631,0.034167606
t_103,-9.19318,30.05237,0.01828437,0.030737111
t_104,-9.37285,30.05237,0.022296496,0.039419338
t_105,-9.37285,30.20776,0.025951535,0.04726201
t_106,-9.19318,30.20776,0.027988775,0.050814442
t_107,-9.01352,30.20776,0.024312256,0.04182363
t_108,-9.55251,30.20776,0.024882207,0.046358738
t_109,-9.37285,30.36291,0.02651362,0.047698304
t_11,-10.63049,27.13448,0.0055171205,0.0018300252
t_110,-9.19318,30.36291,0.034044173,0.063017696
t_111,-9.01352,30.36291,0.040748227,0.07551343
t_112,-9.55251,30.36291,0.025889076,0.047564868
t_113,-9.55251,30.5178,0.01840617,0.03085166
t_114,-8.47453,30.20776,0.030193897,0.05137815
t_115,-8.29487,30.20776,0.028748354,0.04867191
t_116,-8.47453,30.36291,0.042347025,0.07070494
t_117,-8.29487,30.36291,0.040702876,0.068096675
t_118,-8.29487,30.5178,0.057635494,0.09154045
t_119,-8.47453,30.67245,0.13593696,0.20260094
t_12,-10.18133,27.53349,0.0045857746,0.0020039945
t_120,-8.29487,30.67245,0.12486031,0.19374485
t_121,-8.11521,30.67245,0.08477649,0.12839329
t_122,-8.20504,30.67245,0.114412256,0.18059206
t_123,-8.3847,30.67245,0.13617042,0.20640485
t_124,-8.65419,30.20776,0.029855091,0.051189113
t_125,-8.65419,30.36291,0.040394858,0.068104684
t_126,-8.83386,30.36291,0.03886115,0.06767221
t_127,-8.83386,30.5178,0.059930373,0.10569181
t_128,-8.65419,30.5178,0.07205407,0.122528896
t_129,-8.47453,30.5178,0.06067562,0.09534331
t_13,-10.63049,27.53349,0.0035297957,0.0012966994
t_130,-8.83386,30.67245,0.05479508,0.08598571
t_131,-8.56436,30.67245,0.10761156,0.15751506
t_132,-8.74403,30.67245,0.070278615,0.10839994
t_133,-9.01352,30.5178,0.047823053,0.08659973
t_134,-9.37285,30.5178,0.023773413,0.041095782
t_135,-9.19318,30.5178,0.03719593,0.067724615
t_136,-9.55251,30.67245,0.020616889,0.03501446
t_137,-9.37285,30.67245,0.024694638,0.042206917
t_138,-9.19318,30.67245,0.029299676,0.049106427
t_139,-9.01352,30.67245,0.042892385,0.07168511
t_14,-10.63049,27.93105,0.0059364922,0.0030648955
t_140,-9.19318,30.82686,0.037313204,0.06306859
t_141,-9.37285,30.82686,0.027297633,0.045858238
t_142,-9.55251,30.82686,0.023953035,0.040649123
t_143,-9.73217,30.82686,0.02116798,0.0355967
t_144,-9.73217,30.98102,0.022304974,0.036880396
t_145,-9.55251,31.13492,0.026940621,0.043824706
t_146,-9.73217,31.13492,0.020495964,0.03256631
t_147,-9.73217,31.28858,0.022463802,0.03598463
t_148,-9.55251,31.28858,0.021343764,0.032550287
t_149,-9.55251,31.44199,0.023153502,0.036023505
t_15,-10.18133,27.93105,0.0064834966,0.003839124
t_150,-9.55251,31.59515,0.027293619,0.04510983
t_151,-9.55251,31.74805,0.022003409,0.034598332
t_152,-8.65419,30.67245,0.08772873,0.1315845
t_153,-8.74403,30.74969,0.07860454,0.11638743
t_154,-8.65419,30.74969,0.10346198,0.14517662
t_155,-8.56436,30.74969,0.14507328,0.19155565
t_156,-8.83386,30.74969,0.0653115,0.10167571
t_157,-8.83386,30.82686,0.06727645,0.10131038
t_158,-8.74403,30.82686,0.09014043,0.12926525
t_159,-8.65419,30.82686,0.12781388,0.16843157
t_16,-10.18133,28.32716,0.005761242,0.0040128673
t_160,-8.56436,30.82686,0.19805998,0.22361967
t_161,-8.65419,30.90397,0.14678209,0.17830633
t_162,-8.83386,30.90397,0.08703122,0.12906282
t_163,-8.74403,30.90397,0.09879793,0.1330708
t_164,-8.56436,30.90397,0.28511629,0.28684723
t_165,-8.83386,30.98102,0.08483925,0.1100531
t_166,-8.65419,30.98102,0.17573915,0.17418629
t_167,-8.56436,30.98102,0.30608356,0.21985842
t_168,-8.74403,30.98102,0.11003922,0.1278446
t_169,-8.74403,31.058,0.12799962,0.12781493
t_17,-10.63049,28.32716,0.0044538723,0.0025880032
t_170,-9.01352,30.82686,0.052921414,0.08763425
t_171,-9.19318,30.98102,0.042041365,0.06693941
t_172,-9.37285,30.98102,0.029094249,0.046769198
t_173,-9.55251,30.98102,0.023990525,0.039111193
t_174,-9.01352,30.98102,0.04897273,0.07019098
t_175,-9.01352,31.13492,0.061571218,0.08490331
t_176,-9.37285,31.13492,0.032331068,0.05122532
t_177,-9.19318,31.13492,0.042779196,0.06468422
t_178,-9.19318,31.28858,0.04236761,0.06365349
t_179,-9.37285,31.28858,0.03333969,0.052629817
t_18,-10.63049,28.72179,0.0076648677,0.0060464684
t_180,-8.56436,31.058,0.36292598,0.17335504
t_181,-8.65419,31.058,0.19761181,0.14972848
t_182,-8.83386,31.058,0.09955294,0.11946554
t_183,-8.83386,31.13492,0.07893765,0.085436575
t_184,-8.65419,31.13492,0.2031883,0.15943523
t_185,-8.74403,31.13492,0.11703885,0.1090236
t_186,-8.56436,31.13492,0.3082028,0.18742189
t_187,-8.74403,31.21178,0.105869964,0.10364559
t_188,-8.83386,31.21178,0.0920527,0.106350765
t_189,-8.56436,31.21178,0.15183556,0.10643528
t_19,-10.18133,28.72179,0.0056117983,0.0046183155
t_190,-8.65419,31.21178,0.13564892,0.11240998
