FIELD,DESCRIPTION
Year,2011
Region,Europe
Country,Spain
Event_Name,Lorca_2011
Local_Date,11/05/2011
Local_Time,18:47:25
Longitude,-1.672
Latitude,37.699
Depth_(km),1
Mw,5.1
Max_Intensity_(MMI),VI
Fault_mechanism,Strike-slip
Tectonic_region_type,Active Shallow Crust
Fatalities,9
Injured,300
Displaced_Population,
Affected_Population,
Affected_Units,
Damaged_Units,889
Collapsed_Units,1
Economic_Losses,700 M EUR
Insured_Losses,484.7 M EUR
Induced_Effects,
USGS page,https://earthquake.usgs.gov/earthquakes/eventpage/usp000j1en/executive
Wikipedia page,https://en.wikipedia.org/wiki/2011_Lorca_earthquake
