ID_2,NAME_2,LATITUDE,LONGITUDE,TAXONOMY,GEM_TAXONOMY,AFFECTED_UNITS,DAMAGED_UNITS,D1,D2,D3,D4,D5,TOTAL,DS2_MODARATE_DAMAGED,DS3_EXTENSIVE,DS4_COMPLETE,COLLAPSED_UNITS,UNIT_TYPES,CAUSE_OF_DAMAGE,REFERENCE,COMMENTS
,Çardakli,39.656,39.804,All buildings,,,,2,,1,,1,4,,,,,Buildings,Shaking,CEQID/MPWS,
,Çarsi,39.735,39.488,All buildings,,,,227,,80,,16,323,,,,,Buildings,Shaking,CEQID/MPWS,
,Çay,39.133,40.067,All buildings,,,,118,,50,,7,175,,,,,Buildings,Shaking,CEQID/MPWS,
,Aksemsettin,39.75,9.52,All buildings,,,,50,,261,,88,399,,,,,Buildings,Shaking,CEQID/MPWS,
,Aslanli,39.755,39.476,All buildings,,,,251,,350,,12,613,,,,,Buildings,Shaking,CEQID/MPWS,
,Ataturk,39.743,39.493,All buildings,,,,197,,123,,97,417,,,,,Buildings,Shaking,CEQID/MPWS,
,Avcilar,39.609,39.834,All buildings,,,,11,,4,,49,64,,,,,Buildings,Shaking,CEQID/MPWS,
,Bahçelievler,39.75,9.476,All buildings,,,,113,,52,,0,165,,,,,Buildings,Shaking,CEQID/MPWS,
,Barbaros,39.752,39.502,All buildings,,,,5,,25,,33,63,,,,,Buildings,Shaking,CEQID/MPWS,
,Başpınar,39.188,38.688,All buildings,,,,11,,5,,7,23,,,,,Buildings,Shaking,CEQID/MPWS,
,Bugdayli,39.756,39.556,All buildings,,,,2,,5,,46,53,,,,,Buildings,Shaking,CEQID/MPWS,
,Buyuk Kadagan,39.641,39.676,All buildings,,,,28,,17,,44,89,,,,,Buildings,Shaking,CEQID/MPWS,
,Cumhuriyet,39.77,9.5,All buildings,,,,144,,25,,4,173,,,,,Buildings,Shaking,CEQID/MPWS,
,Denizdami,39.659,39.626,All buildings,,,,14,,5,,2,21,,,,,Buildings,Shaking,CEQID/MPWS,
,Erzincan,39.75,9.48,All buildings,,,,4131,,3290,,2168,9589,,,,,Buildings,Shaking,CEQID/MPWS,
,Fatih,39.79,9.52,All buildings,,,,97,,456,,352,905,,,,,Buildings,Shaking,CEQID/MPWS,
,Gunebakan,39.735,39.633,All buildings,,,,10,,6,,2,18,,,,,Buildings,Shaking,CEQID/MPWS,
,Halitpasa,39.739,39.473,All buildings,,,,127,,66,,48,241,,,,,Buildings,Shaking,CEQID/MPWS,
,Hocabey,39.738,39.485,All buildings,,,,535,,229,,35,799,,,,,Buildings,Shaking,CEQID/MPWS,
,Inonu,39.75,9.485,All buildings,,,,179,,202,,571,952,,,,,Buildings,Shaking,CEQID/MPWS,
,Isikpinar,39.788,39.458,All buildings,,,,13,,47,,124,184,,,,,Buildings,Shaking,CEQID/MPWS,
,Karaagaç,39.74,9.492,All buildings,,,,34,,84,,219,337,,,,,Buildings,Shaking,CEQID/MPWS,
,Karakaya,39.676,39.753,All buildings,,,,140,,10,,72,222,,,,,Buildings,Shaking,CEQID/MPWS,
,Kazim Karabekir,39.77,9.48,All buildings,,,,386,,144,,0,530,,,,,Buildings,Shaking,CEQID/MPWS,
,Kizilay,39.741,39.486,All buildings,,,,302,,321,,203,826,,,,,Buildings,Shaking,CEQID/MPWS,
,Mertekli,39.637,39.735,All buildings,,,,48,,43,,66,157,,,,,Buildings,Shaking,CEQID/MPWS,
,Mimar Sinan,39.753,39.508,All buildings,,,,77,,7,,14,98,,,,,Buildings,Shaking,CEQID/MPWS,
,Saztepe,39.705,39.617,All buildings,,,,5,,16,,15,36,,,,,Buildings,Shaking,CEQID/MPWS,
,Taksim,39.73,9.48,All buildings,,,,146,,73,,14,233,,,,,Buildings,Shaking,CEQID/MPWS,
,Uzumlu,39.706,39.701,All buildings,,,,293,,129,,23,445,,,,,Buildings,Shaking,CEQID/MPWS,
,Yavuz Selim,39.754,39.471,All buildings,,,,250,,571,,396,1217,,,,,Buildings,Shaking,CEQID/MPWS,
,Yeminmahalle,39.97,2.8,All buildings,,,,126,,88,,40,254,,,,,Buildings,Shaking,CEQID/MPWS,
,Yunus Emre,39.75,9.52,All buildings,,,,568,,94,,12,674,,,,,Buildings,Shaking,CEQID/MPWS,
