calc_id,description,cal_time,gmpe,imt,nominal_bias,abs_nominal_bias,max_gmv,Rupture,GMLT,Recording_Stations
805,"Median gmf - DRAFT_20161026_M6.09_CentralItaly (Rupture:INGV, GMPEs:GEM, Recording Stations:all)",278,KothaEtAl2020ESHM20SlopeGeology,PGA,-0.002,0.002,0.53512686,INGV,GEM,all
811,"Median gmf - DRAFT_20161026_M6.09_CentralItaly (Rupture:USGS, GMPEs:GEM, Recording Stations:all)",283,KothaEtAl2020ESHM20SlopeGeology,PGA,0.003,0.003,0.5741299,USGS,GEM,all
810,"Median gmf - DRAFT_20161026_M6.09_CentralItaly (Rupture:USGS, GMPEs:GEM, Recording Stations:seismic)",291,KothaEtAl2020ESHM20SlopeGeology,PGA,-0.029,0.029,0.57597846,USGS,GEM,seismic
804,"Median gmf - DRAFT_20161026_M6.09_CentralItaly (Rupture:INGV, GMPEs:GEM, Recording Stations:seismic)",282,KothaEtAl2020ESHM20SlopeGeology,PGA,-0.034,0.034,0.5368702,INGV,GEM,seismic
809,"Median gmf - DRAFT_20161026_M6.09_CentralItaly (Rupture:GCMT, GMPEs:GEM, Recording Stations:all)",286,KothaEtAl2020ESHM20SlopeGeology,PGA,-0.041,0.041,0.4827953,GCMT,GEM,all
807,"Median gmf - DRAFT_20161026_M6.09_CentralItaly (Rupture:EFEHR, GMPEs:GEM, Recording Stations:all)",275,KothaEtAl2020ESHM20SlopeGeology,PGA,-0.068,0.068,0.5200028,EFEHR,GEM,all
808,"Median gmf - DRAFT_20161026_M6.09_CentralItaly (Rupture:GCMT, GMPEs:GEM, Recording Stations:seismic)",277,KothaEtAl2020ESHM20SlopeGeology,PGA,-0.073,0.073,0.4841688,GCMT,GEM,seismic
806,"Median gmf - DRAFT_20161026_M6.09_CentralItaly (Rupture:EFEHR, GMPEs:GEM, Recording Stations:seismic)",273,KothaEtAl2020ESHM20SlopeGeology,PGA,-0.099,0.099,0.521125,EFEHR,GEM,seismic
811,"Median gmf - DRAFT_20161026_M6.09_CentralItaly (Rupture:USGS, GMPEs:GEM, Recording Stations:all)",283,KothaEtAl2020ESHM20SlopeGeology,PGA,-0.147,0.147,0.5741299,USGS,GEM,all
805,"Median gmf - DRAFT_20161026_M6.09_CentralItaly (Rupture:INGV, GMPEs:GEM, Recording Stations:all)",278,KothaEtAl2020ESHM20SlopeGeology,PGA,-0.154,0.154,0.53512686,INGV,GEM,all
810,"Median gmf - DRAFT_20161026_M6.09_CentralItaly (Rupture:USGS, GMPEs:GEM, Recording Stations:seismic)",291,KothaEtAl2020ESHM20SlopeGeology,PGA,-0.176,0.176,0.57597846,USGS,GEM,seismic
804,"Median gmf - DRAFT_20161026_M6.09_CentralItaly (Rupture:INGV, GMPEs:GEM, Recording Stations:seismic)",282,KothaEtAl2020ESHM20SlopeGeology,PGA,-0.183,0.183,0.5368702,INGV,GEM,seismic
809,"Median gmf - DRAFT_20161026_M6.09_CentralItaly (Rupture:GCMT, GMPEs:GEM, Recording Stations:all)",286,KothaEtAl2020ESHM20SlopeGeology,PGA,-0.193,0.193,0.4827953,GCMT,GEM,all
