STATION_ID,STATION_NAME,LONGITUDE,LATITUDE,STATION_TYPE,VS30,MMI_VALUE,MMI_STDDEV,PGA_LN_SIGMA,PGA_VALUE,PGV_LN_SIGMA,PGV_VALUE,SA(0.3)_LN_SIGMA,SA(0.3)_VALUE,SA(1.0)_LN_SIGMA,SA(1.0)_VALUE,SA(3.0)_LN_SIGMA,SA(3.0)_VALUE,VS30_TYPE,REFERENCES,GMICE
UTM:(28R 0575 3115 1000),,-14.231,28.163,macroseismic,760.0,1.0,0.5298,0.51,0.0007871369340857194,0.47,0.03203762969854713,0.73,0.0013754427446287327,0.64,0.00019520398033642927,0.74,2.3548722732753912e-05,inferred,Stations_USGS_CataldiEtAl2021,CataldiEtAl2021
UTM:(28R 0586 3118 1000),,-14.1187,28.1894,macroseismic,760.0,2.7,0.5298,0.51,0.003108433057479368,0.47,0.14033623190051728,0.73,0.005894035903246488,0.64,0.0009905647286009619,0.74,0.0001282029717276408,inferred,Stations_USGS_CataldiEtAl2021,CataldiEtAl2021
UTM:(28R 0610 3179 1000),,-13.8684,28.7381,macroseismic,760.0,2.2,0.5298,0.51,0.002075405304680971,0.47,0.09088465564310395,0.73,0.0038418390896694955,0.64,0.0006143473371219606,0.74,7.788393322179987e-05,inferred,Stations_USGS_CataldiEtAl2021,CataldiEtAl2021
UTM:(28R 0611 3152 1000),,-13.8608,28.4944,macroseismic,760.0,2.2,0.5298,0.51,0.002075405304680971,0.47,0.09088465564310395,0.73,0.0038418390896694955,0.64,0.0006143473371219606,0.74,7.788393322179987e-05,inferred,Stations_USGS_CataldiEtAl2021,CataldiEtAl2021
UTM:(28R 0614 3193 1000),,-13.826,28.8641,macroseismic,760.0,4.1,0.5298,0.51,0.009633178087427915,0.47,0.4736654395750486,0.73,0.019537044857809882,0.64,0.003773946357991026,0.74,0.0005175576094678517,inferred,Stations_USGS_CataldiEtAl2021,CataldiEtAl2021
UTM:(28R 0616 3193 1000),,-13.8055,28.864,macroseismic,760.0,3.4,0.5298,0.51,0.005472119261816834,0.47,0.257822464055141,0.73,0.010730892033529579,0.64,0.0019334782517157955,0.74,0.0002575896418220895,inferred,Stations_USGS_CataldiEtAl2021,CataldiEtAl2021
UTM:(28R 0642 3215 1000),,-13.5362,29.0598,macroseismic,760.0,2.2,0.5298,0.51,0.002075405304680971,0.47,0.09088465564310395,0.73,0.0038418390896694955,0.64,0.0006143473371219606,0.74,7.788393322179987e-05,inferred,Stations_USGS_CataldiEtAl2021,CataldiEtAl2021
UTM:(28R 0678 3003 1000),,-13.1988,27.1425,macroseismic,760.0,1.0,0.5298,0.51,0.0007871369340857194,0.47,0.03203762969854713,0.73,0.0013754427446287327,0.64,0.00019520398033642927,0.74,2.3548722732753912e-05,inferred,Stations_USGS_CataldiEtAl2021,CataldiEtAl2021
UTM:(28S 0327 3614 1000),,-16.8393,32.6547,macroseismic,760.0,2.5,0.5298,0.51,0.002644637064950552,0.47,0.1179500456232935,0.73,0.004966647464625161,0.64,0.0008182675109084317,0.74,0.0001050311221755658,inferred,Stations_USGS_CataldiEtAl2021,CataldiEtAl2021
UTM:(29R 0271 3154 1000),,-11.3344,28.4972,macroseismic,673.37,2.2,0.5298,0.51,0.002075405304680971,0.47,0.09088465564310395,0.73,0.0038418390896694955,0.64,0.0006143473371219606,0.74,7.788393322179987e-05,inferred,Stations_USGS_CataldiEtAl2021,CataldiEtAl2021
