STATION_ID,STATION_NAME,LONGITUDE,LATITUDE,STATION_TYPE,VS30,MMI_VALUE,MMI_STDDEV,PGA_LN_SIGMA,PGA_VALUE,PGV_LN_SIGMA,PGV_VALUE,SA(0.3)_LN_SIGMA,SA(0.3)_VALUE,SA(1.0)_LN_SIGMA,SA(1.0)_VALUE,SA(3.0)_LN_SIGMA,SA(3.0)_VALUE,VS30_TYPE,REFERENCES,GMICE
UTM:(28R 0575 3115 1000),,-14.231,28.163,macroseismic,760.0,1.0,0.5298,1.31,0.0029084553750235677,1.38,0.19499802444491018,,,,,,,inferred,Stations_USGS_AhmadzadehEtAl2020,AhmadzadehEtAl2020
UTM:(28R 0586 3118 1000),,-14.1187,28.1894,macroseismic,760.0,2.7,0.5298,1.31,0.008986197293934637,1.38,0.6362464580296521,,,,,,,inferred,Stations_USGS_AhmadzadehEtAl2020,AhmadzadehEtAl2020
UTM:(28R 0610 3179 1000),,-13.8684,28.7381,macroseismic,760.0,2.2,0.5298,1.31,0.006448871605222374,1.38,0.449332648773301,,,,,,,inferred,Stations_USGS_AhmadzadehEtAl2020,AhmadzadehEtAl2020
UTM:(28R 0611 3152 1000),,-13.8608,28.4944,macroseismic,760.0,2.2,0.5298,1.31,0.006448871605222374,1.38,0.449332648773301,,,,,,,inferred,Stations_USGS_AhmadzadehEtAl2020,AhmadzadehEtAl2020
UTM:(28R 0614 3193 1000),,-13.826,28.8641,macroseismic,760.0,4.1,0.5298,1.31,0.02275276402448995,1.38,1.6849464491854573,,,,,,,inferred,Stations_USGS_AhmadzadehEtAl2020,AhmadzadehEtAl2020
UTM:(28R 0616 3193 1000),,-13.8055,28.864,macroseismic,760.0,3.4,0.5298,1.31,0.014298979911392451,1.38,1.0353942293947203,,,,,,,inferred,Stations_USGS_AhmadzadehEtAl2020,AhmadzadehEtAl2020
UTM:(28R 0642 3215 1000),,-13.5362,29.0598,macroseismic,760.0,2.2,0.5298,1.31,0.006448871605222374,1.38,0.449332648773301,,,,,,,inferred,Stations_USGS_AhmadzadehEtAl2020,AhmadzadehEtAl2020
UTM:(28R 0678 3003 1000),,-13.1988,27.1425,macroseismic,760.0,1.0,0.5298,1.31,0.0029084553750235677,1.38,0.19499802444491018,,,,,,,inferred,Stations_USGS_AhmadzadehEtAl2020,AhmadzadehEtAl2020
UTM:(28S 0327 3614 1000),,-16.8393,32.6547,macroseismic,760.0,2.5,0.5298,1.31,0.007869353627765096,1.38,0.5536080759525386,,,,,,,inferred,Stations_USGS_AhmadzadehEtAl2020,AhmadzadehEtAl2020
UTM:(29R 0271 3154 1000),,-11.3344,28.4972,macroseismic,673.37,2.2,0.5298,1.31,0.006448871605222374,1.38,0.449332648773301,,,,,,,inferred,Stations_USGS_AhmadzadehEtAl2020,AhmadzadehEtAl2020
UTM:(29R 0293 3147 1000),,-11.1085,28.4377,macroseismic,423.49,4.1,0.5298,1.31,0.02275276402448995,1.38,1.6849464491854573,,,,,,,inferred,Stations_USGS_AhmadzadehEtAl2020,AhmadzadehEtAl2020
UTM:(29R 0294 3147 1000),,-11.0983,28.4379,macroseismic,373.79,2.2,0.5298,1.31,0.006448871605222374,1.38,0.449332648773301,,,,,,,inferred,Stations_USGS_AhmadzadehEtAl2020,AhmadzadehEtAl2020
UTM:(29R 0386 3249 1000),,-10.1694,29.3696,macroseismic,843.45,3.1,0.5298,1.31,0.011717898304744541,1.38,0.8403714682413803,,,,,,,inferred,Stations_USGS_AhmadzadehEtAl2020,AhmadzadehEtAl2020
