FIELD,DESCRIPTION
Year,1999
Country,Mexico
Region,Oaxaca
Event_Name,Oaxaca_1999
Local_Date,30/09/1999
Local_Time,11:31:13
Latitude,16.056
Longitude,-97.004
Depth_(km),39
Mw,7.4
Max_Intensity_(MMI),VIII
Fault_mechanism,Normal
Tectonic_region_type,Subduction Intraslab
Fatalities,31-50
Injured,160-215
Displaced_Population,
Affected_Population,115000
Affected_Units,86628 Units
Damaged_Units,2000-45697 Units
Collapsed_Units,9538 Units
Economic_Losses,164.8 M USD 
Insured_Losses,
Induced_Effects,Landslides 
USGS page,https://earthquake.usgs.gov/earthquakes/eventpage/usp0009f7v/executive
Wikipedia page,https://en.wikipedia.org/wiki/1999_Oaxaca_earthquake
