FIELD,DESCRIPTION
Year,2023
Country,Colombia
Region,South America
Event Name,El Calvario
Local Date,17/08/2023
Local Time,12:04:57
Longitude (decimal degrees),-73.5111
Latitude (decimal degrees),4.4177
Depth (km),10
Mw,6.1
Max Intensity (MMI),VII
Fault mechanism,Strike-slip
Tectonic region type,Active shallow
Fatalities,~0
Injured,~0
Displaced population,
Affected population,~0
Affected units,
Damaged units,~82
Destroyed Units,10
Economic losses,
Insured losses,
Earthquake-triggered effects,
USGS event ID,us7000kp2i
Wikipedia page,https://es.wikipedia.org/wiki/Terremoto de El Calvario de 2023#cite note-2
