ID_1,NAME_1,ID_2,NAME_2,TAXONOMY,GEM_TAXONOMY,AFFECTED_UNITS,DAMAGED_UNITS,DS2_MODARATE_DAMAGED,DS3_EXTENSIVE,DS4_COMPLETE,COLLAPSED_UNITS,UNIT_TYPES,CAUSE_OF_DAMAGE,REFERENCE,COMMENTS
SV01,Ahuachapán,SV0101,Ahuachapán,,RES ,,7589.0,,,,836.0,,Shaking,ProteccionCivil ,
SV01,Ahuachapán,SV0101,Ahuachapán,,ASS1 ,,3.0,,,,,,Shaking,ProteccionCivil ,
SV01,Ahuachapán,SV0101,Ahuachapán,,COM6 ,,18.0,,,,,,Shaking,ProteccionCivil ,
SV01,Ahuachapán,SV0111,Tacuba,,RES ,,4580.0,,,,2328.0,,Shaking,ProteccionCivil ,
SV01,Ahuachapán,SV0111,Tacuba,,ASS1 ,,7.0,,,,,,Shaking,ProteccionCivil ,
SV01,Ahuachapán,SV0111,Tacuba,,COM6 ,,12.0,,,,,,Shaking,ProteccionCivil ,
SV01,Ahuachapán,SV0104,Concepción de Ataco,,RES ,,1675.0,,,,1707.0,,Shaking,ProteccionCivil ,
SV01,Ahuachapán,SV0104,Concepción de Ataco,,ASS1 ,,2.0,,,,,,Shaking,ProteccionCivil ,
SV01,Ahuachapán,SV0104,Concepción de Ataco,,COM6 ,,11.0,,,,,,Shaking,ProteccionCivil ,
SV01,Ahuachapán,SV0102,Apaneca,,RES ,,151.0,,,,54.0,,Shaking,ProteccionCivil ,
SV01,Ahuachapán,SV0102,Apaneca,,ASS1 ,,1.0,,,,,,Shaking,ProteccionCivil ,
SV01,Ahuachapán,SV0102,Apaneca,,COM6 ,,4.0,,,,,,Shaking,ProteccionCivil ,
SV01,Ahuachapán,SV0107,Jujutla,,RES ,,417.0,,,,135.0,,Shaking,ProteccionCivil ,
SV01,Ahuachapán,SV0107,Jujutla,,COM6 ,,6.0,,,,,,Shaking,ProteccionCivil ,
SV01,Ahuachapán,SV0112,Turin,,RES ,,604.0,,,,433.0,,Shaking,ProteccionCivil ,
SV01,Ahuachapán,SV0112,Turin,,COM6 ,,1.0,,,,,,Shaking,ProteccionCivil ,
SV01,Ahuachapán,SV0103,Atiquizaya,,RES ,,833.0,,,,483.0,,Shaking,ProteccionCivil ,
SV01,Ahuachapán,SV0103,Atiquizaya,,ASS1 ,,1.0,,,,,,Shaking,ProteccionCivil ,
SV01,Ahuachapán,SV0103,Atiquizaya,,COM6 ,,3.0,,,,,,Shaking,ProteccionCivil ,
SV01,Ahuachapán,SV0110,San Pedro Puxtla,,RES ,,544.0,,,,102.0,,Shaking,ProteccionCivil ,
SV01,Ahuachapán,SV0110,San Pedro Puxtla,,COM6 ,,1.0,,,,,,Shaking,ProteccionCivil ,
SV01,Ahuachapán,SV0106,Guaymango,,RES ,,634.0,,,,158.0,,Shaking,ProteccionCivil ,
SV01,Ahuachapán,SV0106,Guaymango,,COM6 ,,1.0,,,,,,Shaking,ProteccionCivil ,
SV01,Ahuachapán,SV0108,San Francisco Menendez,,RES ,,330.0,,,,79.0,,Shaking,ProteccionCivil ,
SV01,Ahuachapán,SV0108,San Francisco Menendez,,COM6 ,,1.0,,,,,,Shaking,ProteccionCivil ,
SV01,Ahuachapán,SV0109,San Lorenzo,,RES ,,126.0,,,,3.0,,Shaking,ProteccionCivil ,
SV01,Ahuachapán,SV0105,El Refugio,,RES ,,787.0,,,,235.0,,Shaking,ProteccionCivil ,
SV01,Ahuachapán,SV0105,El Refugio,,COM6 ,,2.0,,,,,,Shaking,ProteccionCivil ,
SV02,Cabañas,SV0203,Ilobasco,,RES ,,606.0,,,,80.0,,Shaking,ProteccionCivil ,
SV02,Cabañas,SV0203,Ilobasco,,ASS1 ,,1.0,,,,,,Shaking,ProteccionCivil ,
SV02,Cabañas,SV0203,Ilobasco,,COM6 ,,7.0,,,,,,Shaking,ProteccionCivil ,
SV02,Cabañas,SV0207,Tejutepeque,,RES ,,240.0,,,,220.0,,Shaking,ProteccionCivil ,
SV02,Cabañas,SV0207,Tejutepeque,,ASS1 ,,1.0,,,,,,Shaking,ProteccionCivil ,
SV02,Cabañas,SV0207,Tejutepeque,,COM6 ,,2.0,,,,,,Shaking,ProteccionCivil ,
SV02,Cabañas,SV0204,Jutiapa,,RES ,,3.0,,,,,,Shaking,ProteccionCivil ,
SV02,Cabañas,SV0204,Jutiapa,,COM6 ,,2.0,,,,,,Shaking,ProteccionCivil ,
SV02,Cabañas,SV0209,Dolores,,RES ,,200.0,,,,1.0,,Shaking,ProteccionCivil ,
SV02,Cabañas,SV0209,Dolores,,ASS1 ,,1.0,,,,,,Shaking,ProteccionCivil ,
SV02,Cabañas,SV0209,Dolores,,COM6 ,,2.0,,,,,,Shaking,ProteccionCivil ,
SV02,Cabañas,SV0208,Victoria,,RES ,,63.0,,,,5.0,,Shaking,ProteccionCivil ,
SV02,Cabañas,SV0208,Victoria,,COM6 ,,3.0,,,,,,Shaking,ProteccionCivil ,
SV02,Cabañas,SV0201,Cinquera,,COM6 ,,2.0,,,,,,Shaking,ProteccionCivil ,
SV02,Cabañas,SV0206,Sensuntepeque,,RES ,,16.0,,,,,,Shaking,ProteccionCivil ,
SV02,Cabañas,SV0206,Sensuntepeque,,ASS1 ,,1.0,,,,,,Shaking,ProteccionCivil ,
SV02,Cabañas,SV0206,Sensuntepeque,,COM6 ,,6.0,,,,,,Shaking,ProteccionCivil ,
SV02,Cabañas,SV0202,Guacotecti,,COM6 ,,3.0,,,,,,Shaking,ProteccionCivil ,
SV02,Cabañas,SV0202,San Isidro,,RES ,,25.0,,,,3.0,,Shaking,ProteccionCivil ,
SV02,Cabañas,SV0202,San Isidro,,ASS1 ,,1.0,,,,,,Shaking,ProteccionCivil ,
SV02,Cabañas,SV0202,San Isidro,,COM6 ,,4.0,,,,,,Shaking,ProteccionCivil ,
SV03,Chalatenango,SV0307,Chalatenango,,RES ,,44.0,,,,7.0,,Shaking,ProteccionCivil ,
SV03,Chalatenango,SV0307,Chalatenango,,ASS1 ,,2.0,,,,,,Shaking,ProteccionCivil ,
SV03,Chalatenango,SV0307,Chalatenango,,COM6 ,,15.0,,,,,,Shaking,ProteccionCivil ,
SV03,Chalatenango,SV0324,San Francisco Morazán,,COM6 ,,1.0,,,,,,Shaking,ProteccionCivil ,
SV03,Chalatenango,SV0329,San Luis Del Carmen,,RES ,,50.0,,,,1.0,,Shaking,ProteccionCivil ,
SV03,Chalatenango,SV0333,Tejutla,,COM6 ,,1.0,,,,,,Shaking,ProteccionCivil ,
SV03,Chalatenango,SV0323,San Francisco Lempa,,RES ,,4.0,,,,,,Shaking,ProteccionCivil ,
SV03,Chalatenango,SV0323,San Francisco Lempa,,COM6 ,,1.0,,,,,,Shaking,ProteccionCivil ,
SV03,Chalatenango,SV0316,Nueva Concepción,,RES ,,27.0,,,,7.0,,Shaking,ProteccionCivil ,
SV03,Chalatenango,SV0316,Nueva Concepción,,COM6 ,,6.0,,,,,,Shaking,ProteccionCivil ,
SV03,Chalatenango,SV0328,San José Las Flores,,RES ,,138.0,,,,1.0,,Shaking,ProteccionCivil ,
