# 19891227_M5.9_Newcastle median gmf, Stations:All, gmlt:GEM, Rupture:AUS
custom_site_id,lon,lat,Allen2012,AtkinsonBoore2006Modified2011,BooreEtAl2014,ChiouYoungs2014,SomervilleEtAl2009YilgarnCraton,ZhaoEtAl2006Asc
m_0,151.74108999999999,-32.03251,0.01313509,0.014066176,0.012238342,0.012051003,0.013128006,0.013113738
m_1,151.70753000000002,-32.91168,0.2775668,0.31196952,0.31289226,0.30591998,0.28600773,0.28002372
m_10,151.78154,-32.91598,0.22351058,0.24040817,0.2304521,0.24627402,0.20357248,0.22208773
m_100,151.58173,-33.05612,0.15261962,0.14005533,0.13963881,0.14621891,0.16563681,0.12479382
m_101,151.70085,-32.94276,0.2852424,0.25484496,0.2276987,0.22750835,0.29749033,0.2381696
m_102,151.05557999999996,-32.9713,0.03489524,0.028989807,0.03626137,0.035967004,0.041985177,0.036603678
m_103,150.58182,-33.69501,0.013361985,0.01292914,0.008386355,0.008756119,0.010082668,0.010659338
m_104,151.63869,-33.00957,0.21358104,0.19825484,0.22927809,0.2015618,0.273103,0.1813673
m_105,151.60162000000003,-33.07624,0.14494917,0.17269027,0.1833505,0.17686772,0.15131341,0.15006791
m_106,151.65807,-32.93589,0.27734855,0.2607735,0.27302378,0.22350347,0.3418187,0.231398
m_11,151.71828,-32.99428,0.20975602,0.19935714,0.18820411,0.2001994,0.21938062,0.1844205
m_12,151.73577,-32.8885,0.2494676,0.25258526,0.244628,0.25954753,0.23601252,0.24409032
m_13,151.65282000000002,-33.08034,0.14909562,0.1718574,0.18388218,0.17885289,0.15691712,0.15446454
m_14,151.58375,-33.06611,0.1488436,0.1472841,0.1503784,0.15716654,0.15686047,0.1523677
m_15,151.75500999999997,-32.89198,0.23770586,0.25724575,0.24820316,0.26116884,0.22067943,0.23546918
m_16,151.71418,-32.96713,0.23906901,0.23931637,0.2246574,0.23472655,0.24308372,0.20881929
m_17,150.82029999999997,-32.3426,0.0168106,0.021424217,0.02100091,0.020346703,0.015926508,0.02019785
m_18,151.60267,-32.96897,0.2396097,0.2229192,0.2507667,0.20245491,0.31909627,0.19965464
m_19,151.65468999999996,-32.95146,0.2750988,0.29181775,0.3386074,0.27687296,0.33025703,0.29059365
m_2,151.72005000000001,-32.88389,0.24021082,0.25169042,0.24762413,0.2571897,0.23821396,0.23872487
m_20,151.60339999999997,-33.02638,0.1765852,0.18500425,0.21072534,0.20004593,0.21332596,0.18560204
m_21,151.69936,-32.99724,0.22457455,0.2254992,0.23488882,0.23456275,0.24452223,0.24473357
m_22,151.69387,-32.89778,0.24986167,0.24824607,0.24614476,0.2414853,0.2723637,0.2551811
m_23,151.73256000000003,-32.93964,0.27777937,0.23181206,0.19320332,0.21456848,0.26181394,0.2265356
m_24,151.56268,-32.58662,0.049024604,0.04002127,0.044874523,0.04557408,0.057417706,0.048949484
m_25,151.71661,-32.9569,0.25258324,0.26980782,0.26603198,0.27260107,0.25362,0.27337712
m_26,151.67917,-32.9963,0.22858898,0.20755039,0.21204796,0.20079459,0.27031562,0.1978701
m_27,150.84539,-33.86704,0.013570887,0.014127341,0.00952974,0.009783396,0.010279832,0.010939849
m_28,151.26814000000002,-33.4209,0.023281407,0.018977206,0.024068179,0.023346452,0.029606909,0.02604129
m_29,151.59235,-33.04419,0.16092713,0.15078129,0.15563257,0.15812877,0.1814381,0.1670231
m_3,151.72899,-32.88443,0.2419644,0.22077227,0.20403741,0.22103955,0.23423368,0.23866966
m_30,151.65017999999998,-33.05791,0.16871358,0.18566759,0.19588898,0.19627322,0.18342443,0.17525095
m_31,151.19106999999997,-31.82066,0.011991664,0.012998997,0.008063602,0.00811384,0.008680106,0.009217901
m_32,151.61383999999998,-33.04652,0.16673684,0.18616499,0.19768587,0.19631363,0.18708737,0.17299135
m_33,151.59389999999996,-33.01383,0.1862616,0.18445407,0.21348916,0.19556007,0.23593745,0.19483124
m_34,151.53714000000002,-33.01287,0.17229953,0.17056547,0.19520326,0.18174201,0.23068805,0.1717
m_35,151.65751,-32.88237,0.21628542,0.2147905,0.2045006,0.20232585,0.24871653,0.18015069
m_36,151.74117999999999,-32.95058,0.25489596,0.21353224,0.17649487,0.1995602,0.23888834,0.2117058
m_37,151.09704,-32.54385,0.02689862,0.020438831,0.025344549,0.025601419,0.030854609,0.028935377
m_38,151.41161,-33.3648,0.031040458,0.03615039,0.04980393,0.044722874,0.038972367,0.040248487
m_39,151.61491,-32.92006,0.25881392,0.2643751,0.2925835,0.23125166,0.3339997,0.21004735
m_4,151.63016,-32.96655,0.25342223,0.23692894,0.25509363,0.2123928,0.3176792,0.21459626
m_40,150.37795,-33.77361,0.011764111,0.012384505,0.0067642666,0.006897502,0.0072782915,0.007959907
m_41,151.39394,-33.25586,0.047912277,0.053577654,0.066794045,0.06281231,0.05612511,0.056482594
m_42,152.30650000000003,-32.21471,0.013695624,0.013608366,0.011220462,0.011316073,0.013304523,0.0133393835
m_43,151.69426999999996,-32.96341,0.26061222,0.24132872,0.2179967,0.21933064,0.2758305,0.22466989
m_44,151.64367,-32.97318,0.25509316,0.2691337,0.33255512,0.26600453,0.3219314,0.27192476
m_45,151.74363,-32.30712,0.01754606,0.015463621,0.02144671,0.020306015,0.02281881,0.020942857
m_46,151.58442000000002,-33.02878,0.16922033,0.17482322,0.19503924,0.18839642,0.20335954,0.17586984
m_47,151.59665,-33.05504,0.15620948,0.17882644,0.18717234,0.18699393,0.16981357,0.16303822
m_48,150.10395,-33.49946,0.011306333,0.011581864,0.0062471447,0.006364076,0.0066964156,0.0074055474
m_49,151.86131999999998,-32.74758,0.06750558,0.07840959,0.09363115,0.08940083,0.078287564,0.0783655
m_5,151.60481,-33.00686,0.19460328,0.19296587,0.2302806,0.20261359,0.25411057,0.20664059
m_50,151.64364999999998,-33.01667,0.20866276,0.18850438,0.20942982,0.19185327,0.25888765,0.17630304
