STATION_ID,STATION_NAME,LONGITUDE,LATITUDE,STATION_TYPE,VS30,MMI_VALUE,MMI_STDDEV,PGA_LN_SIGMA,PGA_VALUE,PGV_LN_SIGMA,PGV_VALUE,SA(0.3)_LN_SIGMA,SA(0.3)_VALUE,SA(1.0)_LN_SIGMA,SA(1.0)_VALUE,SA(3.0)_LN_SIGMA,SA(3.0)_VALUE,VS30_TYPE,REFERENCES
PNN,PNN,12.2614,43.8172,seismic,640.63,3.7,0.63,,,,,,,,,,,inferred,Stations_USGS
GBB,GBB,12.602,43.357,seismic,588.0,null,null,0.0,0.08323,null,null,0.0,0.13042,0.0,0.01967,0.0,0.00448,inferred,Stations_USGS
ASS,ASS,12.6041,43.075,seismic,537.45,null,null,0.0,0.18792,null,null,0.0,0.59716,0.0,0.04967,0.0,0.00519,inferred,Stations_USGS
BTT2,Borgo-Ottomila 2,13.543,41.998,seismic,202.88,4.0,0.63,0.0,0.008337,0.0,1.9,0.0,0.011429,0.0,0.019592,0.0,0.013061,inferred,Stations_USGS
MNF,MNF,13.1847,43.0628,seismic,900.0,3.7,0.63,0.0,0.03178,0.0,1.1047,0.0,0.03728,0.0,0.00742,0.0,0.00121,inferred,Stations_USGS
AQI,AQI,13.4009,42.3449,seismic,414.74,null,null,,,,,,,,,,,inferred,Stations_USGS
BVG,BVG,12.6111,42.9324,seismic,255.84,5.7,0.63,0.0,0.07292,0.0,8.9506,0.0,0.1475,0.0,0.08782,0.0,0.02435,inferred,Stations_USGS
HIST_19,Norcia-Altavilla,13.089,42.796,seismic,780.91,4.3,0.63,0.0,0.059796,0.0,3.13,0.0,0.100102,0.0,0.052347,0.0,0.004735,inferred,Stations_USGS
SNG,SNG,13.2267,43.685,seismic,443.67,null,null,0.0,0.04543,null,null,0.0,0.09839,0.0,0.04692,0.0,0.00283,inferred,Stations_USGS
NRI,Norcia-Zona Industriale,13.097,42.775,seismic,423.94,4.2,0.63,0.0,0.033367,0.0,2.64,0.0,0.05898,0.0,0.04898,0.0,0.005918,inferred,Stations_USGS
AQG,AQG,13.337,42.3735,seismic,462.87,null,null,0.0,0.00705,null,null,0.0,0.01826,0.0,0.00424,0.0,0.00149,inferred,Stations_USGS
FHC,FHC,13.2103,42.7611,seismic,393.34,3.7,0.63,,,,,,,,,,,inferred,Stations_USGS
CSC,CSC,13.0133,42.7189,seismic,616.78,3.8,0.63,0.0,0.02153,0.0,1.3942,0.0,0.04185,0.0,0.00793,0.0,0.00303,inferred,Stations_USGS
CGL,CGL,12.6292,43.5353,seismic,873.14,null,null,0.0,0.01997,null,null,0.0,0.05507,0.0,0.00911,0.0,0.00067,inferred,Stations_USGS
PTL,PTL,12.4486,43.4267,seismic,462.97,null,null,0.0,0.01888,null,null,0.0,0.06342,0.0,0.02116,0.0,0.0144,inferred,Stations_USGS
RTI,RTI,12.8211,42.4303,seismic,217.37,null,null,0.0,0.01875,null,null,0.0,0.03935,0.0,0.04312,0.0,0.00426,inferred,Stations_USGS
CSA,CSA,12.5906,43.008,seismic,194.99,null,null,0.0,0.17216,0.0,13.4219,0.0,0.30216,0.0,0.21831,0.0,0.04041,inferred,Stations_USGS
CLF,CLF,12.9205,43.0359,seismic,390.52,6.3,0.63,0.0,0.22714,0.0,13.4097,0.0,0.34996,0.0,0.28184,0.0,0.02365,inferred,Stations_USGS
NCR,NCR,12.7847,43.1116,seismic,384.71,null,null,0.0,0.40595,null,null,0.0,0.50197,0.0,0.20298,0.0,0.01985,inferred,Stations_USGS
AQK,AQK,13.4009,42.345,seismic,414.74,3.3,0.63,0.0,0.00422,0.0,0.6135,0.0,0.01156,0.0,0.00942,0.0,0.00142,inferred,Stations_USGS
GBP,GBP,12.5895,43.3138,seismic,324.28,null,null,0.0,0.09775,null,null,0.0,0.19785,0.0,0.13947,0.0,0.10251,inferred,Stations_USGS
MTL,MTL,13.0084,43.2495,seismic,383.74,null,null,0.0,0.11629,null,null,0.0,0.20303,0.0,0.08506,0.0,0.01945,inferred,Stations_USGS
CTR,Borgo-Cerreto Torre,12.915,42.814,seismic,414.74,4.7,0.63,0.0,0.105102,0.0,4.41,0.0,0.207143,0.0,0.018776,0.0,0.00301,inferred,Stations_USGS
PGL,PGL,12.4983,43.6956,seismic,563.48,null,null,0.0,0.02502,0.0,0.9365,0.0,0.04697,0.0,0.0077,0.0,0.00172,inferred,Stations_USGS
LNS,LNS,12.9842,42.565,seismic,379.55,3.5,0.63,0.0,0.02214,0.0,0.9229,0.0,0.0559,0.0,0.01173,0.0,0.0025,inferred,Stations_USGS
OBS_688,Montevarchi AR,11.568,43.523,macroseismic,384.19,4.0,0.3,0.8059,0.022303,0.875,1.8712,1.0131,0.033838,1.0822,0.020427,1.4737,0.00403,inferred,Stations_USGS
OBS_295,Montelupone MC,13.568,43.343,macroseismic,431.32,5.5,0.3,0.8059,0.089601,0.875,7.6368,1.0131,0.214695,1.0822,0.090679,1.4737,0.019934,inferred,Stations_USGS
OBS_778,Roviano RM,12.995,42.025,macroseismic,883.36,3.5,0.3,,,,,,,,,,,inferred,Stations_USGS
OBS_578,Pescara PE,14.214,42.464,macroseismic,254.42,4.5,0.3,0.8059,0.03989,0.875,3.6852,1.0131,0.063498,1.0822,0.045965,1.4737,0.010547,inferred,Stations_USGS
OBS_569,Montiano FC,12.305,44.082,macroseismic,421.89,4.5,0.3,0.8059,0.040947,0.875,3.6852,1.0131,0.065671,1.0822,0.044519,1.4737,0.010359,inferred,Stations_USGS
OBS_189,Palmiano AP,13.458,42.899,macroseismic,631.06,6.0,0.3,0.8059,0.132319,0.875,10.9936,1.0131,0.295503,1.0822,0.128521,1.4737,0.027684,inferred,Stations_USGS
OBS_726,Vejano VT,12.095,42.216,macroseismic,372.51,4.0,0.3,0.8059,0.022237,0.875,1.8712,1.0131,0.033784,1.0822,0.020457,1.4737,0.004038,inferred,Stations_USGS
OBS_664,Frascati RM,12.681,41.808,macroseismic,760.0,4.0,0.3,0.8059,0.019267,0.875,1.8712,1.0131,0.031269,1.0822,0.021955,1.4737,0.004491,inferred,Stations_USGS
OBS_714,Roncofreddo FC,12.318,44.042,macroseismic,462.9,4.0,0.3,0.8059,0.022149,0.875,1.8712,1.0131,0.033712,1.0822,0.020497,1.4737,0.00405,inferred,Stations_USGS
OBS_346,Anghiari AR,12.054,43.541,macroseismic,355.89,5.0,0.3,0.8059,0.062509,0.875,5.305,1.0131,0.149903,1.0822,0.062821,1.4737,0.014063,inferred,Stations_USGS
OBS_537,Fiano Romano RM,12.59,42.17,macroseismic,460.4,4.5,0.3,0.8059,0.042854,0.875,3.6852,1.0131,0.069637,1.0822,0.042196,1.4737,0.01004,inferred,Stations_USGS
OBS_281,Monte San Martino MC,13.439,43.031,macroseismic,437.15,5.5,0.3,0.8059,0.099485,0.875,7.6368,1.0131,0.226837,1.0822,0.085046,1.4737,0.018551,inferred,Stations_USGS
OBS_561,Montegabbione TR,12.093,42.92,macroseismic,440.45,4.5,0.3,0.8059,0.049131,0.875,3.6852,1.0131,0.08304,1.0822,0.035925,1.4737,0.008009,inferred,Stations_USGS
OBS_376,Collevecchio RI,12.553,42.334,macroseismic,439.93,5.0,0.3,0.8059,0.06166,0.875,5.305,1.0131,0.147285,1.0822,0.06335,1.4737,0.014195,inferred,Stations_USGS
OBS_483,Torricella in Sabina RI,12.871,42.261,macroseismic,572.35,5.0,0.3,0.8059,0.060791,0.875,5.305,1.0131,0.144616,1.0822,0.063904,1.4737,0.014335,inferred,Stations_USGS
