STATION_ID,STATION_NAME,LATITUDE,LONGITUDE,STATION_TYPE,REFERENCES,SOIL_TYPE,PGA_VALUE,SA(0.3)_VALUE,SA(0.6)_VALUE,SA(1.0)_VALUE,PGA_LN_SIGMA,SA(0.3)_LN_SIGMA,SA(0.6)_LN_SIGMA,SA(1.0)_LN_SIGMA,PGA_VALUE_1,SA(0.3)_VALUE_1,SA(0.6)_VALUE_1,SA(1.0)_VALUE_1,PGA_VALUE_2,SA(0.3)_VALUE_2,SA(0.6)_VALUE_2,SA(1.0)_VALUE_2,PGA_VALUE_V,SA(0.3)_VALUE_V,SA(0.6)_VALUE_V,SA(1.0)_VALUE_V,VS30,MMI_VALUE,MMI_STDDEV,PGV_LN_SIGMA,PGV_VALUE,SA(3.0)_LN_SIGMA,SA(3.0)_VALUE,VS30_TYPE
VIGA,LAS VIGAS,16.758703,-99.233268,seismic,Stations_UNAM,ROCA,0.3619513761,0.536444279,0.3702122379,0.1031752634,0.0,0.0,0.0,0.0,0.3619513761,0.536444279,0.3702122379,0.1031752634,0.2202413863,0.2382626728,0.0962216441,0.0292844219,0.1331478084,0.2413737831,0.128795287,0.0492919501,,,,,,,,
VNTA,LA VENTA,16.91426,-99.81885,seismic,Stations_UNAM,ROCA,0.210140367,0.3481549352,0.1983431841,0.1071791378,0.0,0.0,0.0,0.0,0.210140367,0.2277683545,0.1983431841,0.1071791378,0.1663737003,0.3481549352,0.1835639766,0.0646388161,0.1791716616,0.1185882897,0.0769031395,0.0621344174,,,,,,,,
COYC,COYUCA,16.997788,-100.089963,seismic,Stations_UNAM,ROCA,0.1709081549,0.2694959296,0.1630451001,0.0889219451,0.0,0.0,0.0,0.0,0.1389752294,0.2694959296,0.1630451001,0.0889219451,0.1709081549,0.2160366301,0.1025673762,0.0687164002,0.0910349643,0.1427401752,0.0475432174,0.0411383474,,,,,,,,
ATYC,ATOYAC,17.213361,-100.432269,seismic,Stations_UNAM,ROCA,0.0400356779,0.0771730799,0.045520822,0.0514956851,0.0,0.0,0.0,0.0,0.0400356779,0.0771730799,0.045520822,0.0514956851,0.0314816514,0.0676387678,0.0287187403,0.0152678928,0.0317971458,0.0648139592,0.0301238202,0.015345526,,,,,,,,
SCT2,SCT B-2.,19.394694,-99.148678,seismic,Stations_UNAM,ARCILLA,0.0354857288,0.0409922701,0.0717112644,0.0606407784,0.0,0.0,0.0,0.0,0.0339396534,0.0409922701,0.0547621041,0.0588517346,0.0354857288,0.0359444645,0.0717112644,0.0606407784,0.0098856269,0.0320705261,0.0403615506,0.0190703352,,,,,,,,
HMTT,HUAMUXTITLAN,17.798341,-98.559717,seismic,Stations_UNAM,ROCA,0.0285115189,0.086712164,0.067898107,0.0449079058,0.0,0.0,0.0,0.0,0.0269830785,0.086712164,0.067898107,0.0293057794,0.0285115189,0.0816009621,0.0551907865,0.0449079058,0.0235984709,0.071759459,0.0360846429,0.025728741,,,,,,,,
PHPU,PARQUE HABANA  PUEBLA,19.044223,-98.168466,seismic,Stations_UNAM,SUELO,0.021433843,0.0347976685,0.0481091888,0.0421808697,0.0,0.0,0.0,0.0,0.021433843,0.0347976685,0.0481091888,0.0350262573,0.0119160041,0.0233717572,0.0322170931,0.0421808697,0.0066491335,0.0179361682,0.0149137541,0.0133359863,,,,,,,,
CUP5,IDEI PATIO 5,19.33024,-99.181076,seismic,Stations_UNAM,ROCA BASALTICA,0.0147940877,0.021509234,0.0306320593,0.0302495554,0.0,0.0,0.0,0.0,0.0147940877,0.021509234,0.0306320593,0.0294143739,0.0131560652,0.0207611835,0.0203551905,0.0302495554,0.0053455657,0.0140117339,0.0165427763,0.0139936155,,,,,,,,
TACY,TACUBAYA,19.404505,-99.195246,seismic,Stations_UNAM,SUELO DURO,0.0134553517,0.0255052377,0.0378020703,0.0420598737,0.0,0.0,0.0,0.0,0.0134553517,0.0255052377,0.0378020703,0.0420598737,0.0121750255,0.0200996098,0.0315446274,0.0221059179,0.006648318,0.0232143395,0.0150488663,0.0101476014,,,,,,,,
OXBJ,ESCUELA PRIMARIA BENITO JUAREZ,17.067337,-96.723804,seismic,Stations_UNAM,ROCA,0.009233945,0.0203525621,0.0231965448,0.0195716202,0.0,0.0,0.0,0.0,0.0078269113,0.0203525621,0.0194618879,0.0195716202,0.009233945,0.0157669569,0.0231965448,0.0108187986,0.0084671764,0.010784107,0.0172119742,0.0145532046,,,,,,,,
UNIO,LA UNION,17.98762,-101.810623,seismic,Stations_UNAM,ROCA,0.0073087666,0.0188784824,0.0157806896,0.0193114042,0.0,0.0,0.0,0.0,0.0073087666,0.0188784824,0.0157806896,0.012076448,0.0056914373,0.0148267226,0.0138941455,0.0193114042,0.0056475025,0.0105441258,0.0159186458,0.0081170474,,,,,,,,
URUA,URUAPAN,19.421758,-102.074059,seismic,Stations_UNAM,ROCA,0.0040248726,0.0096068409,0.01494672,0.0122334982,0.0,0.0,0.0,0.0,0.0040248726,0.0085279619,0.01494672,0.0122334982,0.0036656473,0.0096068409,0.0107119542,0.0098959936,0.0020364934,0.0056618982,0.0058204284,0.0033561547,,,,,,,,
COMA,COMALA,19.325266,-103.760813,seismic,Stations_UNAM,ROCA,0.0017297655,0.0028565934,0.0045321835,0.0047795868,0.0,0.0,0.0,0.0,0.0015753313,0.002796918,0.0044046365,0.0046234782,0.0017297655,0.0028565934,0.0045321835,0.0047795868,0.0016174312,0.0019833263,0.0028761718,0.0057327092,,,,,,,,
TON2,ESCUELA PREPARATORIA TONALA,20.62461,-103.235717,seismic,Stations_UNAM,ROCA,0.000824261,0.0008903836,0.0013649067,0.0019918048,0.0,0.0,0.0,0.0,0.000824261,0.0008859624,0.0013092051,0.0019918048,0.0007261978,0.0008903836,0.0013649067,0.0014935396,0.0005575943,0.0006762343,0.0011542145,0.001538466,,,,,,,,
MANZ,MANZANILLO,19.054336,-104.297848,seismic,Stations_UNAM,ROCA,0.0005657492,0.0009299668,0.0017237243,0.0015508892,0.0,0.0,0.0,0.0,0.0005657492,0.0009299668,0.0017237243,0.0015508892,0.0004678899,0.0009169789,0.0016593543,0.0008762541,0.0003936799,0.0007965269,0.0012417845,0.0007219064,,,,,,,,
UTM:(14Q 041 186 10000),,16.8669,-99.798,macroseismic,Stations_USGS,,0.651233,0.953554,,0.479452,0.8059,1.0131,,1.0822,,,,,,,,,,,,,239.17,7.7,0.3,0.875,43.2589,1.4737,0.088824,inferred
UTM:(14Q 041 185 10000),,16.7765,-99.7976,macroseismic,Stations_USGS,,0.57973,0.876688,,0.457779,0.8059,1.0131,,1.0822,,,,,,,,,,,,,262.62,7.6,0.3,0.875,40.2189,1.4737,0.085396,inferred
