# 19900530_Sequence_Vrancea/19900531_M6.31_Vrancea median gmf, Stations:Seismic, gmlt:USGS, Rupture:EFEHR
custom_site_id,lon,lat,AbrahamsonEtAl2015SSlab,AtkinsonBoore2003SSlab,ZhaoEtAl2016SSlab
s_0,27.626000000000005,46.266,0.015868,0.015868,0.015868
s_1,28.03200000000001,44.314,0.011895,0.011895,0.011895
s_2,26.7277,45.8657,0.018983,0.018983,0.018983
t_0,26.343760000000003,44.01169,0.012698181,0.008715069,0.009208954
t_1,26.471689999999995,44.03154,0.012578015,0.009109695,0.009507515
t_10,26.901610000000005,44.11686,0.012523189,0.010395523,0.010560039
t_100,26.23383000000001,44.11046,0.012608594,0.009641633,0.009946627
t_1000,25.369910000000004,44.47597,0.0140670985,0.010340371,0.010517207
t_1001,25.28721999999999,44.48205,0.012896114,0.009926891,0.010180397
t_1002,25.41552999999999,44.50251,0.014492989,0.0109070465,0.010975203
t_1003,25.332819999999998,44.50861,0.014176743,0.010467501,0.010620309
t_1004,25.250100000000003,44.51468,0.013364148,0.010048747,0.010279898
t_1005,25.46117000000001,44.52904,0.014967461,0.011509328,0.011457716
t_1006,25.378440000000012,44.53516,0.015063717,0.011042006,0.011083695
t_1007,25.24163999999999,44.45548,0.013288389,0.009418,0.009762607
t_1008,25.204520000000002,44.4881,0.013184098,0.009532848,0.009857222
t_1009,25.167360000000002,44.52071,0.0132365655,0.009649507,0.009953131
t_101,26.279499999999985,44.13688,0.013562939,0.010066315,0.010294172
t_1010,25.212950000000006,44.5473,0.012932661,0.010172609,0.010380829
t_1011,25.13019,44.55331,0.01316995,0.00976121,0.0100447815
t_1012,25.175780000000003,44.5799,0.013073714,0.010293796,0.010479381
t_1013,25.092989999999986,44.58589,0.013064689,0.00986151,0.010126927
t_1014,25.221389999999985,44.60646,0.0142425075,0.010858993,0.01093652
t_1015,25.13857999999999,44.61248,0.012742159,0.010402851,0.0105679035
t_1016,25.055759999999992,44.61846,0.013301424,0.009949895,0.010199196
t_1017,25.62661,44.5167,0.016397,0.012453818,0.012206286
t_1018,25.543900000000008,44.52289,0.015518102,0.011984648,0.011835622
t_1019,25.589580000000012,44.54938,0.01629451,0.012648632,0.012359541
t_102,26.19713999999999,44.14335,0.012914702,0.00995844,0.010206145
t_1020,25.50684000000001,44.55555,0.015859045,0.012148882,0.011965633
t_1021,25.635289999999998,44.57586,0.017192772,0.013353137,0.012910698
t_1022,25.55252999999999,44.58205,0.0166041,0.0128279785,0.012500298
t_1023,25.469760000000008,44.5882,0.015856879,0.012301899,0.012086512
t_1024,25.598240000000004,44.60853,0.016955342,0.013548919,0.013063046
t_1025,25.515449999999987,44.6147,0.016737314,0.0129924165,0.0126290815
t_1026,25.643969999999996,44.635,0.017510999,0.014314373,0.013655468
t_1027,25.29570000000001,44.54125,0.014457143,0.010596836,0.010724986
t_1028,25.424090000000007,44.56169,0.015545196,0.011652675,0.011571946
t_1029,25.34133,44.56779,0.014793308,0.011179154,0.011193723
t_103,26.599670000000003,44.0513,0.010695921,0.00947081,0.010711611
t_1030,25.25855999999999,44.57386,0.014284584,0.010728153,0.010831052
t_1031,25.386979999999994,44.59433,0.014791851,0.011798323,0.011687777
t_1032,25.304190000000006,44.60041,0.015066706,0.011318584,0.011305358
t_1033,25.432649999999995,44.62084,0.016510416,0.01245648,0.0122083835
t_1034,25.34984,44.62695,0.015215642,0.011946286,0.011805213
t_1035,25.267030000000005,44.63301,0.015059643,0.011459191,0.011417709
t_1036,25.395520000000005,44.65346,0.016160207,0.012613605,0.012332015
t_1037,25.184200000000004,44.63905,0.014215876,0.010977854,0.011032151
t_1038,25.10136,44.64505,0.013581244,0.010499034,0.01064585
t_1039,25.018519999999995,44.65101,0.01340613,0.010025845,0.0102612125
