# {20110222_M6.1_Christchurch} median gmf, Stations:Seismic, gmlt:USGS, Rupture:USGS
custom_site_id,lon,lat,AbrahamsonEtAl2014,BooreEtAl2014,Bradley2013,CampbellBozorgnia2014,ChiouYoungs2014
m_51,172.6716,-43.5657,0.9643579,0.7388165,0.869182,0.99972844,0.7363245
m_53,172.64,-43.53,0.6048342,0.593717,0.60278195,0.5972378,0.58525634
m_55,172.72000000000003,-43.6,0.7105837,0.62404865,0.74170065,0.8647733,0.6465485
m_69,172.32,-43.62,0.12971206,0.12602009,0.13235998,0.13055156,0.12838498
m_71,172.541,-43.2974,0.11223304,0.112566784,0.11168838,0.10961851,0.11124497
m_73,172.57,-43.31,0.12180968,0.12231897,0.12181564,0.1203042,0.121198125
s_0,172.709,-43.58,1.6306,1.6306,1.6306,1.6306,1.6306
s_1,172.72500000000002,-43.608,0.97232,0.97232,0.97232,0.97232,0.97232
s_10,172.702,-43.502,0.25809,0.25809,0.25809,0.25809,0.25809
s_100,170.8286,-44.1019,0.0196,0.0196,0.0196,0.0196,0.0196
s_101,171.5675,-42.9506,0.0181,0.0181,0.0181,0.0181,0.0181
s_102,170.5097,-45.9003,0.0165,0.0165,0.0165,0.0165,0.0165
s_103,172.83029999999997,-42.525,0.0157,0.0157,0.0157,0.0157,0.0157
s_104,172.8003,-42.7028,0.0142,0.0142,0.0142,0.0142,0.0142
s_105,170.4928,-45.9039,0.0134,0.0134,0.0134,0.0134,0.0134
s_106,173.05330000000004,-42.6211,0.0114,0.0114,0.0114,0.0114,0.0114
s_107,171.4728,-42.7283,0.0103,0.0103,0.0103,0.0103,0.0103
s_108,170.96389999999997,-42.7186,0.01,0.01,0.01,0.01,0.01
s_109,172.32780000000002,-41.8017,0.009,0.009,0.009,0.009,0.009
s_11,172.52999999999997,-43.483,0.23461,0.23461,0.23461,0.23461,0.23461
s_110,171.1356,-42.8933,0.0088,0.0088,0.0088,0.0088,0.0088
s_111,171.21029999999996,-42.4508,0.0078,0.0078,0.0078,0.0078,0.0078
s_112,170.9692,-45.1014,0.0077,0.0077,0.0077,0.0077,0.0077
s_113,168.6628,-45.0339,0.0068,0.0068,0.0068,0.0068,0.0068
s_114,170.55579999999998,-43.1506,0.0067,0.0067,0.0067,0.0067,0.0067
s_115,170.7369,-43.0733,0.0062,0.0062,0.0062,0.0062,0.0062
