# {20110222_M6.1_Christchurch} median gmf, Stations:Seismic, gmlt:USGS, Rupture:GCMT
custom_site_id,lon,lat,AbrahamsonEtAl2014,BooreEtAl2014,Bradley2013,CampbellBozorgnia2014,ChiouYoungs2014
m_51,172.6716,-43.5657,0.75270236,0.7420928,0.76945484,0.8122689,0.7141404
m_53,172.64,-43.53,0.5849081,0.5817746,0.59177244,0.59061825,0.57793885
m_55,172.72000000000003,-43.6,0.65632546,0.5868906,0.70631576,0.8036271,0.62164927
m_69,172.32,-43.62,0.1425418,0.1317845,0.14601943,0.1422015,0.14132163
m_71,172.541,-43.2974,0.11580256,0.11589319,0.11547165,0.113253355,0.115112655
m_73,172.57,-43.31,0.12489524,0.12509756,0.12500092,0.12353407,0.12445526
s_0,172.709,-43.58,1.6306,1.6306,1.6306,1.6306,1.6306
s_1,172.72500000000002,-43.608,0.97232,0.97232,0.97232,0.97232,0.97232
s_10,172.702,-43.502,0.25809,0.25809,0.25809,0.25809,0.25809
s_100,170.8286,-44.1019,0.0196,0.0196,0.0196,0.0196,0.0196
s_101,171.5675,-42.9506,0.0181,0.0181,0.0181,0.0181,0.0181
s_102,170.5097,-45.9003,0.0165,0.0165,0.0165,0.0165,0.0165
s_103,172.83029999999997,-42.525,0.0157,0.0157,0.0157,0.0157,0.0157
s_104,172.8003,-42.7028,0.0142,0.0142,0.0142,0.0142,0.0142
s_105,170.4928,-45.9039,0.0134,0.0134,0.0134,0.0134,0.0134
s_106,173.05330000000004,-42.6211,0.0114,0.0114,0.0114,0.0114,0.0114
s_107,171.4728,-42.7283,0.0103,0.0103,0.0103,0.0103,0.0103
s_108,170.96389999999997,-42.7186,0.01,0.01,0.01,0.01,0.01
s_109,172.32780000000002,-41.8017,0.009,0.009,0.009,0.009,0.009
s_11,172.52999999999997,-43.483,0.23461,0.23461,0.23461,0.23461,0.23461
s_110,171.1356,-42.8933,0.0088,0.0088,0.0088,0.0088,0.0088
s_111,171.21029999999996,-42.4508,0.0078,0.0078,0.0078,0.0078,0.0078
s_112,170.9692,-45.1014,0.0077,0.0077,0.0077,0.0077,0.0077
s_113,168.6628,-45.0339,0.0068,0.0068,0.0068,0.0068,0.0068
s_114,170.55579999999998,-43.1506,0.0067,0.0067,0.0067,0.0067,0.0067
s_115,170.7369,-43.0733,0.0062,0.0062,0.0062,0.0062,0.0062
s_116,169.14279999999997,-44.6961,0.0058,0.0058,0.0058,0.0058,0.0058
s_117,171.86419999999998,-42.1217,0.0058,0.0058,0.0058,0.0058,0.0058
s_118,172.1803,-42.3364,0.0057,0.0057,0.0057,0.0057,0.0057
s_119,170.0983,-44.2561,0.0057,0.0057,0.0057,0.0057,0.0057
s_12,172.664,-43.376,0.22078,0.22078,0.22078,0.22078,0.22078
s_120,170.4706,-45.9067,0.0056,0.0056,0.0056,0.0056,0.0056
s_121,171.59969999999998,-41.7575,0.0056,0.0056,0.0056,0.0056,0.0056
s_122,168.94169999999997,-46.1042,0.0054,0.0054,0.0054,0.0054,0.0054
s_123,172.1164,-41.2511,0.0054,0.0054,0.0054,0.0054,0.0054
