# {20110222_M6.1_Christchurch} median gmf, Stations:Seismic, gmlt:USGS, Rupture:GFZ
custom_site_id,lon,lat,AbrahamsonEtAl2014,BooreEtAl2014,Bradley2013,CampbellBozorgnia2014,ChiouYoungs2014
m_51,172.6716,-43.5657,0.745193,0.7237226,0.773565,0.80336535,0.70975965
m_53,172.64,-43.53,0.58369815,0.5824668,0.5909066,0.5894315,0.57660246
m_55,172.72000000000003,-43.6,0.6525414,0.5916018,0.7074297,0.80022395,0.622014
m_69,172.32,-43.62,0.12700228,0.12540688,0.12890895,0.12769344,0.12503614
m_71,172.541,-43.2974,0.11404897,0.11413366,0.11355948,0.111462116,0.11308155
m_73,172.57,-43.31,0.123451866,0.123043925,0.123398595,0.122024305,0.12273288
s_0,172.709,-43.58,1.6306,1.6306,1.6306,1.6306,1.6306
s_1,172.72500000000002,-43.608,0.97232,0.97232,0.97232,0.97232,0.97232
s_10,172.702,-43.502,0.25809,0.25809,0.25809,0.25809,0.25809
s_100,170.8286,-44.1019,0.0196,0.0196,0.0196,0.0196,0.0196
s_101,171.5675,-42.9506,0.0181,0.0181,0.0181,0.0181,0.0181
s_102,170.5097,-45.9003,0.0165,0.0165,0.0165,0.0165,0.0165
s_103,172.83029999999997,-42.525,0.0157,0.0157,0.0157,0.0157,0.0157
s_104,172.8003,-42.7028,0.0142,0.0142,0.0142,0.0142,0.0142
s_105,170.4928,-45.9039,0.0134,0.0134,0.0134,0.0134,0.0134
s_106,173.05330000000004,-42.6211,0.0114,0.0114,0.0114,0.0114,0.0114
s_107,171.4728,-42.7283,0.0103,0.0103,0.0103,0.0103,0.0103
s_108,170.96389999999997,-42.7186,0.01,0.01,0.01,0.01,0.01
s_109,172.32780000000002,-41.8017,0.009,0.009,0.009,0.009,0.009
s_11,172.52999999999997,-43.483,0.23461,0.23461,0.23461,0.23461,0.23461
s_110,171.1356,-42.8933,0.0088,0.0088,0.0088,0.0088,0.0088
s_111,171.21029999999996,-42.4508,0.0078,0.0078,0.0078,0.0078,0.0078
s_112,170.9692,-45.1014,0.0077,0.0077,0.0077,0.0077,0.0077
s_113,168.6628,-45.0339,0.0068,0.0068,0.0068,0.0068,0.0068
s_114,170.55579999999998,-43.1506,0.0067,0.0067,0.0067,0.0067,0.0067
s_115,170.7369,-43.0733,0.0062,0.0062,0.0062,0.0062,0.0062
s_116,169.14279999999997,-44.6961,0.0058,0.0058,0.0058,0.0058,0.0058
s_117,171.86419999999998,-42.1217,0.0058,0.0058,0.0058,0.0058,0.0058
