FIELD,DESCRIPTION
Year,2003
Region,Middle_East
Country,Iran
Event_Name,Bam
Local_Date,26/12/2003
Local_Time,17:26:26
Longitude,58.35
Latitude,29.09
Depth_(km),10
Mw,6.6
Max_Intensity_(MMI),IX
Fault_mechanism,Strike Slip
Tectonic_region_type,Active Crustal
Fatalities,25000-50000
Injured,14300-200000
Displaced_Population,45000-75600
Affected_Population,142000-200000
Affected_Units,
Damaged_Units,2381-20246 Buildings
Collapsed_Units,10176-52756 Buildings
Economic_Losses,32.7-1500 M USD
Insured_Losses,
Induced_Effects,
USGS page,https://earthquake.usgs.gov/earthquakes/eventpage/usp000cg2d/executive
Wikipedia page,https://fa.wikipedia.org/wiki/%D8%B2%D9%85%DB%8C%D9%86%E2%80%8C%D9%84%D8%B1%D8%B2%D9%87_%DB%B1%DB%B3%DB%B8%DB%B2_%D8%A8%D9%85
