calc_id,description,cal_time,gmpe,imt,nominal_bias,max_gmv,Rupture,GMLT,Recording_Stations
200,"Median gmf - 19830331_M5.6_Popayan (Rupture:GCMT, GMPEs:GEM, Recording Stations:all)",344,AbrahamsonEtAl2014,PGA,0.997,0.33371878,GCMT,GEM,all
200,"Median gmf - 19830331_M5.6_Popayan (Rupture:GCMT, GMPEs:GEM, Recording Stations:all)",344,AkkarEtAlRjb2014,PGA,0.764,0.6106123,GCMT,GEM,all
200,"Median gmf - 19830331_M5.6_Popayan (Rupture:GCMT, GMPEs:GEM, Recording Stations:all)",344,CauzziEtAl2014,PGA,1.654,0.32372594,GCMT,GEM,all
201,"Median gmf - 19830331_M5.6_Popayan (Rupture:GCMT, GMPEs:USGS, Recording Stations:all)",446,AbrahamsonEtAl2014,PGA,0.997,0.33371878,GCMT,USGS,all
201,"Median gmf - 19830331_M5.6_Popayan (Rupture:GCMT, GMPEs:USGS, Recording Stations:all)",446,BooreEtAl2014,PGA,0.505,0.7431404,GCMT,USGS,all
201,"Median gmf - 19830331_M5.6_Popayan (Rupture:GCMT, GMPEs:USGS, Recording Stations:all)",446,CampbellBozorgnia2014,PGA,0.617,0.2702448,GCMT,USGS,all
201,"Median gmf - 19830331_M5.6_Popayan (Rupture:GCMT, GMPEs:USGS, Recording Stations:all)",446,ChiouYoungs2014,PGA,0.181,0.3594657,GCMT,USGS,all
202,"Median gmf - 19830331_M5.6_Popayan (Rupture:USGS, GMPEs:GEM, Recording Stations:all)",329,AbrahamsonEtAl2014,PGA,0.491,0.3851808,USGS,GEM,all
202,"Median gmf - 19830331_M5.6_Popayan (Rupture:USGS, GMPEs:GEM, Recording Stations:all)",329,AkkarEtAlRjb2014,PGA,0.61,0.51843035,USGS,GEM,all
202,"Median gmf - 19830331_M5.6_Popayan (Rupture:USGS, GMPEs:GEM, Recording Stations:all)",329,CauzziEtAl2014,PGA,1.088,0.4061672,USGS,GEM,all
203,"Median gmf - 19830331_M5.6_Popayan (Rupture:USGS, GMPEs:USGS, Recording Stations:all)",434,AbrahamsonEtAl2014,PGA,0.491,0.3851808,USGS,USGS,all
203,"Median gmf - 19830331_M5.6_Popayan (Rupture:USGS, GMPEs:USGS, Recording Stations:all)",434,BooreEtAl2014,PGA,0.328,0.60440433,USGS,USGS,all
203,"Median gmf - 19830331_M5.6_Popayan (Rupture:USGS, GMPEs:USGS, Recording Stations:all)",434,CampbellBozorgnia2014,PGA,0.187,0.34228414,USGS,USGS,all
203,"Median gmf - 19830331_M5.6_Popayan (Rupture:USGS, GMPEs:USGS, Recording Stations:all)",434,ChiouYoungs2014,PGA,0.464,0.3842861,USGS,USGS,all
