STATION_ID,STATION_NAME,LATITUDE,LONGITUDE,STATION_TYPE,REFERENCES,PGA_VALUE,SA(0.3)_VALUE,SA(0.6)_VALUE,SA(1.0)_VALUE,PGA_LN_SIGMA,SA(0.3)_LN_SIGMA,SA(0.6)_LN_SIGMA,SA(1.0)_LN_SIGMA,PGA_VALUE_1,SA(0.3)_VALUE_1,SA(0.6)_VALUE_1,SA(1.0)_VALUE_1,PGA_VALUE_2,SA(0.3)_VALUE_2,SA(0.6)_VALUE_2,SA(1.0)_VALUE_2,PGA_VALUE_V,SA(0.3)_VALUE_V,SA(0.6)_VALUE_V,SA(1.0)_VALUE_V
3660/01,Chatrood,30.605,56.911,seismic,BHRC,0.0578804281,0.0918746976,0.0641747943,0.0890135787,0,0,0,0,0.0578804281,0.0896395052,0.0614041693,0.0462397763,0.0542054027,0.0918746976,0.0641747943,0.0890135787,0.1020530071,0.2501567062,0.1501155974,0.1150521002
3661,Ravar,31.263,56.791,seismic,BHRC,0.123285423,0.3822339047,0.3554279589,0.1450670757,0,0,0,0,0.123285423,0.3822339047,0.3554279589,0.1450670757,0.0342404689,0.0735369283,0.084207527,0.1005867317,0.0764697248,0.1431000962,0.1447631567,0.080506493
3662,Kerman 1,30.295,57.066,seismic,BHRC,0.0337542304,0.068000292,0.066351436,0.0762601634,0,0,0,0,0.0337542304,0.068000292,0.066351436,0.0762601634,0.0181882773,0.0311715769,0.0241979991,0.0338982045,0.0313585117,0.0878790151,0.0569061761,0.0709710565
3663,Baghin,30.191,56.815,seismic,BHRC,0.0269798165,0.0737241861,0.0343812634,0.0294083795,0,0,0,0,0.0269798165,0.0737241861,0.0343812634,0.0294083795,0.0160433231,0.0305428191,0.0267391484,0.022492746,0.0247859327,0.0474909206,0.0622772864,0.0344186247
3664,Mehriz,31.574,54.431,seismic,BHRC,0.0080341794,0.0314309546,0.0106606406,0.0067895783,0,0,0,0,0.0080341794,0.0314309546,0.0106606406,0.0067895783,0.0045888889,0.0093696721,0.0061556972,0.0036231781,0.0116734964,0.0408051422,0.0123354055,0.010431563
3665,Tarz,31.398,56.498,seismic,BHRC,0.0254769623,0.1094815673,0.0508556573,0.0264351134,0,0,0,0,0.0254769623,0.1094815673,0.0441640435,0.0264351134,0.0170619776,0.042724072,0.0508556573,0.0247207664,0.036214577,0.1319167349,0.1036907129,0.0389348
3666,Bahadoran,31.327,54.914,seismic,BHRC,0.0097261672,0.0242016775,0.0141249463,0.0232454751,0,0,0,0,0.0097261672,0.0242016775,0.0121067966,0.0232454751,0.0071946381,0.0177911996,0.0141249463,0.0117048772,0.0157382263,0.0269960383,0.0321574925,0.0348730831
3667,Bardsir,29.913,56.576,seismic,BHRC,0.0123987768,0.0439823698,0.016013442,0.0171431736,0,0,0,0,0.0111481142,0.0439823698,0.016013442,0.0171431736,0.0123987768,0.0112382695,0.0119434934,0.0169748452,0.0126005097,0.0244348618,0.0161936967,0.0175027376
3668,Bafgh,31.629,55.421,seismic,BHRC,0.0112940877,0.0376177763,0.0370307145,0.0125890953,0,0,0,0,0.0112940877,0.0376177763,0.0370307145,0.0125890953,0.0057793068,0.0134426516,0.0095183356,0.0051677265,0.0140555556,0.0351174678,0.039838788,0.0156383056
3669,Bahabad,31.872,56.015,seismic,BHRC,0.0127846075,0.0318248857,0.0386008917,0.0369700669,0,0,0,0,0.0127846075,0.0318248857,0.0386008917,0.0369700669,0.0073848624,0.0142638912,0.0172551182,0.0180128037,0.0144923547,0.0263754349,0.0352176666,0.0166411053
