calc_id,description,cal_time,gmpe,imt,nominal_bias,max_gmv,Rupture,GMLT,Recording_Stations
1018,"Median gmf - DRAFT_19990817_M7.53_AdanaCeyhan (Rupture:ESM, GMPEs:USGS, Recording Stations:all)",56,CauzziEtAl2014,PGA,0.023,1.6216251,ESM,USGS,all
1017,"Median gmf - DRAFT_19990817_M7.53_AdanaCeyhan (Rupture:USGS, GMPEs:USGS, Recording Stations:all)",52,CauzziEtAl2014,PGA,0.054,1.5741395,USGS,USGS,all
1022,"Median gmf - DRAFT_19990817_M7.53_AdanaCeyhan (Rupture:ESM, GMPEs:GEM, Recording Stations:all)",159,KothaEtAl2020ESHM20SlopeGeology,PGA,0.07,1.6254328,ESM,GEM,all
1021,"Median gmf - DRAFT_19990817_M7.53_AdanaCeyhan (Rupture:USGS, GMPEs:GEM, Recording Stations:all)",142,KothaEtAl2020ESHM20SlopeGeology,PGA,0.078,1.5828583,USGS,GEM,all
1018,"Median gmf - DRAFT_19990817_M7.53_AdanaCeyhan (Rupture:ESM, GMPEs:USGS, Recording Stations:all)",56,ZhaoEtAl2016Asc,PGA,0.123,1.6525359,ESM,USGS,all
1017,"Median gmf - DRAFT_19990817_M7.53_AdanaCeyhan (Rupture:USGS, GMPEs:USGS, Recording Stations:all)",52,ZhaoEtAl2016Asc,PGA,0.15,1.695805,USGS,USGS,all
1015,"Median gmf - DRAFT_19990817_M7.53_AdanaCeyhan (Rupture:EFEHR, GMPEs:USGS, Recording Stations:all)",52,CauzziEtAl2014,PGA,0.205,1.6744109,EFEHR,USGS,all
1018,"Median gmf - DRAFT_19990817_M7.53_AdanaCeyhan (Rupture:ESM, GMPEs:USGS, Recording Stations:all)",56,AkkarEtAlRjb2014,PGA,0.213,1.6587899,ESM,USGS,all
1017,"Median gmf - DRAFT_19990817_M7.53_AdanaCeyhan (Rupture:USGS, GMPEs:USGS, Recording Stations:all)",52,AkkarEtAlRjb2014,PGA,0.22,1.5767924,USGS,USGS,all
1016,"Median gmf - DRAFT_19990817_M7.53_AdanaCeyhan (Rupture:GCMT, GMPEs:USGS, Recording Stations:all)",53,CauzziEtAl2014,PGA,0.259,1.5727531,GCMT,USGS,all
1019,"Median gmf - DRAFT_19990817_M7.53_AdanaCeyhan (Rupture:EFEHR, GMPEs:GEM, Recording Stations:all)",134,KothaEtAl2020ESHM20SlopeGeology,PGA,0.3,1.5846932,EFEHR,GEM,all
1020,"Median gmf - DRAFT_19990817_M7.53_AdanaCeyhan (Rupture:GCMT, GMPEs:GEM, Recording Stations:all)",146,KothaEtAl2020ESHM20SlopeGeology,PGA,0.336,1.5669819,GCMT,GEM,all
1015,"Median gmf - DRAFT_19990817_M7.53_AdanaCeyhan (Rupture:EFEHR, GMPEs:USGS, Recording Stations:all)",52,ZhaoEtAl2016Asc,PGA,0.38,1.608178,EFEHR,USGS,all
1022,"Median gmf - DRAFT_19990817_M7.53_AdanaCeyhan (Rupture:ESM, GMPEs:GEM, Recording Stations:all)",159,KothaEtAl2020ESHM20SlopeGeology,PGA,0.412,1.6254328,ESM,GEM,all
1015,"Median gmf - DRAFT_19990817_M7.53_AdanaCeyhan (Rupture:EFEHR, GMPEs:USGS, Recording Stations:all)",52,AkkarEtAlRjb2014,PGA,0.415,1.5301064,EFEHR,USGS,all
1021,"Median gmf - DRAFT_19990817_M7.53_AdanaCeyhan (Rupture:USGS, GMPEs:GEM, Recording Stations:all)",142,KothaEtAl2020ESHM20SlopeGeology,PGA,0.42,1.5828583,USGS,GEM,all
1016,"Median gmf - DRAFT_19990817_M7.53_AdanaCeyhan (Rupture:GCMT, GMPEs:USGS, Recording Stations:all)",53,ZhaoEtAl2016Asc,PGA,0.424,1.8578202,GCMT,USGS,all
1016,"Median gmf - DRAFT_19990817_M7.53_AdanaCeyhan (Rupture:GCMT, GMPEs:USGS, Recording Stations:all)",53,AkkarEtAlRjb2014,PGA,0.473,1.552673,GCMT,USGS,all
1022,"Median gmf - DRAFT_19990817_M7.53_AdanaCeyhan (Rupture:ESM, GMPEs:GEM, Recording Stations:all)",159,KothaEtAl2020ESHM20SlopeGeology,PGA,0.512,1.6254328,ESM,GEM,all
1021,"Median gmf - DRAFT_19990817_M7.53_AdanaCeyhan (Rupture:USGS, GMPEs:GEM, Recording Stations:all)",142,KothaEtAl2020ESHM20SlopeGeology,PGA,0.52,1.5828583,USGS,GEM,all
1022,"Median gmf - DRAFT_19990817_M7.53_AdanaCeyhan (Rupture:ESM, GMPEs:GEM, Recording Stations:all)",159,KothaEtAl2020ESHM20SlopeGeology,PGA,0.612,1.6254328,ESM,GEM,all
1021,"Median gmf - DRAFT_19990817_M7.53_AdanaCeyhan (Rupture:USGS, GMPEs:GEM, Recording Stations:all)",142,KothaEtAl2020ESHM20SlopeGeology,PGA,0.621,1.5828583,USGS,GEM,all
1019,"Median gmf - DRAFT_19990817_M7.53_AdanaCeyhan (Rupture:EFEHR, GMPEs:GEM, Recording Stations:all)",134,KothaEtAl2020ESHM20SlopeGeology,PGA,0.627,1.5846932,EFEHR,GEM,all
1020,"Median gmf - DRAFT_19990817_M7.53_AdanaCeyhan (Rupture:GCMT, GMPEs:GEM, Recording Stations:all)",146,KothaEtAl2020ESHM20SlopeGeology,PGA,0.659,1.5669819,GCMT,GEM,all
1019,"Median gmf - DRAFT_19990817_M7.53_AdanaCeyhan (Rupture:EFEHR, GMPEs:GEM, Recording Stations:all)",134,KothaEtAl2020ESHM20SlopeGeology,PGA,0.743,1.5846932,EFEHR,GEM,all
1020,"Median gmf - DRAFT_19990817_M7.53_AdanaCeyhan (Rupture:GCMT, GMPEs:GEM, Recording Stations:all)",146,KothaEtAl2020ESHM20SlopeGeology,PGA,0.778,1.5669819,GCMT,GEM,all
1019,"Median gmf - DRAFT_19990817_M7.53_AdanaCeyhan (Rupture:EFEHR, GMPEs:GEM, Recording Stations:all)",134,KothaEtAl2020ESHM20SlopeGeology,PGA,0.858,1.5846932,EFEHR,GEM,all
1020,"Median gmf - DRAFT_19990817_M7.53_AdanaCeyhan (Rupture:GCMT, GMPEs:GEM, Recording Stations:all)",146,KothaEtAl2020ESHM20SlopeGeology,PGA,0.897,1.5669819,GCMT,GEM,all
1022,"Median gmf - DRAFT_19990817_M7.53_AdanaCeyhan (Rupture:ESM, GMPEs:GEM, Recording Stations:all)",159,KothaEtAl2020ESHM20SlopeGeology,PGA,0.954,1.6254328,ESM,GEM,all
1021,"Median gmf - DRAFT_19990817_M7.53_AdanaCeyhan (Rupture:USGS, GMPEs:GEM, Recording Stations:all)",142,KothaEtAl2020ESHM20SlopeGeology,PGA,0.963,1.5828583,USGS,GEM,all
1019,"Median gmf - DRAFT_19990817_M7.53_AdanaCeyhan (Rupture:EFEHR, GMPEs:GEM, Recording Stations:all)",134,KothaEtAl2020ESHM20SlopeGeology,PGA,1.185,1.5846932,EFEHR,GEM,all
1020,"Median gmf - DRAFT_19990817_M7.53_AdanaCeyhan (Rupture:GCMT, GMPEs:GEM, Recording Stations:all)",146,KothaEtAl2020ESHM20SlopeGeology,PGA,1.22,1.5669819,GCMT,GEM,all
