# 20191126_M6.4_Albania median gmf, Stations:None, gmlt:GEM_best, Rupture:ESM
custom_site_id,lon,lat,KothaEtAl2020ESHM20SlopeGeology
s_0,19.4573,41.3199,0.19929823
s_1,20.4017,42.0731,0.013156175
s_10,20.84874,39.65616,0.0038629454
s_11,21.4243,38.3727,0.00032680063
s_12,16.8191,40.60325,0.0028418428
s_13,15.9427,40.7867,0.0012944627
s_14,23.2262,43.4111,0.006199703
s_15,20.4878,38.1783,0.00034988657
s_16,21.76001,38.26933,0.0002487999
s_17,15.63277,40.39,0.00033769375
s_18,15.7296,40.4256,0.00040566322
s_19,15.8019,40.3249,0.000449878
s_2,19.8078,41.3357,0.13384452
s_20,15.5782,40.7889,0.00042416636
s_21,22.675,43.6227,0.0056282897
s_22,15.7967,40.5722,0.0004885367
s_23,21.9209,38.5933,0.0002628815
s_24,15.7251,40.7619,0.00061734614
s_25,16.2114,39.2534,0.00026793097
s_26,20.9937,39.1474,0.001027425
s_27,21.79118,38.29585,0.0002560267
s_28,23.575,39.998,0.0010629504
s_29,22.9506,39.366,0.0003759838
s_3,20.0799,41.1161,0.049255766
s_30,22.10797,38.03256,0.00015505645
s_31,19.4527,41.3206,0.19723575
s_32,19.6745,41.5755,0.11735072
s_33,19.787,41.3336,0.14552203
s_34,19.8111,41.3248,0.13261081
s_35,19.8232,41.316,0.12078365
s_36,19.7994,41.3067,0.1311645
s_37,19.7991,41.3247,0.13403638
s_38,19.8114,41.3068,0.11312026
s_39,19.8351,41.3161,0.11661795
s_4,19.5669,40.7174,0.03145441
s_40,19.8109,41.3338,0.13065848
s_41,19.8112,41.3158,0.1299062
s_42,19.823,41.325,0.12513085
s_43,19.7752,41.3245,0.14366958
s_44,19.8228,41.334,0.124762945
s_45,19.8346,41.3431,0.11824903
s_46,19.4841,40.4742,0.01905671
s_47,19.9642,40.7048,0.025630347
s_48,19.8348,41.3341,0.12012887
s_49,20.0769,41.1111,0.049145043
s_5,19.94546,40.70816,0.025729273
s_50,19.0953,42.0988,0.025747726
s_51,20.9581,41.5111,0.012563933
s_52,18.7087,42.4249,0.0107918745
s_53,21.1769,42.6548,0.004687552
s_54,20.8964,42.5829,0.008590394
s_55,20.4351,42.3834,0.011260676
s_56,18.8348,42.2923,0.013129042
s_57,20.9577,41.9975,0.009169879
s_58,20.9097,41.7903,0.012987192
s_59,18.7694,42.4261,0.010167111
s_6,19.9202,39.61886,0.0064844233
s_60,19.243,42.4434,0.015421983
s_61,21.4648,41.9876,0.007704824
s_62,20.9097,41.7993,0.013359848
s_63,20.9698,42.0065,0.010632379
s_64,18.6962,42.4337,0.010460189
s_66,20.2984,42.6618,0.008028764
s_67,20.7395,42.2134,0.0095084505
s_68,19.2089,41.9295,0.03662819
s_69,21.4045,42.0058,0.008016596
s_7,21.14182,40.83499,0.008619507
s_70,21.4166,42.0058,0.008116199
s_71,19.5072,42.0689,0.033503897
s_72,17.2469,40.4623,0.003676296
s_73,19.2675,42.4347,0.016549919
s_74,18.418,43.8594,0.0032177595
s_75,20.8035,41.1146,0.017306473
s_76,19.2575,42.7948,0.0080830455
s_77,21.0915,42.6369,0.005926513
s_78,16.8644,41.1267,0.0037703083
s_79,21.1648,42.6728,0.004681125
s_8,17.85042,40.58941,0.0070543173
s_80,21.3804,42.0059,0.0069484035
s_81,20.2862,42.6617,0.008101143
s_82,21.3924,41.9968,0.005914235
s_83,21.4286,41.9967,0.0078822225
s_84,21.4406,41.9786,0.005772528
s_85,21.4527,41.9876,0.0080547
s_86,20.5143,43.1402,0.0064240927
s_87,18.3811,43.8496,0.0030384776
s_88,20.4879,44.8058,0.00097103335
s_89,22.5197,44.6672,0.00057732174
s_9,20.60808,38.63056,0.0005851402
s_90,19.7962,39.7127,0.004981585
s_91,22.4892,40.1033,0.0014337808
t_1,19.38889,40.30764,0.012757559
