# 20191126_M6.4_Albania median gmf, Stations:Seismic, gmlt:GEM_best, Rupture:GCMT
custom_site_id,lon,lat,KothaEtAl2020ESHM20SlopeGeology
s_31,19.4527,41.3206,0.19047205
s_32,19.6745,41.5755,0.09678862
s_33,19.787,41.3336,0.11831782
s_34,19.8111,41.3248,0.10888939
s_35,19.8232,41.316,0.09806919
s_36,19.7994,41.3067,0.10549947
s_37,19.7991,41.3247,0.10959331
s_38,19.8114,41.3068,0.091144204
s_39,19.8351,41.3161,0.09431535
s_40,19.8109,41.3338,0.10843771
s_41,19.8112,41.3158,0.1055962
s_42,19.823,41.325,0.10247903
s_43,19.7752,41.3245,0.11518446
s_44,19.8228,41.334,0.102827996
s_45,19.8346,41.3431,0.09692599
s_46,19.4841,40.4742,0.018214164
s_47,19.9642,40.7048,0.015849713
s_48,19.8348,41.3341,0.09831636
s_49,20.0769,41.1111,0.020329108
s_50,19.0953,42.0988,0.026725871
s_51,20.9581,41.5111,0.01156982
s_52,18.7087,42.4249,0.011248438
s_53,21.1769,42.6548,0.0045053647
s_54,20.8964,42.5829,0.008233009
s_55,20.4351,42.3834,0.010407854
s_56,18.8348,42.2923,0.013701281
s_57,20.9577,41.9975,0.0084728785
s_58,20.9097,41.7903,0.011953548
s_59,18.7694,42.4261,0.01057164
s_60,19.243,42.4434,0.015631936
s_61,21.4648,41.9876,0.0072581777
s_62,20.9097,41.7993,0.012295573
s_63,20.9698,42.0065,0.009837221
s_64,18.6962,42.4337,0.010903513
s_66,20.2984,42.6618,0.007769389
s_67,20.7395,42.2134,0.008641307
s_68,19.2089,41.9295,0.03804874
s_69,21.4045,42.0058,0.007547325
s_70,21.4166,42.0058,0.0076426286
s_71,19.5072,42.0689,0.03300536
s_72,17.2469,40.4623,0.0038422674
s_73,19.2675,42.4347,0.016750777
s_74,18.418,43.8594,0.0032870166
s_75,20.8035,41.1146,0.015435688
s_76,19.2575,42.7948,0.008173756
s_77,21.0915,42.6369,0.005693392
s_78,16.8644,41.1267,0.0040670694
s_79,21.1648,42.6728,0.0045014396
s_80,21.3804,42.0059,0.0065389513
s_81,20.2862,42.6617,0.0078418
s_82,21.3924,41.9968,0.005565843
s_83,21.4286,41.9967,0.007422393
s_84,21.4406,41.9786,0.005434914
s_85,21.4527,41.9876,0.007586361
s_86,20.5143,43.1402,0.006332987
s_87,18.3811,43.8496,0.0031054514
s_88,20.4879,44.8058,0.0009688318
s_89,22.5197,44.6672,0.00056808663
s_90,19.7962,39.7127,0.004985191
s_91,22.4892,40.1033,0.0013860341
t_1,19.38889,40.30764,0.013060767
t_10,19.39583,42.07084,0.02747577
t_100,19.47917,41.32084,0.21562552
t_1000,20.19583,41.40417,0.02937333
t_1001,20.19583,41.47917,0.030281272
t_1002,20.09583,41.4875,0.03667198
t_1003,20.1125,41.4875,0.036506634
t_1004,20.10417,41.52083,0.036126595
t_1005,20.08666,41.50733,0.043585043
t_1006,20.10379,41.58727,0.033947356
t_1007,20.1471,41.71776,0.024170345
t_1008,20.12459,41.87095,0.021136876
t_1009,20.11596,41.96607,0.01671324
t_101,19.47083,41.32084,0.20099592
t_1010,20.12622,42.09241,0.013994955
t_1011,20.08135,42.31895,0.013091724
t_1012,20.07912,42.32916,0.013941203
t_1013,20.09583,42.32917,0.013761081
t_1014,20.08891,42.35417,0.012989585
t_1015,20.07083,42.34583,0.010875035
t_1016,20.07917,42.34583,0.013085741
t_1017,20.07917,42.35417,0.011535717
t_1018,20.07083,42.35417,0.010872914
t_1019,20.10925,42.34671,0.013186072
t_102,19.47083,41.32917,0.21472512
