# {20110311_M9.1_Tohoku} median gmf, Stations:Seismic, gmlt:USGS, Rupture:GCMT
custom_site_id,lon,lat,AbrahamsonEtAl2015SInter,AtkinsonBoore2003SInter,ZhaoEtAl2016SInter
m_1241,141.2437,38.4567,0.23853,0.23853,0.23853
m_1246,140.64340000000004,36.5968,0.21676,0.21676,0.21676
m_1248,140.45910000000003,37.1456,0.20707,0.20707,0.20707
m_1253,140.35969999999998,37.3302,0.20284,0.20284,0.20284
m_1256,140.90030000000002,37.0344,0.1979,0.1979,0.1979
m_1258,141.6182,38.796,0.19117,0.19117,0.19117
m_1261,140.3662,37.4199,0.18673,0.18673,0.18673
m_1262,140.909,38.5641,0.18363,0.18363,0.18363
m_1265,139.9638,36.447,0.22073342,0.21913488,0.24169847
m_1268,140.9497,37.6619,0.17941,0.17941,0.17941
m_1270,140.88710000000003,38.2952,0.17506,0.17506,0.17506
m_1277,141.1682,38.9108,0.1682,0.1682,0.1682
m_1283,141.0009,38.2894,0.16446,0.16446,0.16446
m_1290,140.23490000000004,37.1557,0.36065522,0.36317667,0.39721397
m_1295,140.5052,37.7737,0.12167316,0.12171856,0.124272
m_1306,140.0575,36.173,0.23874359,0.23353201,0.2052882
m_1310,140.1624,36.0784,0.13449,0.13449,0.13449
m_1317,139.8582,36.5414,0.12783,0.12783,0.12783
m_1327,140.2491,35.7144,0.11288,0.11288,0.11288
m_1336,139.3433,35.3002,0.10474,0.10474,0.10474
m_1347,139.4026,36.379,0.09642,0.09642,0.09642
m_1349,141.9348,39.6774,0.09495,0.09495,0.09495
m_1353,140.3653,35.7994,0.09057,0.09057,0.09057
m_1369,139.70370000000003,35.8272,0.0745,0.0745,0.0745
m_1372,139.6463,36.73,0.0727,0.0727,0.0727
m_1377,139.5881,35.7416,0.0688,0.0688,0.0688
m_1384,136.91560000000004,34.9124,0.06465,0.06465,0.06465
m_1387,139.92179999999996,37.5294,0.0625,0.0625,0.0625
m_1388,140.13329999999996,35.6294,0.06174,0.06174,0.06174
m_1394,141.3311,40.702,0.025969107,0.03173268,0.037702534
m_1401,139.80309999999997,35.6431,0.05493,0.05493,0.05493
m_1416,139.5829,35.6517,0.04747,0.04747,0.04747
m_1425,139.5727,35.4719,0.04388,0.04388,0.04388
m_1427,141.5487,40.5098,0.049556244,0.055639815,0.04501132
m_1428,137.0229,34.8205,0.04289,0.04289,0.04289
m_1434,139.06899999999996,36.3909,0.04014,0.04014,0.04014
m_1442,140.3114,38.2327,0.03574,0.03574,0.03574
m_1444,139.3578,35.57,0.03495,0.03495,0.03495
m_1447,139.4629,35.476,0.03369,0.03369,0.03369
m_1452,139.4778,35.7457,0.03299,0.03299,0.03299
m_1457,139.35289999999998,35.4801,0.03134,0.03134,0.03134
