# {20110311_M9.1_Tohoku} median gmf, Stations:None, gmlt:USGS, Rupture:USGS
custom_site_id,lon,lat,AbrahamsonEtAl2015SInter,AtkinsonBoore2003SInter,ZhaoEtAl2016SInter
t_0,140.58461999999997,35.61216,0.15632854,0.17076269,0.12963067
t_1,140.58461999999997,35.64866,0.19017476,0.19372416,0.09986836
t_10,140.71937000000003,35.83095,0.22210555,0.20913632,0.14232348
t_100,140.67444999999998,36.80805,0.29168767,0.1440382,0.34352058
t_1000,139.23715000000004,35.50253,0.08630203,0.1145544,0.031132562
t_1001,139.19223,35.50253,0.08467659,0.11265265,0.029971067
t_1002,139.28206,35.53909,0.0892906,0.11797963,0.03331836
t_1003,139.23715000000004,35.53909,0.08757727,0.11602721,0.03205732
t_1004,139.19223,35.53909,0.08589719,0.11408332,0.030841472
t_1005,139.19223,35.57563,0.08711591,0.11549632,0.0317214
t_1006,139.23715000000004,35.57563,0.08885168,0.11748234,0.032993287
t_1007,139.28206,35.57563,0.09062348,0.11947778,0.034314066
t_1008,139.19223,35.61216,0.10674916,0.13115269,0.044577524
t_1009,139.23715000000004,35.61216,0.09012356,0.11891799,0.03393911
t_101,140.58461999999997,36.80805,0.27386224,0.14197682,0.30615655
t_1010,139.05749000000003,35.57563,0.08212709,0.10961402,0.028188357
t_1011,139.01256999999998,35.57563,0.08053572,0.10768256,0.027099987
t_1012,139.01256999999998,35.61216,0.081550844,0.10891773,0.02779208
t_1013,139.14732000000004,35.61216,0.1040986,0.12889166,0.042831752
t_1014,139.1024,35.61216,0.08486388,0.11287318,0.030103913
t_1015,139.05749000000003,35.61216,0.08318848,0.110887356,0.028924702
t_1016,139.05749000000003,35.64866,0.08424169,0.11213914,0.029663581
t_1017,139.14732000000004,35.64866,0.08201759,0.07502846,0.03217068
t_1018,139.01256999999998,35.64866,0.08255735,0.11013163,0.028485848
t_1019,139.1024,35.64866,0.08596629,0.11416384,0.030891066
t_102,140.62954000000002,36.80805,0.2828183,0.14305092,0.3246819
t_1020,139.28206,35.61216,0.10498986,0.12095636,0.048282657
t_1021,139.28206,35.64866,0.101342395,0.122412264,0.049671546
t_1022,139.19223,35.64866,0.08372875,0.076355904,0.03350367
t_1023,139.23715000000004,35.64866,0.08548103,0.07769231,0.034892447
t_1024,139.23715000000004,35.68515,0.086674295,0.078589216,0.035851836
t_1025,139.19223,35.68515,0.08486617,0.077226,0.03440241
t_1026,139.28206,35.68515,0.11533016,0.13895515,0.0510709
t_1027,139.23715000000004,35.72163,0.10135989,0.12308309,0.050323036
t_1028,139.28206,35.72163,0.109104194,0.12524886,0.052477542
t_1029,139.19223,35.72163,0.085994214,0.07807933,0.035303693
t_103,140.58461999999997,36.844,0.27147707,0.14167678,0.30130717
t_1030,138.92273999999998,35.61216,0.078388244,0.10503342,0.025661215
t_1031,138.87782000000004,35.61216,0.07686178,0.10312035,0.024659552
t_1032,138.96765,35.61216,0.085349016,0.10696592,0.036508642
t_1033,138.87782000000004,35.64866,0.07774195,0.10422649,0.025234977
t_1034,138.96765,35.64866,0.08529343,0.10814292,0.03739917
t_1035,138.92273999999998,35.64866,0.07930836,0.10617451,0.026273454
t_1036,138.87782000000004,35.68515,0.07861161,0.10531127,0.025809258
t_1037,138.92273999999998,35.68515,0.080218114,0.10729386,0.026885027
t_1038,138.96765,35.68515,0.08186504,0.10929782,0.028007846
t_1039,138.96765,35.72163,0.077357106,0.07129882,0.028657775
t_104,140.62954000000002,36.844,0.28040496,0.14276941,0.3196408
t_1040,139.1024,35.68515,0.08138079,0.074528754,0.0316805
t_1041,139.05749000000003,35.68515,0.07970224,0.07319662,0.03040382
t_1042,139.01256999999998,35.68515,0.08355398,0.11132308,0.029180188
t_1043,139.14732000000004,35.68515,0.08310214,0.075872384,0.033012867
t_1044,139.01256999999998,35.72163,0.07899619,0.072629765,0.029873503
t_1045,139.1024,35.72163,0.08240493,0.07533089,0.032470398
t_1046,139.14732000000004,35.72163,0.08417678,0.07669979,0.033856474
t_1047,139.05749000000003,35.72163,0.08067862,0.07397414,0.031143714
t_1048,139.14732000000004,35.75808,0.08523868,0.077508844,0.034698945
t_1049,139.1024,35.75808,0.08341606,0.076115,0.03325837
t_105,140.67444999999998,36.844,0.28927064,0.14377633,0.33833814
t_1050,138.02441999999996,35.39276,0.047680218,0.043486692,0.010587135
t_1051,138.06934,35.39276,0.0484979,0.044344585,0.010978623
t_1052,138.15917000000002,35.39276,0.050186716,0.04610154,0.011807459
t_1053,138.11426,35.39276,0.04933333,0.045216266,0.011385236
t_1054,138.15917000000002,35.42937,0.050651558,0.046581533,0.0120403515
t_1055,138.02441999999996,35.42937,0.048097335,0.043924898,0.010786038
t_1056,138.11426,35.42937,0.04978157,0.045681905,0.011606144
