# {20110311_M9.1_Tohoku} median gmf, Stations:None, gmlt:USGS, Rupture:GCMT
custom_site_id,lon,lat,AbrahamsonEtAl2015SInter,AtkinsonBoore2003SInter,ZhaoEtAl2016SInter
t_0,140.58461999999997,35.61216,0.28336772,0.18323135,0.38410437
t_1,140.58461999999997,35.64866,0.29595846,0.20376007,0.27147514
t_10,140.71937000000003,35.83095,0.30374366,0.20526163,0.2889228
t_100,140.67444999999998,36.80805,0.17407611,0.1041777,0.12982702
t_1000,139.23715000000004,35.50253,0.1101028,0.11911029,0.048841555
t_1001,139.19223,35.50253,0.10730242,0.11684925,0.046452045
t_1002,139.28206,35.53909,0.111863375,0.120501556,0.050370533
t_1003,139.23715000000004,35.53909,0.108998224,0.11822556,0.047892794
t_1004,139.19223,35.53909,0.10624206,0.11597746,0.045560934
t_1005,139.19223,35.57563,0.10519881,0.115111224,0.04469156
t_1006,139.23715000000004,35.57563,0.107911766,0.117346324,0.04696753
t_1007,139.28206,35.57563,0.110731274,0.11960959,0.049384993
t_1008,139.19223,35.61216,0.1245504,0.128191,0.059921496
t_1009,139.23715000000004,35.61216,0.10684271,0.116472356,0.046064783
t_101,140.58461999999997,36.80805,0.16303402,0.101093516,0.11506343
t_1010,139.05749000000003,35.57563,0.097651094,0.10858652,0.03862083
t_1011,139.01256999999998,35.57563,0.095315404,0.106473155,0.036820892
t_1012,139.01256999999998,35.61216,0.094436824,0.10566637,0.036153555
t_1013,139.14732000000004,35.61216,0.12098243,0.12573172,0.05706321
t_1014,139.1024,35.61216,0.09912466,0.10989657,0.03977563
t_1015,139.05749000000003,35.61216,0.0967383,0.107766025,0.037912946
t_1016,139.05749000000003,35.64866,0.09583962,0.10695144,0.037221603
t_1017,139.14732000000004,35.64866,0.09424645,0.0718076,0.04097088
t_1018,139.01256999999998,35.64866,0.093571626,0.10486551,0.035501596
t_1019,139.1024,35.64866,0.09819075,0.109068364,0.03904202
t_102,140.62954000000002,36.80805,0.1684227,0.10264053,0.12217246
t_1020,139.28206,35.61216,0.12424116,0.11872281,0.066175476
t_1021,139.28206,35.64866,0.117481686,0.117841735,0.064896286
t_1022,139.19223,35.64866,0.09665164,0.07321415,0.043015175
t_1023,139.23715000000004,35.64866,0.0991516,0.07464032,0.045184355
t_1024,139.23715000000004,35.68515,0.09816749,0.07408321,0.04432508
t_1025,139.19223,35.68515,0.0957066,0.07266556,0.04220692
t_1026,139.28206,35.68515,0.129736,0.13123791,0.063648224
t_1027,139.23715000000004,35.72163,0.11174611,0.11388378,0.059434418
t_1028,139.28206,35.72163,0.120499946,0.11609535,0.062430333
t_1029,139.19223,35.72163,0.094776385,0.07212044,0.041417688
t_103,140.58461999999997,36.844,0.16092828,0.10046621,0.112335265
t_1030,138.92273999999998,35.61216,0.09007434,0.101563044,0.03291923
t_1031,138.87782000000004,35.61216,0.088005304,0.09955941,0.031431735
t_1032,138.96765,35.61216,0.09823494,0.10359847,0.047148064
t_1033,138.87782000000004,35.64866,0.08723101,0.09879994,0.030882813
t_1034,138.96765,35.64866,0.096193284,0.102811374,0.046307534
t_1035,138.92273999999998,35.64866,0.08927123,0.10078976,0.032338284
t_1036,138.87782000000004,35.68515,0.08646752,0.098045886,0.0303457
t_1037,138.92273999999998,35.68515,0.088479504,0.10002192,0.031769995
t_1038,138.96765,35.68515,0.09056188,0.10202975,0.033274118
t_1039,138.96765,35.72163,0.08392977,0.06537481,0.032685693
t_104,140.62954000000002,36.844,0.16620927,0.10201503,0.11923023
t_1040,139.1024,35.68515,0.09105716,0.06988923,0.038325287
t_1041,139.05749000000003,35.68515,0.08885954,0.06853124,0.036545943
t_1042,139.01256999999998,35.68515,0.09271906,0.104070105,0.03486423
t_1043,139.14732000000004,35.68515,0.09333839,0.07126765,0.04021003
t_1044,139.01256999999998,35.72163,0.085944265,0.066683285,0.03424105
t_1045,139.1024,35.72163,0.09019746,0.06936154,0.03762495
t_1046,139.14732000000004,35.72163,0.09244437,0.0707312,0.039466836
t_1047,139.05749000000003,35.72163,0.08803241,0.06801236,0.035885528
t_1048,139.14732000000004,35.75808,0.09156455,0.07019855,0.03874118
t_1049,139.1024,35.75808,0.08935121,0.06883765,0.03694092
t_105,140.67444999999998,36.844,0.17174831,0.103555076,0.12665096
t_1050,138.02441999999996,35.39276,0.057105638,0.045352444,0.015032958
t_1051,138.06934,35.39276,0.05828069,0.046333164,0.015681157
t_1052,138.15917000000002,35.39276,0.06073561,0.04835163,0.01707405
t_1053,138.11426,35.39276,0.05949033,0.047332913,0.016360987
t_1054,138.15917000000002,35.42937,0.06037389,0.048056822,0.016865551
t_1055,138.02441999999996,35.42937,0.056791324,0.045088522,0.014861621
t_1056,138.11426,35.42937,0.05914532,0.047048792,0.016165797
t_1057,138.06934,35.42937,0.057951465,0.046059333,0.01549833
t_1058,138.15917000000002,35.46596,0.059996787,0.047748514,0.016649382
t_1059,138.06934,35.46596,0.057607915,0.045772802,0.015308555
t_106,140.67444999999998,36.87994,0.16946958,0.102931656,0.12357478
t_1060,138.20409,35.39276,0.062018484,0.04938991,0.017822534
t_1061,138.24900000000002,35.39276,0.06333984,0.050447423,0.018608095
t_1062,138.29392,35.39276,0.06470179,0.05152474,0.019433198
t_1063,138.20409,35.42937,0.06163905,0.049084004,0.017599693
t_1064,138.24900000000002,35.42937,0.062941626,0.050129995,0.018369796
t_1065,138.29392,35.42937,0.06428364,0.05119535,0.019178217
t_1066,138.29392,35.46596,0.06384837,0.050851185,0.018914353
t_1067,138.20409,35.46596,0.061243672,0.048764184,0.017368795
t_1068,138.24900000000002,35.46596,0.06252689,0.04979823,0.018123034
t_1069,138.29392,35.50253,0.06339692,0.050492834,0.018642364
t_107,140.58461999999997,36.87994,0.15886573,0.09983891,0.10969029
t_1070,138.42867,35.39276,0.0740009,0.08499056,0.02216778
t_1071,138.38374999999996,35.39276,0.072417445,0.083230495,0.02121047
t_1072,138.33883000000003,35.39276,0.0708814,0.08150099,0.020299729
t_1073,138.38374999999996,35.42937,0.07192744,0.08268115,0.02091802
