STATION_ID,STATION_NAME,LONGITUDE,LATITUDE,STATION_TYPE,VS30,MMI_VALUE,MMI_STDDEV,PGA_LN_SIGMA,PGA_VALUE,PGV_LN_SIGMA,PGV_VALUE,SA(0.3)_LN_SIGMA,SA(0.3)_VALUE,SA(1.0)_LN_SIGMA,SA(1.0)_VALUE,SA(3.0)_LN_SIGMA,SA(3.0)_VALUE,VS30_TYPE,REFERENCES
PAP,Papudo,-71.45,-32.52,seismic,866.33,null,null,0,0.42,0,24.79,0,1.665,0,0.104,0,0.039,inferred,Stations_USGS
CRMA,Santiago Maipu,-70.767,-33.517,seismic,289.01,null,null,0,0.562,0,44.13,0,1.22,0,0.498,0,0.105,inferred,Stations_USGS
m2ar,Vina Del Mar  El Salt,-71.51,-33.047,seismic,604.2,null,null,0,0.353,0,44.58,0,0.669,0,0.128,0,0.073,inferred,Stations_USGS
LLO,Llolleo,-71.6,-33.62,seismic,480.69,null,null,0,0.564,0,30.95,0,1.777,0,0.646,0,0.062,inferred,Stations_USGS
VINA,Vina Del Mar  Centro,-71.553,-33.025,seismic,282.96,null,null,0,0.334,0,32.61,0,0.639,0,0.471,0,0.055,inferred,Stations_USGS
ROC1,Recinto d. SHOA  Cerro,-71.016,-32.976,seismic,900,null,null,0,0.188,0,24.2,0,0.638,0,0.327,0,0.056,inferred,Stations_USGS
VALL,Vallenar,-70.755,-28.577,seismic,418.69,null,null,0,0.02,0,2.75,0,0.058,0,0.031,0,0.012,inferred,Stations_USGS
VALD,Valdivia,-73.213,-39.824,seismic,224.49,null,null,0,0.13,0,18.42,0,0.212,0,0.404,0,0.036,inferred,Stations_USGS
ANTU,Cien Agronomicas UC,-70.633,-33.569,seismic,309,null,null,0,0.27,0,25.7,0,0.528,0,0.392,0,0.1,inferred,Stations_USGS
HSRR,Hosp. Sotero de Rio RM,-70.582,-33.57,seismic,310.19,null,null,0,0.27,null,null,null,,null,,null,,inferred,Stations_USGS
CCSP,Concepcion San Pedro,-73.109,-36.844,seismic,245.97,null,null,0,0.652,0,44.7,0,1.42,0,0.81,0,0.081,inferred,Stations_USGS
VAU,Valparaiso UTFSM,-71.595,-33.036,seismic,513.49,null,null,0,0.304,0,16.02,0,0.522,0,0.148,0,0.042,inferred,Stations_USGS
STL,Cerro Santa Lucia,-70.643,-33.44,seismic,335.54,null,null,0,0.339,0,45.1,0,0.76,0,0.631,0,0.146,inferred,Stations_USGS
CUR,Curico,-71.236,-34.981,seismic,280.17,null,null,0,0.471,0,32.64,0,1.227,0,0.463,0,0.089,inferred,Stations_USGS
HTR,Hosp. Tisne RM,-70.579,-33.5,seismic,308.23,null,null,0,0.3,null,null,null,,null,,null,,inferred,Stations_USGS
TAL,Talca,-71.63,-35.43,seismic,256.31,null,null,0,0.477,0,33.42,0,1.163,0,0.387,0,0.082,inferred,Stations_USGS
ANGO,Angol,-72.708,-37.795,seismic,501.84,null,null,0,0.928,0,37.55,0,1.8,0,0.423,0,0.077,inferred,Stations_USGS
LACH,Colegio Las Americas,-70.531,-33.45,seismic,814.62,null,null,0,0.308,0,88.3,0,0.883,0,0.616,0,0.1,inferred,Stations_USGS
