FIELD,DESCRIPTION
Year,1999
Country,Turkey
Region,Europe
Event Name,Izmit
Local Date,17/08/1999
Local Time,03:01:39
Latitude (decimal degrees),40.748
Longitude (decimal degrees),29.864
Depth (km),17
Mw,7.6
Max Intensity (MMI),X
Fault mechanism,Strike-slip
Tectonic region type,Active Shallow Crust
Fatalities,17118-18373
Injured,43953-50000
Displaced population,~600000
Affected population,~1358953
Affected units,241000 Buildings
Damaged units,73342-108000 Buildings
Collapsed units,16400 Buildings
Economic losses,20000-30000 M USD
Insured losses,2000 M USD
Earthquake-triggered effects,
USGS event ID,usp0009d4z
Wikipedia page,https://en.wikipedia.org/wiki/1999 %C4%B0zmit earthquake
