calc_id,description,cal_time,gmpe,imt,nominal_bias,max_gmv,Rupture,GMLT,Recording_Stations
206,"Median gmf - 19940606_M6.8_Cauca (Rupture:GCMT, GMPEs:GEM, Recording Stations:all)",721,AbrahamsonEtAl2014,PGA,0.872,1.5220371,GCMT,GEM,all
206,"Median gmf - 19940606_M6.8_Cauca (Rupture:GCMT, GMPEs:GEM, Recording Stations:all)",721,AkkarEtAlRjb2014,PGA,1.098,1.6483036,GCMT,GEM,all
206,"Median gmf - 19940606_M6.8_Cauca (Rupture:GCMT, GMPEs:GEM, Recording Stations:all)",721,CauzziEtAl2014,PGA,1.068,1.5038794,GCMT,GEM,all
208,"Median gmf - 19940606_M6.8_Cauca (Rupture:GCMT, GMPEs:USGS, Recording Stations:all)",803,AbrahamsonEtAl2014,PGA,0.872,1.5220371,GCMT,USGS,all
208,"Median gmf - 19940606_M6.8_Cauca (Rupture:GCMT, GMPEs:USGS, Recording Stations:all)",803,BooreEtAl2014,PGA,1.125,1.8020785,GCMT,USGS,all
208,"Median gmf - 19940606_M6.8_Cauca (Rupture:GCMT, GMPEs:USGS, Recording Stations:all)",803,CampbellBozorgnia2014,PGA,0.991,1.3758204,GCMT,USGS,all
208,"Median gmf - 19940606_M6.8_Cauca (Rupture:GCMT, GMPEs:USGS, Recording Stations:all)",803,ChiouYoungs2014,PGA,0.874,1.5607572,GCMT,USGS,all
214,"Median gmf - 19940606_M6.8_Cauca (Rupture:ISC, GMPEs:GEM, Recording Stations:all)",558,AbrahamsonEtAl2014,PGA,1.047,1.4056976,ISC,GEM,all
214,"Median gmf - 19940606_M6.8_Cauca (Rupture:ISC, GMPEs:GEM, Recording Stations:all)",558,AkkarEtAlRjb2014,PGA,1.127,1.648981,ISC,GEM,all
214,"Median gmf - 19940606_M6.8_Cauca (Rupture:ISC, GMPEs:GEM, Recording Stations:all)",558,CauzziEtAl2014,PGA,1.091,1.3641912,ISC,GEM,all
216,"Median gmf - 19940606_M6.8_Cauca (Rupture:ISC, GMPEs:USGS, Recording Stations:all)",478,AbrahamsonEtAl2014,PGA,1.047,1.4056976,ISC,USGS,all
216,"Median gmf - 19940606_M6.8_Cauca (Rupture:ISC, GMPEs:USGS, Recording Stations:all)",478,BooreEtAl2014,PGA,1.161,1.60003,ISC,USGS,all
216,"Median gmf - 19940606_M6.8_Cauca (Rupture:ISC, GMPEs:USGS, Recording Stations:all)",478,CampbellBozorgnia2014,PGA,1.095,1.4305959,ISC,USGS,all
216,"Median gmf - 19940606_M6.8_Cauca (Rupture:ISC, GMPEs:USGS, Recording Stations:all)",478,ChiouYoungs2014,PGA,0.996,1.4237498,ISC,USGS,all
246,"Median gmf - 19940606_M6.8_Cauca (Rupture:RSNC, GMPEs:GEM, Recording Stations:all)",331,AbrahamsonEtAl2014,PGA,1.188,1.4507399,RSNC,GEM,all
246,"Median gmf - 19940606_M6.8_Cauca (Rupture:RSNC, GMPEs:GEM, Recording Stations:all)",331,AkkarEtAlRjb2014,PGA,1.065,1.6324874,RSNC,GEM,all
246,"Median gmf - 19940606_M6.8_Cauca (Rupture:RSNC, GMPEs:GEM, Recording Stations:all)",331,CauzziEtAl2014,PGA,0.949,1.5743912,RSNC,GEM,all
248,"Median gmf - 19940606_M6.8_Cauca (Rupture:RSNC, GMPEs:USGS, Recording Stations:all)",447,AbrahamsonEtAl2014,PGA,1.188,1.4507399,RSNC,USGS,all
248,"Median gmf - 19940606_M6.8_Cauca (Rupture:RSNC, GMPEs:USGS, Recording Stations:all)",447,BooreEtAl2014,PGA,1.32,1.8102763,RSNC,USGS,all
248,"Median gmf - 19940606_M6.8_Cauca (Rupture:RSNC, GMPEs:USGS, Recording Stations:all)",447,CampbellBozorgnia2014,PGA,1.298,1.5300288,RSNC,USGS,all
248,"Median gmf - 19940606_M6.8_Cauca (Rupture:RSNC, GMPEs:USGS, Recording Stations:all)",447,ChiouYoungs2014,PGA,1.0,1.4809318,RSNC,USGS,all
242,"Median gmf - 19940606_M6.8_Cauca (Rupture:USGS_2, GMPEs:GEM, Recording Stations:all)",347,AbrahamsonEtAl2014,PGA,1.044,1.4226192,USGS_2,GEM,all
242,"Median gmf - 19940606_M6.8_Cauca (Rupture:USGS_2, GMPEs:GEM, Recording Stations:all)",347,AkkarEtAlRjb2014,PGA,1.124,1.5893656,USGS_2,GEM,all
242,"Median gmf - 19940606_M6.8_Cauca (Rupture:USGS_2, GMPEs:GEM, Recording Stations:all)",347,CauzziEtAl2014,PGA,1.09,1.3907913,USGS_2,GEM,all
244,"Median gmf - 19940606_M6.8_Cauca (Rupture:USGS_2, GMPEs:USGS, Recording Stations:all)",450,AbrahamsonEtAl2014,PGA,1.044,1.4226192,USGS_2,USGS,all
244,"Median gmf - 19940606_M6.8_Cauca (Rupture:USGS_2, GMPEs:USGS, Recording Stations:all)",450,BooreEtAl2014,PGA,1.156,1.5151666,USGS_2,USGS,all
244,"Median gmf - 19940606_M6.8_Cauca (Rupture:USGS_2, GMPEs:USGS, Recording Stations:all)",450,CampbellBozorgnia2014,PGA,1.093,1.4918714,USGS_2,USGS,all
244,"Median gmf - 19940606_M6.8_Cauca (Rupture:USGS_2, GMPEs:USGS, Recording Stations:all)",450,ChiouYoungs2014,PGA,0.994,1.4537152,USGS_2,USGS,all
